,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.004750239642134412,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,3.2,1,5,4.1,1.6,7.471264367816091e-05,3.7,2.7,3.5,3.1
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.9,0.00926616253062094,0,0.95,3.8,1,5,4.4,4.2,0.002131034482758621,5,4.6,4.5,3.2
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,4,1,5,4.5,4.2,1,5,4.6,4.6,4,0.41737218251786695,2.1,3.05,3.8,0.058614330874604846,2,2.9,0,0,0,0,1.7,2.4
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,5,1,5,5,3.9,2.3,0.006508055964150104,0,1.15,4.1,1,5,4.6,0.9,5.256241787122208e-06,0.3,0.6,3.2,2.3
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,3.5,1.000001652335411,5,4.25,1.9,1,5,3.45,3.9,2.6,0.2934115764203788,1.4,2,4,0.6118181818181818,5,4.5,0,0,0,0,2.9,2.5
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,3.3,0.2001067769761945,0.9,2.1,5,1,5,5,4,0.8,0.0020456727758527116,0,0.4,2.8,1,5,3.9,2.7,0.0007653061224489796,5,3.9,3.9,2.5
Displacement from Russia-Ukraine conflict in Estonia,"Conflict,Displacement",EST002,Estonia,EST,2.7,1,5,3.85,0.5,1,5,2.75,3.4,0.1,0.025992779783393503,0.1,0.1,2.2,1,5,3.6,0,0,0,0,2.2,1.3
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,5,1.001208341909811,5,5,5,1,5,5,5,5,1,5,5,5,0.04193281108767701,1.4,3.2,5,3.9078035552877375e-05,2,3.5,3.4,4.4
International Displacement,Displacement,ETH003,Ethiopia,ETH,5,0.9999997341771849,5,5,5,0.7278095811991564,3.6,4.3,4.7,2.5,0.01104280510018215,0,1.25,4.3,1,5,4.7,x,x,x,x,4.7,3.5
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,4.1,0.2689488913992408,1.3,2.6999999999999997,5,0.23086019885507683,1.1,3.05,2.9,5,1,5,5,4.9,0.09302097947730759,3.1,4,5,0.00010329863943358674,5,5,4.6,4.8
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,5,0.8866750377224726,4.4,4.7,5,0.712744802651401,3.5,4.25,4.5,5,1,5,5,4.1,0.008338265133581333,0.3,2.2,2,2.536354413256679e-07,0,1,1.6,3.8
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,1.7,0.07584173778122576,0.3,1,0,0.06233816054473962,0.3,0.15,0.6,1.3,0.2876923076923077,1.4,1.35,3.2,1,5,4.1,1.6,6.951871657754011e-05,3.5,2.6,3.4,2.5
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,3.4,1,5,4.2,4.2,1,5,4.6,4.4,4.2,0.56,2.8,3.5,3.4,0.024553571428571428,0.8,2.1,2.7,7.91396103896104e-06,0.4,1.6,1.9,2.8
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,3.4,1,5,4.2,3.3,1,5,4.15,4.2,3.7,0.5677783478707029,2.8,3.25,1.4,0.0018073377914332189,0.1,0.8,3.4,4.0665100307247423e-05,2,2.7,1.9,2.6
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.4,1,5,3.7,3.6,1,5,4.3,4,4.1,0.74,3.7,3.9,3.9,0.06675906675906676,2.2,3.1,3.9,6.133056133056134e-05,3.1,3.5,3.3,3.6
Displacement from Russia-Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,3.3,1.0192088538242385,5,4.15,3.3,1,5,4.15,4.2,0.5,0.0063878013599835155,0,0.25,2.6,1,5,3.8,0,0,0,0,2.3,1.4
