,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Displacement from Russia-Ukraine conflict in Estonia,"Conflict,Displacement",EST002,Estonia,EST,1.349,0,0.036,0,0,0.9,0.9740072202166065,0,0.025992779783393503,0,0,1,0.95
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,0,111.4,9.874,11.486,0,5,0,0.8391081651099729,0.07437481169026815,0.08651702319975896,0,4,4.5
International Displacement,Displacement,ETH003,Ethiopia,ETH,95.557,0,1.067,x,x,3.4,0.9889571948998178,0,0.01104280510018215,x,x,1,2.2
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,0,21.546,3.482,5.621,x,4.9,0,0.7029919410094946,0.1136089268817906,0.1833991321087148,x,4,4.45
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,0,75.118,8.083,11.423,0,5,0,0.7938577950625634,0.08542230300980724,0.12071990192762935,0,4,4.5
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,0.463,0,0.187,x,x,2.1,0.7123076923076923,0,0.2876923076923077,x,x,3,2.55
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,7.744,4.556,4.948,0.352,0,4.5,0.44,0.25886363636363635,0.28113636363636363,0.02,0,3,3.75
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,4.212,2.733,1.428,1.372,0,4.1,0.4322216521292971,0.2804515135967163,0.1465366854797332,0.14079014879425347,0,4,4.05
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,3.042,3.158,3.855,1.645,0,4.6,0.26,0.2699145299145299,0.3294871794871795,0.1405982905982906,0,4,4.3
Displacement from Russia-Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,9.643,0,0.062,0,0,1.3,0.9935091695858232,0,0.0063878013599835155,0,0,1,1.15
