Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Drivers,First country,Website name,Crisis description,Connected crises,Starting date,Duration (days),Geoscope,ADM1,ADM1 name
IDN007,,,Indonesia,Country Level,IDN,Asia,"Earthquake,Socio-political,Violence",Indonesia,Country Level,https://www.acaps.org/country/Indonesia/crisis/Country-Level,,27/01/2021,672,Subnational,"IDN.23_1,IDN.9_1,IDN.22_1","Papua,Jawa Barat,Papua Barat"
IDN008,,,Indonesia,Earthquake in West Java province,IDN,Asia,Earthquake,Indonesia,Earthquake in West Java,https://www.acaps.org/country/Indonesia/crisis/Earthquake-in-West-Java,,28/11/2022,2,Subnational,IDN.9_1,Jawa Barat
IND002,,,India,Conflict in Jammu and Kashmir,IND,Asia,Socio-political,India,Kashmir conflict ,https://www.acaps.org/country/India/crisis/Kashmir-conflict,PAK004,01/03/2019,1370,Subnational,IND.14_1,Jammu and Kashmir
IRN004,,,Iran,Afghan Refugees in Iran,IRN,Middle east,Displacement,Iran,Afghan Refugees,https://www.acaps.org/country/Iran/crisis/Afghan-Refugees,,01/03/2020,1004,Subnational,"IRN.6_1,IRN.28_1,IRN.24_1","Esfahan,Tehran,Razavi Khorasan"
IRQ001,,,Iraq,Multiple crises in Iraq,IRQ,Middle east,"Violence,Displacement,Socio-political,Conflict",Iraq,Country level,https://www.acaps.org/country/Iraq/crisis/Country-level,,Before 2019,More than 2 years,National,"IRQ.1_1,IRQ.2_1,IRQ.4_1,IRQ.5_1,IRQ.6_1,IRQ.7_1,IRQ.8_1,IRQ.9_1,IRQ.10_1,IRQ.11_1,IRQ.12_1,IRQ.13_1,IRQ.14_1,IRQ.15_1,IRQ.16_1,IRQ.17_1,IRQ.18_1","Al-Anbar,Al-Basrah,Al-Qadisiyah,An-Najaf,Arbil,As-Sulaymaniyah,At-Ta'mim,Babil,Baghdad,Dhi-Qar,Dihok,Diyala,Karbala',Maysan,Ninawa,Sala ad-Din,Wasit"
IRQ002,,,Iraq,Conflict  in Iraq,IRQ,Middle east,"Conflict,Socio-political,Violence",Iraq,Conflict,https://www.acaps.org/country/Iraq/crisis/Conflict,,Before 2019,More than 2 years,National,"IRQ.1_1,IRQ.2_1,IRQ.4_1,IRQ.5_1,IRQ.6_1,IRQ.7_1,IRQ.8_1,IRQ.9_1,IRQ.10_1,IRQ.11_1,IRQ.12_1,IRQ.13_1,IRQ.14_1,IRQ.15_1,IRQ.16_1,IRQ.17_1,IRQ.18_1","Al-Anbar,Al-Basrah,Al-Qadisiyah,An-Najaf,Arbil,As-Sulaymaniyah,At-Ta'mim,Babil,Baghdad,Dhi-Qar,Dihok,Diyala,Karbala',Maysan,Ninawa,Sala ad-Din,Wasit"
IRQ003,,,Iraq,Syrian and Palestinian refugees in iraq,IRQ,Middle east,Displacement,Iraq,Syrian Refugees,https://www.acaps.org/country/Iraq/crisis/Syrian-Refugees,,Before 2019,More than 2 years,Subnational,"IRQ.6_1,IRQ.7_1,IRQ.12_1","Arbil,As-Sulaymaniyah,Dihok"
ITA002,,,Italy,Mixed migration flows in Italy,ITA,Europe,Displacement,Italy,Mixed Migration,https://www.acaps.org/country/Italy/crisis/Mixed-Migration,,Before 2019,More than 2 years,National,"ITA.4_1,ITA.15_1","Calabria,Sicily"
JOR002,,,Jordan,Syrian refugees in Jordan,JOR,Middle east,Displacement,Jordan,Syrian refugees,https://www.acaps.org/country/Jordan/crisis/Syrian-refugees,,Before 2019,More than 2 years,Subnational,"JOR.2_1,JOR.5_1,JOR.10_1,JOR.12_1","Amman,Irbid,Mafraq,Zarqa"
KEN001,,,Kenya,Multiple crisis in Kenya ,KEN,Africa,"Drought,Displacement",Kenya,Country level ,https://www.acaps.org/country/Kenya/crisis/Country-level,,01/06/2019,1278,National,,
KEN002,,,Kenya,Refugee situation in Kenya,KEN,Africa,Displacement,Kenya,Refugee situation,https://www.acaps.org/country/Kenya/crisis/Refugee-situation,"SSD001,SOM001",Before 2019,More than 2 years,Subnational,"KEN.7_1,KEN.43_1","Garissa,Turkana"
KEN003,,,Kenya,Drought in Kenya,KEN,Africa,Drought,Kenya,Drought,https://www.acaps.org/country/Kenya/crisis/Drought,,01/06/2019,1278,Subnational,"KEN.7_1,KEN.6_1,KEN.1_1,KEN.9_1,KEN.10_1,KEN.14_1,KEN.18_1,KEN.19_1,KEN.20_1,KEN.21_1,KEN.23_1,KEN.24_1,KEN.25_1,KEN.26_1,KEN.33_1,KEN.36_1,KEN.37_1,KEN.39_1,KEN.40_1,KEN.41_1,KEN.43_1,KEN.46_1,KEN.47_1","Garissa,Embu,Baringo,Isiolo,Kajiado,Kilifi,Kitui,Kwale,Laikipia,Lamu,Makueni,Mandera,Marsabit,Meru,Narok,Nyeri,Samburu,Taita Taveta,Tana River,Tharaka-Nithi,Turkana,Wajir,West Pokot"
LBN002,,,Lebanon,Syrian refugees in Lebanon,LBN,Middle east,Displacement,Lebanon,Syrian refugees,https://www.acaps.org/country/Lebanon/crisis/Syrian-refugees,,Before 2019,More than 2 years,National,,
LBN004,,,Lebanon,Socioeconomic crisis in Lebanon,LBN,Middle east,"Socio-political,Violence,Tecnological Disaster",Lebanon,Socioeconomic crisis,https://www.acaps.org/country/Lebanon/crisis/Socioeconomic-crisis,,01/04/2020,973,National,,
LBY001,,,Libya,Complex crisis in Libya,LBY,Africa,"Conflict,Displacement,Socio-political",Libya,Complex crisis,https://www.acaps.org/country/Libya/crisis/Complex-crisis,,Before 2019,More than 2 years,National,,
