INFORM Severity Index - all countries. Release: May 2023,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,DRIVERS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Highlands Violence,PNG003,Papua New Guinea,PNG,Earthquake,2.5,3,Medium,Stable,High,2.2,1.8,2.4,2.7,2.4,3,2.5,2.4,2.5,Pacific,2023-05-30 00:00:00
Displacement from Ukraine conflict in Poland,POL002,Poland,POL,"Displacement,Conflict",2.6,3,Medium,Stable,Very High,2.9,2,3.3,3.35,3.7,3,1.1,0.7,1.5,Europe,2023-05-31 00:00:00
Complex crisis in DPRK,PRK001,DPRK,PRK,"Socio-political,Floods,Other seasonal event,Food Security",3.7,4,High,Stable,Medium,4,4.6,3.6,4.5,5,4,2.3,2.6,2,Asia,2023-05-30 00:00:00
Conflict in Palestine,PSE002,Palestine,PSE,"Conflict,Socio-political,Violence",3.8,4,High,Increasing,High,4,3.4,4.2,3.95,3.9,4,3.3,2.3,4,Middle east,2023-05-30 00:00:00
Displacement from Ukraine conflict in Romania,ROU002,Romania,ROU,"Conflict,Displacement",1.4,2,Low,Stable,Very High,1.7,2,1.5,1.3,1.6,1,1.2,1.3,1,Europe,2023-05-31 00:00:00
Burundi and DRC refugees in Rwanda,RWA002,Rwanda,RWA,Displacement,2.4,3,Medium,Stable,Medium,2.5,2.2,2.7,2.4,1.8,3,2.3,3,1.5,Africa,2023-05-25 00:00:00
Complex crisis in Sudan,SDN001,Sudan,SDN,"Displacement,Violence,Floods",4.5,5,Very High,Stable,Very High,4.4,4.8,4.1,4.5,5,4,4.6,4.2,5,Africa,2023-05-31 00:00:00
Drought in Senegal,SEN002,Senegal,SEN,Drought,2.3,3,Medium,Decreasing,Very High,2.9,4.5,1.6,2.55,3.1,2,1.6,2.2,1,Africa,2023-05-31 00:00:00
Complex crisis in El Salvador,SLV001,El Salvador,SLV,"Displacement,Violence,Floods,Drought",3,3,Medium,Stable,Very High,3,3.7,2.5,3.2,3.4,3,2.7,2.3,3,Americas,2023-05-30 00:00:00
Complex crisis in Somalia,SOM001,Somalia,SOM,"Conflict,Displacement,Floods,Drought",4.7,5,Very High,Increasing,Very High,4.8,4.7,4.9,4.95,4.9,5,4.2,3.9,4.5,Africa,2023-05-30 00:00:00
Complex crisis in South Sudan,SSD001,South Sudan,SSD,"Conflict,Floods,Displacement",4.4,5,Very High,Stable,High,4.6,4.6,4.6,4.5,5,4,4.2,3.8,4.5,Africa,2023-05-26 00:00:00
Displacement from Ukraine conflict in Slovakia,SVK002,Slovakia,SVK,"Displacement,Conflict",1.8,2,Low,Stable,Very High,1.6,1.5,1.6,2.4,1.8,3,1.1,1.1,1,Europe,2023-05-31 00:00:00
Food Security Crisis in Eswatini,SWZ001,Eswatini,SWZ,Drought,2.3,3,Medium,Stable,Medium,2,3.1,1.4,2.7,2.4,3,1.8,2.5,1,Africa,2023-05-16 00:00:00
Syrian conflict,SYR001,Syria,SYR,"Conflict,Displacement,Violence",4.6,5,Very High,Stable,High,4.8,4.5,4.9,4.5,5,4,4.7,4.4,5,Middle east,2023-05-18 00:00:00
Complex crisis in Chad,TCD001,Chad,TCD,"Conflict,Displacement",4.4,5,Very High,Stable,Medium,4,4.7,3.5,4.8,4.6,5,3.9,3.8,4,Africa,2023-05-17 00:00:00
Multiple situations in Thailand,THA001,Thailand,THA,"Conflict,Displacement",1.8,2,Low,Stable,Medium,2,1.2,2.4,1.3,1.6,1,2.3,2.5,2,Asia,2023-05-30 00:00:00
Venezuelan refugees in Trinidad and Tobago,TTO002,Trinidad and Tobago,TTO,Displacement,2.1,3,Medium,Stable,Very High,2.9,3,2.8,1.5,1,2,2.2,1.9,2.5,Americas,2023-05-23 00:00:00
Mixed migration flows in Tunisia,TUN002,Tunisia,TUN,Displacement,1.9,2,Low,Stable,Very High,3.3,4.4,2.6,0.55,0.1,1,2.5,2.4,2.5,Africa,2023-05-31 00:00:00
Complex situation in Türkiye,TUR001,Türkiye,TUR,"Displacement,Conflict",3.5,4,High,Increasing,High,4.3,4.3,4.3,3.05,4.1,2,3.5,3.4,3.5,Middle east,2023-05-18 00:00:00
Multiple Crises in Tanzania,TZA001,Tanzania,TZA,"Displacement,Drought",2.6,3,Medium,Decreasing,Very High,3.2,3.4,3.1,2.75,3.5,2,2,2,2,Africa,2023-05-18 00:00:00
International Displacement in Uganda,UGA005,Uganda,UGA,Displacement,3.2,4,High,Stable,Medium,3.2,1.7,3.7,3.3,3.6,3,2.9,3.6,2,Africa,2023-05-25 00:00:00
Conflict in Ukraine,UKR002,Ukraine,UKR,"Conflict,Displacement",4.3,5,Very High,Increasing,Very High,4.6,4.9,4.4,5,5,5,3.1,2.6,3.5,Europe,2023-05-15 00:00:00
Complex crisis in Venezuela,VEN001,Venezuela,VEN,"Socio-political,Violence,Floods",3.8,4,High,Decreasing,Very High,3.8,4.9,2.9,3.85,4.7,3,3.8,3.6,4,Americas,2023-05-16 00:00:00
Cyclone Judy and cyclone Kevin in Vanuatu,VUT003,Vanuatu,VUT,Cyclone,2.3,3,Medium,-,Medium,2.1,3,1.5,3,2,4,1.2,0.9,1.5,Pacific,2023-05-17 00:00:00
Conflict in Yemen,YEM001,Yemen,YEM,Conflict,4.7,5,Very High,Increasing,Very High,4.7,4.8,4.6,5,5,5,4.3,4.1,4.5,Middle east,2023-05-30 00:00:00
Drought in Zambia,ZMB002,Zambia,ZMB,Drought,3,3,Medium,Stable,High,3.1,4.3,2.2,3.4,3.8,3,2.2,1.8,2.5,Africa,2023-05-16 00:00:00
Complex crisis in Zimbabwe,ZWE001,Zimbabwe,ZWE,"Socio-political,Drought",3.5,4,High,Decreasing,Very High,3.9,4.6,3.5,3.55,4.1,3,3,3,3,Africa,2023-05-16 00:00:00
