Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Mixed Migration Flows in Türkiye,Displacement,TUR003,Türkiye,TUR,140419,15736000,639000,320000,x,x,1,0,0,#N/A,x,15097000,358000,260000,21000,0,2,x,x,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
Kurdish Conflict,Conflict,TUR004,Türkiye,TUR,81458,5833000,x,1200000,x,x,0,x,x,#N/A,x,x,x,x,x,x,3,x,x,1.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0
Türkiye / Syria earthquake in Türkiye,Earthquake,TUR005,Türkiye,TUR,98092,13422000,9100000,3000000,107204,x,0,3273605,298000,#N/A,34000000000,4322000,6500000,2600000,x,x,3,x,x,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0
Multiple Crises in Tanzania,"Displacement,Drought",TZA001,Tanzania,TZA,441435,22102000,18126000,243000,x,x,0,x,x,#N/A,x,3976000,16983000,1143000,0,0,2,x,x,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
International Displacement in Tanzania,Displacement,TZA002,Tanzania,TZA,187103,15015000,15015000,243000,0,x,0,x,x,#N/A,x,0,14772000,243000,x,x,2,x,x,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
Food Security Crisis in North-East Tanzania,Drought,TZA003,Tanzania,TZA,357159,7087000,3111000,x,x,x,0,x,x,#N/A,x,3976000,2211000,900000,0,0,2,x,x,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
International Displacement in Uganda,Displacement,UGA005,Uganda,UGA,26513,7820000,1626000,1626000,x,x,x,x,x,#N/A,x,6194000,0,1626000,x,x,2,#N/A,#N/A,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
Russia-Ukraine conflict,"Conflict,Displacement",UKR002,Ukraine,UKR,603628,38397000,21379000,13968000,2304,x,48855,x,x,#N/A,486000000000,17018000,3810000,11420000,1406000,4744000,2,x,x,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Complex crisis in Venezuela,"Socio-political,Violence,Floods",VEN001,Venezuela,VEN,882050,28302000,16981000,7700000,x,x,262,x,x,#N/A,x,11612000,8990000,3990000,3710000,0,5,x,x,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0
Conflict in Yemen,Conflict,YEM001,Yemen,YEM,527970,32900000,27900000,6187000,1037,35674,1315,x,x,#N/A,x,5000000,6300000,8200000,7300000,6100000,4,x,x,1.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0
Mixed migration flows in Yemen,Displacement,YEM002,Yemen,YEM,46890,6341000,281000,281000,234,35674,87,x,x,#N/A,x,6060000,59000,56000,110000,56000,2,x,x,0.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0
Drought in Zambia,Drought,ZMB002,Zambia,ZMB,752618,9127000,8553000,x,0,18519,652,0,0,#N/A,x,3265000,3825000,1979000,58000,0,3,x,x,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Complex crisis in Zimbabwe,"Socio-political,Drought",ZWE001,Zimbabwe,ZWE,386850,16879000,16879000,24000,0,21835,81,x,x,#N/A,x,0,13879000,3000000,x,x,4,x,x,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0
