,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
LVA002,2,2,2,2,2,2,2,2,2,2,2,113,113,113,113,113,113,113,113,113,13.1,,
MAR001,156,0,0,0,0,0,0,0,0,0,156,105,105,105,105,105,105,105,105,105,26.1,,
MAR002,578,0,0,0,0,0,0,0,0,0,578,105,105,105,105,105,105,105,105,105,68.3,,
MAR003,0,0,0,0,0,0,0,0,0,0,156,105,105,105,105,105,105,105,105,105,26.1,,
MDA002,2,30,2,2,2,2,2,2,2,2,2,97,97,97,97,97,97,97,97,97,11.5,,
MDG001,0,0,0,0,0,0,0,0,0,0,274,95,95,95,95,95,95,95,95,95,36.9,,
MDG002,0,0,0,0,0,0,0,0,0,0,274,95,95,95,95,95,95,95,95,95,36.9,,
MDG008,0,0,0,0,0,0,0,0,0,0,274,95,95,95,95,95,95,95,95,95,36.9,,
MEX001,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,94,94,94,94,94,9.4,,
MEX002,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,94,94,94,94,94,9.4,,
MEX003,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,94,94,94,94,94,9.4,,
MLI001,547,398,398,0,0,398,398,398,398,398,0,92,92,92,92,92,92,92,92,92,248,,
MMR001,34,34,34,2,2,34,34,34,34,34,34,94,94,94,94,94,94,94,94,94,33.6,,
MMR002,34,34,34,2,2,34,34,34,34,34,34,94,94,94,94,94,94,94,94,94,33.6,,
MMR003,34,34,34,2,2,34,34,34,34,34,34,94,94,94,94,94,94,94,94,94,33.6,,
MMR004,34,34,34,2,2,34,34,34,34,34,34,94,94,94,94,94,94,94,94,94,33.6,,
MNG004,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1.8,,
MOZ001,274,0,0,0,0,0,0,0,0,0,274,94,94,94,94,94,94,94,94,94,36.8,,
MOZ004,274,0,0,0,0,0,0,0,0,0,274,94,94,94,94,94,94,94,94,94,36.8,,
MOZ010,274,0,0,0,0,0,0,0,0,0,274,94,94,94,94,94,94,94,94,94,36.8,,
MRT002,305,0,0,0,0,0,0,0,0,0,305,100,100,100,100,100,100,100,100,100,40.5,,
MRT003,1249,0,0,0,0,0,0,0,0,0,413,100,100,100,100,100,100,100,100,100,51.3,,
MWI002,1,1,1,1,1,1,1,1,1,1,307,94,94,94,94,94,94,94,94,94,40.9,,
MWI005,1,1,1,1,1,1,1,1,1,1,307,94,94,94,94,94,94,94,94,94,40.9,,
MYS001,158,158,158,2,2,34,2,2,34,34,1067,94,94,94,94,94,94,94,94,94,142.9,,
NAM002,1,1,1,1483,1,1,1,1,1,1,963,95,95,95,95,95,95,95,95,95,254.8,,
NER001,240,240,240,0,0,240,240,240,240,240,0,92,92,92,92,92,92,92,92,92,153.2,,
NER002,240,240,240,0,0,240,240,240,240,240,0,92,92,92,92,92,92,92,92,92,153.2,,
NER003,240,240,240,0,0,240,240,240,240,240,0,92,92,92,92,92,92,92,92,92,153.2,,
NER004,240,240,240,0,0,240,240,240,240,240,0,92,92,92,92,92,92,92,92,92,153.2,,
NGA001,224,93,93,3,93,93,93,93,93,93,93,95,95,95,95,95,95,95,95,95,84.2,,
NGA003,224,224,224,3,3,224,224,224,224,224,1703,96,96,96,96,96,96,96,96,96,314.9,,
NGA004,224,224,224,3,3,224,224,224,224,224,1704,96,96,96,96,96,96,96,96,96,315,,
NGA007,224,224,224,3,3,224,224,224,224,224,1536,95,95,95,95,95,95,95,95,95,298.1,,
NGA008,224,224,34,31,584,31,31,31,31,31,93,95,95,95,95,95,95,95,95,95,99.2,,
NIC001,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,94,94,94,94,94,9.4,,
NPL003,91,91,91,91,91,91,91,91,91,91,91,94,94,94,94,94,94,94,94,94,91.3,,
PAK001,793,305,91,29,0,0,0,0,0,0,1848,94,94,94,94,94,94,94,94,94,206.2,,
PAK004,0,274,793,793,0,274,793,793,793,793,1828,94,94,94,94,94,94,94,94,94,695.4,,
PAK005,366,248,248,29,456,0,0,0,0,0,581,94,94,94,94,94,94,94,94,94,140.8,,
PAN002,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,94,94,94,94,94,9.4,,
PER002,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,94,94,94,94,94,9.4,,
PHL003,125,125,2,2,2,2,2,2,2,2,125,94,94,94,94,94,94,94,94,94,23.5,,
PNG001,33,33,33,0,0,0,0,0,0,33,33,80,80,80,80,80,80,80,80,80,17.9,,
PNG003,33,33,33,0,0,0,0,0,0,33,33,94,94,94,94,94,94,94,94,94,19.3,,
PNG004,33,33,33,33,33,33,33,33,33,33,33,80,80,80,80,80,80,80,80,80,37.7,,
POL002,2,2,2,2,2,2,2,2,2,2,2,97,97,97,97,97,97,97,97,97,11.5,,
PRK001,1073,183,183,0,0,183,183,305,366,366,1858,94,94,94,94,94,94,94,94,94,353.8,,
PSE002,60,29,29,1,1,29,29,29,29,29,1,94,94,94,94,94,94,94,94,94,27.1,,
PSE003,60,29,29,1,1,29,29,29,29,29,1,94,94,94,94,94,94,94,94,94,27.1,,
PSE004,60,29,29,1,1,29,29,29,29,29,1,94,94,94,94,94,94,94,94,94,27.1,,
REG001,238,238,238,0,0,238,238,238,238,238,0,92,92,92,92,92,92,92,92,92,152,,
REG002,549,549,549,549,549,549,549,549,549,717,549,93,93,93,93,93,93,93,93,93,520.2,,
REG004,246,246,246,246,246,246,246,246,246,246,1745,94,94,94,94,94,94,94,94,94,380.7,,
REG006,152,0,0,0,0,0,0,0,0,0,1748,94,94,94,94,94,94,94,94,94,184.2,,
REG007,0,0,0,0,0,0,0,0,0,0,550,94,94,94,94,94,94,94,94,94,64.4,,
REG008,0,0,0,0,0,0,0,0,0,0,550,94,94,94,94,94,94,94,94,94,64.4,,
REG011,33,0,0,0,0,33,33,0,0,33,33,94,94,94,94,94,94,94,94,94,22.6,,
REG012,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,94,94,94,94,94,9.4,,
REG013,60,0,0,0,0,0,0,0,0,0,216,94,94,94,94,94,94,94,94,94,31,,
REG014,224,0,0,29,29,0,0,0,0,0,729,93,93,93,93,93,93,93,93,93,88,,
REG015,246,246,246,91,91,91,91,91,91,91,246,94,94,94,94,94,94,94,94,94,122.3,,
ROU002,2,2,2,2,2,2,2,2,2,2,2,97,97,97,97,97,97,97,97,97,11.5,,
RUS002,2,2,2,2,2,2,2,2,2,2,2,98,98,98,98,98,98,98,98,98,11.6,,
RWA002,225,3,3,3,3,3,3,3,3,3,3,94,94,94,94,94,94,94,94,94,12.1,,
SDN001,31,0,0,0,0,0,0,0,0,0,274,101,101,101,101,101,101,101,101,101,37.5,,
SDN005,31,0,0,0,0,0,0,0,0,0,899,101,101,101,101,101,101,101,101,101,100,,
SEN002,0,0,0,482,547,0,0,0,0,0,482,92,92,92,92,92,92,92,92,92,160.3,,
SLV001,29,29,29,29,29,29,29,29,29,29,29,97,97,97,97,97,97,97,97,97,35.8,,
SOM001,224,224,224,3,72,30,30,30,30,30,224,94,94,94,94,94,94,94,94,94,76.7,,
SOM002,224,224,30,30,3,30,30,30,30,30,1011,94,94,94,94,94,94,94,94,94,131.8,,
SSD001,227,227,227,3,3,76,76,76,76,76,227,94,94,94,94,94,94,94,94,94,93.4,,
