,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,3.93,3.015,1.428,1.372,0,4.1,0.4032837352488456,0.30938943047716777,0.1465366854797332,0.14079014879425347,0,4,4.05
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,3.3,2.6,3.031,1.568,0.902,4.6,0.2894736842105263,0.22807017543859648,0.26587719298245616,0.1375438596491228,0.07912280701754386,5,4.8
Displacement from Russia-Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,9.643,0,0.066,0,0,1.4,0.9932021835410444,0,0.006797816458955608,0,0,1,1.2
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,0,5.338,0.1,0,0,1.7,0,0.9816108863552777,0.018389113644722323,0,0,2,1.85
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,20.346,0,1.377,3.1,0,4.4,0.8196430729565323,0,0.05547274704910768,0.12488417999436006,0,4,4.2
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,38.915,2.8,2.408,0.245,0.128,4.1,0.8745729953254225,0.06292700467457749,0.05411722402013664,0.005506112909025531,0.002876663070837828,3,3.55
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,38.382,2.8,2.15,0.225,0.125,4,0.8786685591319079,0.06409962913785999,0.04921935808799963,0.005150863055720892,0.0028615905865116064,3,3.5
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,5.755,0.416,0.258,0.02,0.003,2.4,0.8919714817110973,0.06447613143211407,0.03998760074395536,0.0030998140111593306,0.00046497210167389957,2,2.2
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,58.765,0,0.163,x,x,2,0.9972339125712735,0,0.0027660874287265816,x,x,1,1.5
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,7.441,0.488,1.325,0.026,0,3.6,0.8018318965517242,0.052586206896551725,0.1427801724137931,0.0028017241379310344,0,3,3.3
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,0.559,27.081,2.004,0.266,0,3.9,0.018689401537947174,0.9054162487462387,0.06700100300902709,0.008893346706787028,0,3,3.45
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,0.559,0,0.745,x,x,3.1,0.42868098159509205,0,0.571319018404908,x,x,3,3.05
Drought in Kenya,Drought,KEN003,Kenya,KEN,0,27.081,1.259,0.266,0,3.6,0,0.9466895056981053,0.044011745787597006,0.009298748514297699,0,3,3.3
