,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
PSE002,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,34,34,3.4,,
PSE003,0,0,0,0,0,0,0,0,0,0,67,34,34,34,34,34,34,34,34,34,10.1,,
PSE004,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,34,34,3.4,,
REG001,178,178,178,5,5,178,178,178,178,178,5,228,228,228,228,228,228,228,228,228,131.1,,
REG002,489,489,489,489,489,489,489,489,489,657,489,33,33,33,33,33,33,33,33,33,460.2,,
REG003,491,215,1181,153,61,214,1711,1711,1711,1711,1711,34,34,34,34,34,34,34,34,34,1019.8,,
REG004,186,186,186,186,186,186,186,186,186,186,1685,34,34,34,34,34,34,34,34,34,320.7,,
REG006,92,0,0,31,0,0,0,0,0,0,1688,34,34,34,34,34,34,34,34,34,175.3,,
REG007,31,31,31,31,31,31,31,31,31,31,490,34,34,34,34,34,34,34,34,34,77.2,,
REG008,31,31,31,31,31,31,31,31,31,31,490,34,34,34,34,34,34,34,34,34,77.2,,
REG011,65,4,4,4,4,65,65,4,4,65,65,34,34,34,34,34,34,34,34,34,31.4,,
REG012,2,2,2,2,2,2,2,2,2,2,2,34,34,34,34,34,34,34,34,34,5.2,,
REG013,0,0,0,0,0,0,0,0,0,0,156,34,34,34,34,34,34,34,34,34,19,,
REG014,164,1,1,31,164,1,1,1,1,1,669,33,33,33,33,33,33,33,33,33,90.3,,
REG015,186,186,186,31,31,31,31,31,31,31,186,34,34,34,34,34,34,34,34,34,62.3,,
ROU002,9,9,9,9,32,9,9,9,9,9,9,37,37,37,37,37,37,37,37,37,14.1,,
RUS002,9,9,9,9,9,9,9,9,9,9,9,38,38,38,38,38,38,38,38,38,11.9,,
RWA002,165,4,4,4,4,4,4,4,4,4,4,34,34,34,34,34,34,34,34,34,7,,
SDN001,125,31,31,0,0,31,31,31,31,31,214,41,41,41,41,41,41,41,41,41,44.1,,
SDN005,125,125,125,0,0,125,125,125,125,125,839,41,41,41,41,41,41,41,41,41,163,,
SEN002,184,5,5,422,487,5,5,5,5,5,422,230,230,230,230,230,230,230,230,230,159.1,,
SLV001,215,215,215,215,3,215,215,215,215,215,215,37,37,37,37,37,37,37,37,37,176,,
SOM001,164,164,164,12,12,164,164,164,164,164,164,34,34,34,34,34,34,34,34,34,120.6,,
SOM002,164,164,31,31,12,31,31,31,31,31,951,34,34,34,34,34,34,34,34,34,121.4,,
SSD001,167,167,167,16,16,16,16,16,16,16,167,228,228,228,228,228,228,228,228,228,67.4,,
SVK002,9,9,9,9,9,9,9,9,9,9,9,37,37,37,37,37,37,37,37,37,11.8,,
SWZ001,2,2,2,2,2,2,2,2,2,2,2,37,37,37,37,37,37,37,37,37,5.5,,
SYR001,92,92,92,0,0,40,40,40,40,40,1796,34,34,34,34,34,34,34,34,34,212.2,,
SYR002,92,92,92,92,92,92,92,92,92,92,92,34,34,34,34,34,34,34,34,34,86.2,,
TCD001,179,179,128,5,5,128,179,128,128,128,5,228,228,228,228,228,228,228,228,228,106.2,,
TCD003,179,179,179,5,5,179,179,179,179,179,5,228,228,228,228,228,228,228,228,228,131.7,,
