,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,45.52,0,0.263,x,x,2.4,0.9942555096870017,0,0.0057444903129982745,x,x,1,1.7
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,0.049,0.084,0.09,x,x,1.6,0.21973094170403587,0.37668161434977576,0.40358744394618834,x,x,3,2.3
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,45.569,0.084,0.353,x,x,2.6,0.9905012389688301,0.0018258488023301309,0.007672912228839717,x,x,1,1.8
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,10.409,7.189,0.403,x,x,2.7,0.5782456530192767,0.39936670184989725,0.022387645130826066,x,x,2,2.35
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,113.136,0,0.442,x,x,2.7,0.9961084012748948,0,0.003891598725105214,x,x,1,1.85
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,2.678,0,1.1,x,x,3.4,0.7088406564319746,0,0.2911593435680254,x,x,3,3.2
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,47.46,0,0.048,x,x,1.1,0.998989643849457,0,0.0010103561505430665,x,x,1,1.05
Displacement from Russia-Ukraine conflict in Estonia,"Conflict,Displacement",EST002,Estonia,EST,1.345,0,0.05,0,0,1.2,0.96415770609319,0,0.035842293906810034,0,0,1,1.1
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,41.876,57.479,28.6,x,x,5,0.32727130631862766,0.4492126138095424,0.22351607987182995,x,x,3,4
International Displacement,Displacement,ETH003,Ethiopia,ETH,85.976,41.021,0.958,x,x,3.3,0.6719237231839319,0.32058926966511664,0.007487007150951506,x,x,2,2.65
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,0,21.8,8.8,x,x,4.9,0,0.7124183006535948,0.2875816993464052,x,x,3,3.95
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,38.3,4,20.1,x,x,5,0.6137820512820513,0.0641025641025641,0.32211538461538464,x,x,3,4
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,0.463,0,0.095,x,x,1.6,0.8297491039426523,0,0.17025089605734767,x,x,3,2.3
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,12.3,0,4.55,0.45,0,4.5,0.7109826589595376,0,0.2630057803468208,0.02601156069364162,0,3,3.75
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,6.4,0,1.632,1.568,0,4.2,0.6666666666666666,0,0.17,0.16333333333333333,0,4,4.1
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,3.9,2.6,2.7,1.4,0.8,4.5,0.34210526315789475,0.22807017543859648,0.23684210526315788,0.12280701754385964,0.07017543859649122,5,4.75
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,5.739,0.04,0.65,0,0,3,0.892673821745217,0.006221807435059885,0.10110437081972314,0,0,3,3
Displacement from Russia-Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,3.614,0,0.061,0,0,1.3,0.9831338411316648,0,0.016594124047878127,0,0,1,1.15
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,0,5.338,0.1,0,0,1.7,0,0.9816108863552777,0.018389113644722323,0,0,2,1.85
Conflict in Jammu and Kashmir,Socio-political,IND002,India,IND,14.999,x,x,x,x,x,1,x,x,x,x,x,x
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,20.346,0,1.377,3.1,0,4.4,0.8196430729565323,0,0.05547274704910768,0.12488417999436006,0,4,4.2
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,38.917,2.8,2.407,0.245,0.128,4.1,0.8746179431859044,0.06292700467457749,0.05409475008989572,0.005506112909025531,0.002876663070837828,3,3.55
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,38.382,2.8,2.15,0.225,0.125,4,0.8786685591319079,0.06409962913785999,0.04921935808799963,0.005150863055720892,0.0028615905865116064,3,3.5
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,5.755,0.416,0.257,0.02,0.003,2.4,0.8922480620155039,0.06449612403100775,0.039844961240310076,0.0031007751937984496,0.00046511627906976747,2,2.2
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,58.814,0,0.151,x,x,2,0.9974391588230306,0,0.0025608411769693887,x,x,1,1.5
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,7.269,0,1.443,0.303,0.092,3.8,0.7980895915678524,0,0.15843214756258234,0.033267457180500656,0.010101010101010102,3,3.4
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,0.559,27.08,1.882,0.266,0,3.9,0.018766576023097323,0.9091214288112264,0.06318192500083929,0.008930070164837009,0,3,3.45
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,0.559,0,0.623,x,x,3,0.47292724196277497,0,0.5270727580372251,x,x,3,3
Drought in Kenya,Drought,KEN003,Kenya,KEN,0,27.08,1.259,0.266,0,3.6,0,0.9466876420206257,0.04401328439084076,0.009299073588533473,0,3,3.3
2023 Floods in Laos,Floods,LAO003,Laos,LAO,5.818,0.089,0.021,0,0,0.5,0.9814439946018894,0.01501349527665317,0.00354251012145749,0,0,1,0.75
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,0,4.2,1.5,x,x,3.6,0,0.7368421052631579,0.2631578947368421,x,x,3,3.3
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,0,1.8,3.9,x,x,4.3,0,0.3157894736842105,0.6842105263157895,x,x,3,3.65
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,0,5.743,1.165,x,x,3.4,0,0.8313549507817024,0.16864504921829762,x,x,3,3.2
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,0,6.715,0.193,x,x,2.1,0,0.9720613781123335,0.027938621887666475,x,x,2,2.05
