,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,5,1.128571,5,5,5,1,5,5,5,5,0.6727286936813723,3.3,4.15,5,0.06208250560531604,2.1,3.6,4.9,3.089022874336366e-05,1.5,3.2,3.4,3.8
International Displacement,Displacement,ETH003,Ethiopia,ETH,5,1.128571,5,5,5,1,5,5,5,5,0.32807627681606816,1.6,3.3,4.3,0.022820934276662142,0.8,2.6,x,x,x,x,2.6,3
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,4.1,0.299,1.4,2.75,5,0.2391465749677621,1.2,3.1,2.9,5,1,5,5,4.9,0.0853921568627451,2.8,3.9,4.9,8.689542483660131e-05,4.3,4.6,4.3,4.7
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,4.8,0.784308,3.9,4.35,5,0.4876714469930835,2.4,3.7,4,4.8,0.38621794871794873,1.9,3.3499999999999996,4.2,0.03377593360995851,1.1,2.7,2,9.95850622406639e-07,0,1,1.9,2.7
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,1.7,0.07584173778122576,0.3,1,0,0.052805905176492855,0.2,0.1,0.6,0.8,0.17025089605734767,0.8,0.8,2.8,1,5,3.9,2.8,0.001,5,3.9,3.9,2.7
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,3.4,1,5,4.2,4.1,1,5,4.55,4.4,3.7,0.28901734104046245,1.4,2.55,3.4,0.0484,1.6,2.5,3.1,2.74e-05,1.4,2.3,2.4,2.5
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,3.4,1,5,4.2,3.3,1,5,4.15,4.2,3.3,0.3333333333333333,1.6,2.45,3.4,0.0771875,2.6,3,3.2,5.84375e-05,2.9,3.1,3.1,2.8
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.4,1,5,3.7,3.5,1,5,4.25,4,4,0.6578947368421053,3.3,3.65,3.1,0.021066666666666668,0.7,1.9,4.1,9.56e-05,4.8,4.5,3.5,3.6
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,1.8,0.46629172714078376,2.3,2.05,2.7,0.5639473684210526,2.8,2.75,2.4,2.2,0.10732617825478301,0.5,1.35,1.8,0.02463768115942029,0.8,1.3,4.8,0.0032579710144927535,5,4.9,3.7,2.7
Displacement from Russia-Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,1.8,0.13613166905998011,0.6,1.2,1.9,0.3772190867111339,1.9,1.9,1.6,0.5,0.016594124047878127,0,0.25,2.6,1,5,3.8,0,0,0,0,2.3,1.4
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,4.4,0.23294214410704528,1.1,2.75,2.5,0.020124864458778816,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.018389113644722323,0.6,1.8,2.8,1.636631114380287e-05,0.8,1.8,1.8,3.3
Conflict in Jammu and Kashmir,Socio-political,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.9,0.010486413246761056,0,1.95,2,x,x,x,x,3.6,x,x,3.6,2.9,x,x,2.9,3.3,3.3
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,4,0.1470818291215403,0.6,2.3,4.6,0.27751629456549687,1.4,3,2.7,3.6,0.18035692704346776,0.9,2.25,5,1,5,5,x,x,x,x,5,4
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,1,5,5,4.7,3.7,0.12538205681409564,0.6,2.15,5,1.187668040867539,5,5,4,0.00011830077074744578,5,4.5,4.8,3.8
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,0.9817062207838907,4.9,4.95,4.7,3.7,0.12133144086809212,0.6,2.15,5,1.129811320754717,5,5,4,0.00012452830188679244,5,4.5,4.8,3.8
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,2.6,0.08288819303739178,0.3,1.45,2.7,0.14495685005393744,0.7,1.7000000000000002,1.6,2.2,0.10790697674418605,0.5,1.35,3.5,0.40086206896551724,5,4.3,0,0,0,0,2.8,2.1
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,2.7,0.13957639219419324,0.6,1.6500000000000001,5,1,5,5,3.9,1.1,0.0025608411769693887,0,0.55,3.1,1,5,4.1,4.4,0.007960264900662251,5,4.7,4.4,3
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,2.7,0.4557670646542014,2.2,2.45,3.2,0.7897338073354722,3.9,3.55,3,2.9,0.20191040843214755,1,1.95,4.5,0.7172376291462752,5,4.8,0.9,2.175095160413268e-06,0.1,0.5,3.4,2.7
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5358337830545062,2.7,3.8000000000000003,4.3,4.9,0.9812334239769027,4.9,4.9,4,0.022854796770220336,0.8,2.4,x,x,x,x,2.4,4
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.2,0.021262817053426874,0.1,0.15000000000000002,0.8,2.2,0.5270727580372251,2.6,2.4000000000000004,4,1,5,4.5,x,x,x,x,4.5,3.7
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5145709660010793,2.5,3.7,4.3,4.9,1,5,4.95,2.4,0.0015731515469323545,0.1,1.3,x,x,x,x,1.3,3.7
2023 Floods in Laos,Floods,LAO003,Laos,LAO,3.7,0.7311525129982669,3.6,3.6500000000000004,2.6,0.7964530431277711,4,3.3,3.5,0.9,0.018556005398110663,0,0.45,0,0,0,0,1.1,5.4545454545454546e-05,2.7,1.9,1,0.7
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,4.5,0.2631578947368421,5,4.8,0,0,0,0,3.2,3.9
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,4.7,0.32421052631578945,5,4.9,3.2,3.175438596491228e-05,1.6,2.4,4,4.2
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,3.9,1,5,4.45,4.6,0.23639258830341633,5,4.8,5,0.0007900984365952519,5,5,4.9,4.7
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,3.9,1,5,4.45,4.1,0.10987261146496816,3.7,3.9,4.5,0.00020005790387955994,5,4.8,4.4,4.4
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,3.1,0.038548143264716915,0.1,1.6,1,0.29096699478865085,1.4,1.2,1.4,3,1,5,4,2.4,0.022388059701492536,0.7,1.6,5,0.002165174129353234,5,5,3.8,3.9
Multiple crises in Sri Lanka,"Socio-political,Food Security,Floods",LKA001,Sri Lanka,LKA,3,0.9999202678998564,5,4,4.5,1,5,4.75,4.4,4.7,1,5,4.85,0.9,0.00018151291010573128,0,0.5,1,2.268911376321641e-07,0,0.5,0.5,3.4
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,3,0.9999202678998564,5,4,4.5,1,5,4.75,4.4,4.7,1,5,4.85,0,0,0,0,0,0,0,0,0,3.3
2023 Floods and Monsoon Rain,Floods,LKA003,Sri Lanka,LKA,1,0.06742146388135864,0.2,0.6,2.2,0.20098016971457094,1,1.6,1.1,0.6,0.01693384511176338,0,0.3,0.9,0.05333333333333334,1.8,1.4,1,6.666666666666667e-05,3.3,2.2,1.8,1.1
Displacement from Russia-Ukraine conflict in Lithuania,"Conflict,Displacement",LTU002,Lithuania,LTU,3,0.9993615323224262,5,4,1.5,1,5,3.25,3.7,0.4,0.01802426343154246,0,0.2,2.5,1,5,3.8,0,0,0,0,2.3,1.4
Displacement from Russia-Ukraine conflict in Latvia,"Conflict,Displacement",LVA002,Latvia,LVA,3,1.0008041170794468,5,4,1,1,5,3,3.5,0.3,0.024352331606217616,0.1,0.2,2.4,1,5,3.7,0,0,0,0,2.3,1.4
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,3.3,0.07430740438094736,0.3,1.7999999999999998,3.9,0.1841078396594537,5,4.5,5,0.0010808797445902801,5,5,4.8,3.7
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,0,0.0005008303239581411,0,0,1.8,1,5,3.4,3,0.006421052631578947,5,4,3.7,2.3
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,2.9,0.11946224512659646,0.5,1.7,2.7,0.17397263884861744,0.8,1.75,1.7,3.2,0.42424242424242425,2.1,2.6500000000000004,3.9,0.17857142857142858,5,4.5,5,0.0010521428571428572,5,5,4.8,4
DIsplacement from Russia-Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,2.5,1.003042287800426,5,3.75,1.4,1,5,3.2,3.5,0.9,0.04177449168207024,0.2,0.55,2.9,1,5,4,0,0,0,0,2.5,1.6
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,3.9,0.4006428325885184,1.9,2.9,3.1,0.27689145541744153,1.3,2.2,2.6,4,1,5,4.5,2.5,0.006244845057146223,0.2,1.4,1.8,2.0030635088959585e-06,0.1,1,1.2,3.3
