,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Hurricane Eta and Iota in Honduras,Tropical cyclone,HND002,Honduras,HND,5.02,3.644,0.494,0,0,2.8,0.5481546189124263,0.39790347237388074,0.05394190871369295,0,0,3,2.9
Multiple Crises in India,Multiple crises country,IND001,India,IND,798.392,21.448,1.167,0,0,3.4,0.9724557433197809,0.02612404781451049,0.0014214268836037739,0,0,1,2.2
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,12.541,x,x,x,0,x,1,x,x,x,0,x,x
Floods in India,Flood,IND005,India,IND,797.224,21.448,1.167,0,0,3.4,0.971033098418282,0.02612404781451049,0.0014214268836037739,0,0,1,2.2
Regional Kashmir conflict,Regional crisis,REG003,"India, Pakistan","IND, PAK",x,x,x,x,x,x,x,x,x,x,x,x,x
Papua Conflict,Conflict,IDN002,Indonesia,IDN,x,x,x,x,x,x,x,x,x,x,x,x,x
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,21.872,0,0.951,2,0,4.1,0.8811183176892399,0,0.03831124360472143,0.08057043870603875,0,4,4.05
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,31.5,2.646,2.4,1.888,0,4.4,0.819586824166103,0.06884529322995264,0.06244471041265546,0.049123172191288964,0,3,3.7
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,4.309,2.646,2.271,1.775,0,4.3,0.3917272727272727,0.24054545454545453,0.20645454545454545,0.16136363636363638,0,4,4.15
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,4.684,0,0.336,0.114,0,2.8,0.9123490455784963,0,0.0654460459680561,0.022204908453447605,0,3,2.9
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,7.12,x,x,x,x,x,1,x,x,x,x,x,x
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,7.522,0.733,0.28,0.364,0,3,0.845263512754242,0.08236880548376221,0.03146420946173727,0.04090347230025845,0,3,3
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,40.2,9.714,1.367,0.113,0,3.6,0.7822076936547779,0.1890140680637441,0.026598953164827896,0.0021987430194773607,0,2,2.8
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,4.721,0,0.495,0,0,2.8,0.9050996932515337,0,0.09490030674846625,0,0,3,2.9
Drought in Kenya,Drought,KEN003,Kenya,KEN,40.695,9.714,0.872,0.113,0,3.3,0.7918393555542583,0.1890140680637441,0.01696729126534742,0.0021987430194773607,0,2,2.65
Flooding and Landslides in Kenya,Flood,KEN005,Kenya,KEN,42.28,0.117,0.116,0,0,1.8,0.9945193235010468,0.002752099357843483,0.002728577141109778,0,0,1,1.4
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,3.822,2.361,0.18,0.486,0,3,0.5580376697328077,0.34472185720543147,0.026281208935611037,0.07095926412614981,0,4,3.5
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,2.609,0.473,2.192,1.575,0,4.3,0.3809315228500511,0.06906117681413346,0.32004672214921887,0.22996057818659657,0,4,4.15
Explosion in Beirut,Industrial Accidents,LBN005,Lebanon,LBN,0,1.2,1,0,0,3.3,0,0.5454545454545454,0.45454545454545453,0,0,3,3.15
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,0.405,0.48,0.482,0.1,0,2.9,0.27607361963190186,0.32719836400818,0.3285616905248807,0.0681663258350375,0,4,3.45
Southern Africa Regional Food Security Crisis,Regional crisis,REG012,"Lesotho,Madagascar,Malawi,Mozambique,Namibia,Eswatini,Tanzania,Zambia,Zimbabwe","LSO, MDG, MWI, MOZ, NAM, SWZ, TZA, ZMB, ZWE",20.112,14.176,8.929,1.115,0,5,0.4536780131285105,0.31977622882407347,0.20141661591211568,0.025151699713518758,0,3,4
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,5.071,0.774,0.108,0.558,0.36,3.4,0.7380293989230098,0.1126473584631058,0.015718236064619414,0.08121088633386697,0.05239412021539805,5,4.2
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,6.286,0.261,0.19,0.131,0.003,2.5,0.9148595546499781,0.03798573715616359,0.027652452335904527,0.019065638189492067,0.00043661766846165044,2,2.25
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,0.672,1.05,0.527,0.027,0,2.9,0.29525483304042177,0.46133567662565905,0.23154657293497363,0.011862917398945518,0,3,2.95
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,8.841,6.219,2.618,0,0,4,0.5001131349700192,0.35179318927480485,0.14809367575517593,0,0,3,3.5
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,11.606,3.9,3.818,0.482,0,4.4,0.5859840452388165,0.19691002726446533,0.19276986771685348,0.024336059779864687,0,3,3.7
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,0.011,0,0.061,0,0,1.3,0.1527777777777778,0,0.8472222222222222,0,0,3,2.15
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,2.632,1.036,0.457,0.02,0,2.8,0.6349819059107358,0.24993968636911942,0.11025331724969843,0.0048250904704463205,0,3,2.9
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,x,x,x,x,x,x,x,x,x,x,x,x,x
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,x,x,x,x,x,x,x,x,x,x,x,x,x
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,x,x,x,x,x,x,x,x,x,x,x,x,x
Hurricane Eta and Iota in Southern Mexico,Tropical cyclone,MEX004,Mexico,MEX,14.51,0.152,0.017,0,0,0.4,0.9885542989508107,0.010355634282599809,0.0011581959395012944,0,0,1,0.7
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,x,x,x,x,x,x,x,x,x,x,x,x,x
Complex crisis in Mozambique,Complex crisis,MOZ001,Mozambique,MOZ,2.105,0.183,0.906,0,0,3.3,0.4067632850241546,0.03536231884057971,0.17507246376811594,0,0,3,3.15
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,0.204,0.057,0.006,0,0,0,0.07431693989071038,0.020765027322404372,0.002185792349726776,0,0,1,0.5
Food Security Crisis in Mozambique,Food Security,MOZ006,Mozambique,MOZ,1.901,1.126,0.5,0,0,2.8,0.7823045267489712,0.4633744855967078,0.205761316872428,0,0,3,2.9
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,5.271,4.149,0.365,0.61,0,3.3,0.5070707070707071,0.3991341991341991,0.03511303511303511,0.05868205868205868,0,4,3.65
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.318,0.809,0.25,0.504,0,3.1,0.5971148892323545,0.208397733127254,0.06439979392065945,0.12982998454404945,0,4,3.55
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,2.953,3.34,0.115,0.106,0,2.2,0.453400890526639,0.5128205128205128,0.017656993704897896,0.01627514202364502,0,2,2.1
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,1.165,0.651,0.426,0.014,0,2.7,0.5164007092198581,0.28856382978723405,0.18882978723404256,0.0062056737588652485,0,3,2.85
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,x,x,x,0,0,x,x,x,x,0,0,x,x
Hurricane Eta and Iota in Nicaragua,Tropical cyclone,NIC002,Nicaragua,NIC,2.131,0.457,0.073,0,0,1.4,0.8008267568583239,0.17173994738819992,0.027433295753476136,0,0,2,1.7
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,19.878,0,3.162,0.538,0,4.3,0.8431098104084489,0,0.13411375493065275,0.022818848878143953,0,3,3.65
Boko Haram in Niger,Conflict,NER002,Niger,NER,0,0.22,0.252,0.266,0,2.9,0,0.2981029810298103,0.34146341463414637,0.3604336043360434,0,4,3.45
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,6.835,0,0.765,0.2,0,3.3,0.8762820512820513,0,0.09807692307692308,0.02564102564102564,0,3,3.15
Nigerian Refugees,International displacement,NER004,Niger,NER,0.533,0,0.03,0.093,0,1.8,0.8125,0,0.04573170731707317,0.14176829268292682,0,4,2.9
Floods in Niger,Flood,NER005,Niger,NER,23.061,0,0.516,0,0,2.9,0.978072779709899,0,0.021884807871744846,0,0,1,1.95
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,48.404,1.936,3.106,2.884,0,4.6,0.6814297579998029,0.027254937845789987,0.04372615544887588,0.04060084749341855,0,3,3.8
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,14.704,0,0.397,0,0,2.7,0.9737748344370861,0,0.026291390728476822,0,0,1,1.85
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,0.751,1.936,2.331,2.884,0,4.5,0.0950632911392405,0.2450632911392405,0.2950632911392405,0.3650632911392405,0,4,4.25
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,30.058,0,0.317,0,0,2.5,0.9895312088490914,0,0.010435870424018962,0,0,1,1.75
