,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,4,0.1470818291215403,0.6,2.3,4.6,0.29933916986228687,1.5,3.05,2.7,3.3,0.11888168231076018,0.5,1.9,5,1,5,5,0,0,0,0,3.5,2.8
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,4.4,0.9995395100386811,5,4.7,5,1,5,5,4.9,3.9,0.18041317583389707,0.9,2.4,5,1.002307470435535,5,5,4.5,0.00020449956734929333,5,4.8,4.9,4
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,4.4,0.9995395100386811,5,4.7,3.5,0.28620492272467085,1.4,2.45,3.8,3.9,0.6082727272727273,3,3.45,5,1.0025407263488268,5,5,4.5,0.00021192646839037513,5,4.8,4.9,4.3
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,2.7,0.09209799226376865,0.4,1.55,2.4,0.13357964302440548,0.6,1.5,1.5,1.9,0.0876509544215037,0.4,1.15,3.4,0.5377777777777778,5,4.2,0,0,0,0,2.7,2
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,2.7,0.1395729924525736,0.6,1.6500000000000001,2.8,0.11745298581326295,0.5,1.65,1.7,x,x,x,x,x,x,x,x,3.4,x,x,3.4,3.4,3.4
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,2.7,0.4557670646542014,2.2,2.45,3.2,0.8431874170930453,4.2,3.7,3.1,2.7,0.15473648724575795,0.7,1.7000000000000002,4.5,1,5,4.8,0,0,0,0,3.2,2.5
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,4.6,1,5,4.8,5,1,5,5,4.9,4.2,0.21779230634522212,1,2.6,4,0.0545876887340302,1.8,2.9,2.9,9.112838381131064e-06,0.5,1.7,2.3,2.5
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,3.5,0.2161155427487086,1,2.25,2.4,0.1014924211468488,0.5,1.45,1.9,2,0.09566717791411043,0.4,1.2,3.9,1,5,4.5,x,x,x,x,4.5,3.3
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.6,1,5,4.8,5,1,5,5,4.9,4.2,0.20816064444574164,1,2.6,x,x,x,x,x,x,x,x,x,2.6
Flooding and Landslides in Kenya,Flood,KEN005,Kenya,KEN,4.5,0.8277365850230172,4.1,4.3,5,0.8272138228941684,4.1,4.55,4.4,1.4,0.005480676498953261,0,0.7,1.7,0.06866952789699571,2.3,2,3.4,0.001017167381974249,5,4.2,3.3,2.2
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,1.7,0.997184750733138,5,3.35,2.8,1,5,3.9,3.6,3.3,0.4419623302671923,2.2,2.75,4.5,0.5044598612487612,5,4.8,0,0,0,0,3.2,3
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,1.7,0.997184750733138,5,3.35,2.8,1,5,3.9,3.6,3.5,0.6189224704336399,3.1,3.3,x,x,x,x,0,0,0,0,0,2
Explosion in Beirut,Industrial Accidents,LBN005,Lebanon,LBN,0.5,0.1942913000977517,0.9,0.7,1.1,0.32121477587969044,1.6,1.35,1,3.1,1,5,4.05,3.5,0.13636363636363635,4.5,4,3.3,8.681818181818182e-05,4.3,3.8,3.9,4
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,2.5,1.0013175230566536,5,3.75,0.6,0.7302140368342459,3.6,2.1,3,2.5,0.7239263803680982,3.6,3.05,x,x,x,x,0,0,0,0,0,1.8
Southern Africa Regional Food Security Crisis,Regional crisis,REG012,"Lesotho,Madagascar,Malawi,Mozambique,Namibia,Eswatini,Tanzania,Zambia,Zimbabwe","LSO, MDG, MWI, MOZ, NAM, SWZ, TZA, ZMB, ZWE",5,0.3560230839090899,1.7,3.35,5,0.39254248094002636,1.9,3.45,3.4,4.8,0.5463219868714895,2.7,3.75,2.8,0.0038812502580618524,0.1,1.5,0,0,0,0,0.8,2.6
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,2.9,0.2619706010769903,1.3,2.1,4.5,0.8144444444444444,5,4.8,4.1,0.000405,5,4.6,4.7,3.7
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,2.1,0.08514044535002183,0.4,1.25,4,1,5,4.5,3.9,0.0009641025641025641,5,4.5,4.5,3.3
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,1.2,0.08524344569288389,0.4,0.8,1.7,2.8,0.7047451669595782,3.5,3.15,x,x,x,x,x,x,x,x,x,3.15
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,3.3,0.9999575731862537,5,4.15,4.2,0.9240982749607946,4.6,4.4,4.3,4.1,0.49988686502998075,2.5,3.3,0,0,0,0,2.2,4.073780694805929e-06,0.2,1.2,0.6,2.2
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,5,1,5,5,4.3,1.0002525124993686,5,4.65,4.8,4,0.41401595476118347,2,3,3.8,0.0524390243902439,1.7,2.8,4.4,0.0001378048780487805,5,4.7,3.9,3.5
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,0,7.276608130396817e-05,0,0,0,0.017370325693606754,0,0,0,0.5,0.8472222222222222,4.2,2.35,2.6,1,5,3.8,x,x,x,x,3.8,3.2
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,5,1,5,5,2.1,1,5,3.55,4.4,2.8,0.36501809408926417,1.8,2.3,x,x,x,x,x,x,x,x,x,2.3
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,5,0.8413184495485995,4.2,4.6,5,0.8049838623621304,4,4.5,4.6,x,x,x,x,4,x,x,4,x,x,x,x,4,4
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,5,0.5546613853236966,2.7,3.85,5,0.6124780239484295,3,4,3.9,x,x,x,x,3.6,x,x,3.6,5,x,x,5,4.4,4.4
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,5,0.7393739550914376,3.7,4.35,5,0.6196153206972859,3.1,4.05,4.2,1.6,0.0038819875776397515,0,0.8,3.5,1,5,4.3,3.1,0.0005090909090909091,5,4.1,4.2,2.9
Hurricane Eta and Iota in Southern Mexico,Tropical cyclone,MEX004,Mexico,MEX,3.7,0.08759690321253119,0.3,2,3.9,0.1283838746074924,0.6,2.25,2.1,1.2,0.011513830222101104,0,0.6,1.8,0.10059171597633136,3.4,2.6,2,0.00015976331360946746,5,3.5,3.1,2
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,0.9757348102654091,4.9,4.95,4.8,x,x,x,x,x,x,x,x,2.8,x,x,2.8,2.8,2.8
Complex crisis in Mozambique,Complex crisis,MOZ001,Mozambique,MOZ,4.2,0.4382130776469391,2.1,3.1500000000000004,2.4,0.1793015037072968,0.9,1.65,2.5,3.5,0.7733333333333333,3.9,3.7,3.6,0.08595702148925537,2.9,3.3,4.4,0.00028035982008995503,5,4.7,4.1,3.9
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,3.2,0.10017803097739006,0.4,1.8,1.5,0.09510775414039221,0.4,0.95,1.4,1.5,0.09726775956284153,0.4,0.95,3.6,1.3295880149812733,5,4.3,4.3,0.004101123595505618,5,4.7,4.5,3.2
Food Security Crisis in Mozambique,Food Security,MOZ006,Mozambique,MOZ,4.2,0.4382130776469391,2.1,3.1500000000000004,1.3,0.08419374956690458,0.4,0.8500000000000001,2.2,3.1,1,5,4.05,2.8,0.03868312757201646,1.3,2.1,x,x,x,x,2.1,3.2
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,4.1,0.44359037177681143,2.2,3.15,3.4,0.19890549358029888,1,2.2,2.7,3.7,0.49292929292929294,2.4,3.05,4.5,0.2822014051522248,5,4.8,3.4,4.605776736924278e-05,2.3,2.9,4,3.6
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.8,0.06868530654743676,0.2,1.5,2,0.0742810126097855,0.3,1.15,1.3,2.8,0.4026275115919629,2,2.4,4.5,0.8573256557901472,5,4.8,3.2,0.00011772232885476648,5,4.1,4.5,3.7
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,4,0.3749052183499724,1.8,2.9,2.7,0.12462448097051339,0.6,1.6500000000000001,2.3,3.4,0.546599109473361,2.7,3.05,2.9,0.029775280898876405,1,2,2.5,1.4606741573033707e-05,0.7,1.6,1.8,2.5
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,0,0.000999647754740128,0,0,1.2,0.8878394332939787,4.4,2.8000000000000003,1.6,2.6,0.48359929078014185,2.4,2.5,0,0,0,0,x,x,x,x,0,1.4
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,3.5,0.9999961774970915,5,4.25,2.7,1,5,3.85,4.1,1.9,0.06471135940409684,0.3,1.0999999999999999,2.9,0.2446043165467626,5,4,0.9,9.59232613908873e-06,0.5,0.7,2.7,2
Hurricane Eta and Iota in Nicaragua,Tropical cyclone,NIC002,Nicaragua,NIC,3.3,0.7703423633039721,3.8,3.55,1.4,0.4129422718808194,2,1.7,2.7,2,0.19917324314167606,1,1.5,2.7,0.13773584905660377,4.6,3.7,1.9,4.339622641509434e-05,2.2,2.1,3,2.3
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,5,1.0002368358727403,5,5,4.6,0.9999575875816439,5,4.8,4.9,4.8,1.0000424142172457,5,4.9,3.9,0.022436169310374076,0.7,2.3,3.7,1.6413605903808636e-05,0.8,2.3,2.3,3.9
Boko Haram in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.031300364746797864,0.1,0.05,1.2,2.3,0.986449864498645,4.9,3.6,3.5,0.36538461538461536,5,4.3,3.2,0.00024175824175824175,5,4.1,4.2,3.9
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.1662587826636141,0.7,2.3,3,0.3308168631775384,1.6,2.3,2.3,2.5,0.12371794871794872,0.6,1.55,3.3,0.20414507772020726,5,4.2,3,0.0001305699481865285,5,4,4.1,3.1
Nigerian Refugees,International displacement,NER004,Niger,NER,1.2,0.003891213389121339,0,0.6,0,0.0278225464415981,0.1,0.05,0.3,1,0.1875,0.9,0.95,2.8,0.7560975609756098,5,3.9,1.1,4.878048780487805e-05,2.4,1.8,3,2.1
Floods in Niger,Flood,NER005,Niger,NER,5,1.0002368358727403,5,5,4.6,1,5,4.8,4.9,2,0.021884807871744846,0.1,1.05,x,x,x,x,2.6,0.00013372093023255815,5,3.8,3.8,2.7
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,4.9,0.999033784599844,5,4.95,5,0.3534613164546884,1.7,3.35,4.3,4,0.11156786282432109,0.5,2.25,5,0.5858675078864354,5,5,4.9,0.0003221451104100946,5,5,5,4
