,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Mixed migration flows in spain,International displacement,ESP002,Spain,ESP,3.3,0.18514224025909118,0.8,2.05,3.6,0.25454043375746116,1.2,2.4,2.2,0.2,0.003338062254861053,0,0.1,2.3,1,5,3.7,3.4,0.005625,5,4.2,4,2.5
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,5,1,5,5,4.9,0.26581472554459046,1.3,3.1,4.3,4.6,0.6422583404619333,3.2,3.9,4.6,0.09243473628129995,3.1,3.9,4.4,6.537027171017581e-05,3.3,3.9,3.9,3.9
Flood Crisis in Ethiopia,Flood,ETH002,Ethiopia,ETH,4.8,0.742878,3.7,4.25,5,0.5634817408704352,2.8,3.9,4.1,2.5,0.01643207644628099,0,1.25,3.5,0.2888015717092338,5,4.3,1.5,1.1787819253438114e-05,0.6,1.1,3.1,2.3
International Displacement,International displacement,ETH003,Ethiopia,ETH,4.9,0.90705,4.5,4.7,5,0.6583382600391104,3.3,4.15,4.4,2.3,0.010624335115569003,0,1.15,4.1,1,5,4.6,x,x,x,x,4.6,3.3
Crisis in Tigray,Conflict,ETH004,Ethiopia,ETH,2.8,0.050079,0.2,1.5,2.4,0.04689617536040748,0.2,1.3,1.4,3.7,1,5,4.35,3.5,0.054693560899922423,1.8,2.7,x,x,x,x,2.7,3.7
Tropical cyclone Yasa in Fiji,Tropical cyclone,FJI002,Fiji,FJI,2.1,1.0002189381499726,5,3.55,0,1,5,2.5,3.1,0.8,0.10449438202247191,0.5,0.65,0,0.010752688172043012,0.4,0.2,0.9,4.301075268817204e-05,2.2,1.6,0.9,0.8
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,0.9,0.02609829325058185,0,0.45,0,0.030698529411764704,0.1,0.05,0.3,1,0.3592814371257485,1.8,1.4,3,1,5,4,1.9,0.00018333333333333334,5,3.5,3.8,2.8
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,3.4,1,5,4.2,3.9,1,5,4.45,4.3,3.7,0.3691275167785235,1.8,2.75,3.4,0.044,1.5,2.5,4.7,0.0003410909090909091,5,4.9,4,3.4
Hurricane Eta and Iota in Guatemala,Tropical cyclone,GTM003,Guatemala,GTM,3.4,1.0161347517730497,5,4.2,3.9,1,5,4.45,4.3,3.1,0.16369127516778523,0.8,1.9500000000000002,3.3,0.08610086100861009,2.9,3.1,2.6,2.5010250102501026e-05,1.3,2,2.6,2.3
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,3.4,1,5,4.2,3.2,1,5,4.1,4.2,3.2,0.29482419742301813,1.4,2.3,3.4,0.09148148148148148,3,3.2,4.7,0.000697037037037037,5,4.9,4.2,3.4
