,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Papua Conflict,Conflict,IDN002,Indonesia,IDN,x,x,x,x,x,x,x,x,x,x,x,x,x
Sulawesi Earthquake,Earthquake,IDN006,Indonesia,IDN,0.79,0,0.095,0,0,1.6,0.8936651583710408,0,0.1074660633484163,0,0,3,2.3
Country Level,Multiple crises country,IDN007,Indonesia,IDN,0.79,3.594,0.095,0,0,1.6,0.17641804376953998,0.8025904421616793,0.02121482804823582,0,0,2,1.8
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,12.541,x,x,x,x,x,1,x,x,x,x,x,x
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,21.872,0,0.951,2,0,4.1,0.8811183176892399,0,0.03831124360472143,0.08057043870603875,0,4,4.05
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,33.18,1.75,3.11,1.095,0.175,4.4,0.8440600356143475,0.04451793436784533,0.07911472907657084,0.027855507504451794,0.004451793436784533,3,3.7
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,0.51,1.52,2.911,1.025,0.164,4.4,0.08319738988580751,0.24796084828711257,0.4748776508972268,0.16721044045676997,0.026753670473083198,4,4.2
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,4.661,0,0.309,0.145,0.019,2.8,0.9078691079080639,0,0.06018698870276588,0.028243085313595637,0.0037008180755746006,3,2.9
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,7.12,x,x,x,x,x,1,x,x,x,x,x,x
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,6.79,0.609,0.785,0.523,0,3.5,0.7797427652733119,0.06993569131832797,0.0901469912723932,0.06005971520440974,0,4,3.75
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,40.2,9.714,1.367,0.113,0,3.6,0.7822076936547779,0.1890140680637441,0.026598953164827896,0.0021987430194773607,0,2,2.8
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,4.721,0,0.495,0,0,2.8,0.9050996932515337,0,0.09490030674846625,0,0,3,2.9
Drought in Kenya,Drought,KEN003,Kenya,KEN,40.695,9.714,0.872,0.113,0,3.3,0.7918393555542583,0.1890140680637441,0.01696729126534742,0.0021987430194773607,0,2,2.65
Flooding and Landslides in Kenya,Flood,KEN005,Kenya,KEN,42.28,0.117,0.116,0,0,1.8,0.9945193235010468,0.002752099357843483,0.002728577141109778,0,0,1,1.4
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,3.354,1.566,0.332,1.604,0,3.8,0.48920653442240375,0.22841306884480747,0.048424737456242706,0.2339556592765461,0,4,3.9
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,2.616,0.473,2.192,1.575,0,4.3,0.38156359393232203,0.0689906651108518,0.31971995332555425,0.22972578763127188,0,4,4.15
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,5.071,0.774,0.108,0.558,0.36,3.4,0.7380293989230098,0.1126473584631058,0.015718236064619414,0.08121088633386697,0.05239412021539805,5,4.2
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,6.286,0.261,0.19,0.131,0.003,2.5,0.9148595546499781,0.03798573715616359,0.027652452335904527,0.019065638189492067,0.00043661766846165044,2,2.25
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,0.405,0.48,0.482,0.1,0,2.9,0.27607361963190186,0.32719836400818,0.3285616905248807,0.0681663258350375,0,4,3.45
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,x,x,x,x,x,x,x,x,x,x,x,x,x
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,0.942,1.618,1.067,0.282,0,3.6,0.2409823484267076,0.41391660271169095,0.2729598362752622,0.07214121258633922,0,4,3.8
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,x,x,x,x,x,x,x,x,x,x,x,x,x
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,x,x,x,x,x,x,x,x,x,x,x,x,x
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,x,x,x,x,x,x,x,x,x,x,x,x,x
Hurricane Eta and Iota in Southern Mexico,Tropical cyclone,MEX004,Mexico,MEX,14.51,0.152,0.017,0,0,0.4,0.9885542989508107,0.010355634282599809,0.0011581959395012944,0,0,1,0.7
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,11.606,3.9,3.818,0.482,0,4.4,0.5861024138975861,0.19694980305019694,0.1928088071911928,0.02434097565902434,0,3,3.7
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,5.271,4.149,0.365,0.61,0,3.3,0.5070707070707071,0.3991341991341991,0.03511303511303511,0.05868205868205868,0,4,3.65
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.318,0.809,0.25,0.504,0,3.1,0.5971148892323545,0.208397733127254,0.06439979392065945,0.12982998454404945,0,4,3.55
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,2.953,3.34,0.115,0.106,0,2.2,0.453400890526639,0.5128205128205128,0.017656993704897896,0.01627514202364502,0,2,2.1
Complex crisis in Mozambique,Complex crisis,MOZ001,Mozambique,MOZ,7.424,8.508,3.704,0.406,0,4.4,0.3704221135615208,0.4245085320826265,0.18481189502045703,0.020257459335395668,0,3,3.7
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,0.602,0.101,1.055,0.141,0,3.5,0.31700895208004215,0.05318588730911006,0.5555555555555556,0.07424960505529225,0,4,3.75
Food Security Crisis in Mozambique,Food Security,MOZ006,Mozambique,MOZ,6.822,8.407,2.649,0.265,0,4.1,0.3760127873008874,0.4633743041393375,0.14600672435650114,0.01460618420327399,0,3,3.55
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,0.011,0,0.061,0,0,1.3,0.1527777777777778,0,0.8472222222222222,0,0,3,2.15
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,2.632,1.036,0.457,0.02,0,2.8,0.6349819059107358,0.24993968636911942,0.11025331724969843,0.0048250904704463205,0,3,2.9
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,8.769,6.266,2.509,0.133,0,4,0.4960402760493268,0.35445186107025684,0.14192781988912773,0.007523475506278991,0,3,3.5
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,1.165,0.651,0.426,0.014,0,2.7,0.5164007092198581,0.28856382978723405,0.18882978723404256,0.0062056737588652485,0,3,2.85
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,19.918,0.06,3.648,0.173,0,4.3,0.836890756302521,0.0025210084033613447,0.15327731092436975,0.0072689075630252105,0,3,3.65
Boko Haram in Niger,Conflict,NER002,Niger,NER,0.656,0.001,0.272,0.02,0,2.4,0.6912539515279241,0.001053740779768177,0.28661749209694415,0.02107481559536354,0,3,2.7
