,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,4.7,0.3196491228070175,5,4.9,2.6,1.2280701754385964e-05,0.6,1.6,3.7,4.1
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,3.9,1,5,4.45,4.6,0.23595830920671684,5,4.8,5,0.000867544875506659,5,5,4.9,4.7
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,2.3,0.10929357266936884,0.5,1.4,4.1,1,5,4.6,4.7,0.0026158940397350994,5,4.9,4.8,3.6
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,3.1,0.038548143264716915,0.1,1.6,1,0.29096699478865085,1.4,1.2,1.4,3,1,5,4,2.3,0.021393034825870648,0.7,1.5,5,0.001990049751243781,5,5,3.8,3.9
Multiple crises in Sri Lanka,"Socio-political,Food Security,Floods",LKA001,Sri Lanka,LKA,3,0.9999202678998564,5,4,4.5,1,5,4.75,4.4,4.7,1,5,4.85,0.9,0.00018151291010573128,0,0.5,1,2.268911376321641e-07,0,0.5,0.5,3.4
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,3,0.9999202678998564,5,4,4.5,1,5,4.75,4.4,4.7,1,5,4.85,0,0,0,0,0,0,0,0,0,3.3
2023 Floods and Monsoon Rain,Floods,LKA003,Sri Lanka,LKA,1,0.06742146388135864,0.2,0.6,2.2,0.20098016971457094,1,1.6,1.1,0.6,0.01693384511176338,0,0.3,0.9,0.05333333333333334,1.8,1.4,1,6.666666666666667e-05,3.3,2.2,1.8,1.1
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,3.3,0.07430740438094736,0.3,1.7999999999999998,3.5,0.09435970202199362,3.1,3.3,5,0.0011156438453352254,5,5,4.3,3.3
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,0,0.0005008303239581411,0,0,1.8,1,5,3.4,3.2,0.009789473684210527,5,4.1,3.8,2.3
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,2.9,0.11946224512659646,0.5,1.7,2,0.10543796293855602,0.5,1.25,1.5,3.2,0.7,3.5,3.35,3.4,0.08821428571428572,2.9,3.2,5,0.0010535714285714287,5,5,4.3,3.9
DIsplacement from Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,2.5,1.003042287800426,5,3.75,1.4,1,5,3.2,3.5,1,0.04387905604719764,0.2,0.6,3,1,5,4,0,0,0,0,2.5,1.6
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,3.9,0.4006428325885184,1.9,2.9,3.1,0.2781528578919769,1.4,2.25,2.6,4,1,5,4.5,2.5,0.006244845057146223,0.2,1.4,1.8,2.0030635088959585e-06,0.1,1,1.2,3.3
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,2.7,0.21755374934452018,1,1.85,2.1,3.6,0.6551672190418801,3.3,3.45,1.3,0.0018395033340997931,0.1,0.7,x,x,x,x,0.7,2.3
Tropical cyclone Freddy in Madagascar,Cyclone,MDG008,Madagascar,MDG,3.9,0.4006428325885184,1.9,2.9,3.1,0.2781528578919769,1.4,2.25,2.6,4,1,5,4.5,2.4,0.005302226935312832,0.2,1.3,1.8,2.0030635088959585e-06,0.1,1,1.2,3.3
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,5,1,5,5,5,1,5,5,5,2.1,0.005126083064502508,0,1.05,4,1,5,4.5,5,0.006843492586490939,5,5,4.8,3.5
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,5,1,5,5,5,1,5,5,5,1.8,0.003200635060043576,0,0.9,3.7,1,5,4.4,5,0.008414248021108179,5,5,4.7,3.4
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,5,0.5966979603384861,2.9,3.95,5,0.48919046734338845,2.4,3.7,3.8,1.4,0.003935988399192087,0,0.7,3.4,1,5,4.2,4.3,0.0042324561403508775,5,4.7,4.5,3.1
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,5,1.0163908899433696,5,5,4.5,1,5,4.75,4.9,4.4,0.5944700460829493,3,3.7,4.5,0.10891472868217054,3.6,4.1,4.7,0.0001473643410852713,5,4.9,4.5,4.1
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,4.7,1.0359802780670055,5,4.85,5,1,5,5,4.9,5,0.9803431022158685,4.9,4.95,5,0.05650747356908494,1.9,3.5,5,0.00013313889901567626,5,5,4.4,4.7
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.6,0.056314693452563236,0.2,1.4000000000000001,1.8,0.06204431736954968,0.3,1.05,1.2,3.4,1,5,4.2,4.4,0.3689516129032258,5,4.7,1.7,4.3202764976958525e-06,0.2,1,3.4,3.8
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,3.6,0.22906841428308936,1.1,2.35,2.3,0.08708005718370264,0.4,1.3499999999999999,1.9,3.6,1,5,4.3,2.8,0.01928996511389288,0.6,1.7,3.9,0.00010732608249538273,5,4.5,3.4,3.9
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,4.5,0.750597170331353,3.7,4.1,5,0.8508756254467477,4.2,4.6,4.4,5,0.9768980363330884,4.9,4.95,4.6,0.03706331290981404,1.2,2.9,5,0.00014234118026443084,5,5,4.2,4.6
Cyclone Mocha in Myanmar,"Cyclone,Floods",MMR005,Myanmar,MMR,3.8,0.27462638574140996,1.3,2.55,3.4,0.1901894210150107,0.9,2.15,2.4,2,0.046979235178051304,0.2,1.1,x,x,x,x,3.1,0.00029,5,4.1,4.1,2.9
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,4.8,1,5,4.9,5,0.9969246990598366,5,5,5,4.3,0.3774311064104824,1.9,3.0999999999999996,4.3,0.07698295321865027,2.6,3.5,3.6,2.4986378142757064e-05,1.2,2.4,3,3.1
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.5,0.33927891515098263,1.7,2.6,2.8,4.3,1,5,4.65,4.2,0.08045580110497237,2.7,3.5,3,1.1049723756906077e-05,0.6,1.8,2.8,3.9
Floods in Maputo province in Mozambique,Floods,MOZ009,Mozambique,MOZ,2.3,0.02929754062921234,0,1.15,1.7,0.0978824356383446,0.4,1.05,1.1,0,0.009575104727707959,0,0,1.8,0.53125,5,3.4,1.4,0.0003125,5,3.2,3.3,2
Tropical Cyclone Freddy in Mozambique,Cyclone,MOZ010,Mozambique,MOZ,4.6,0.7615351356850377,3.8,4.199999999999999,4.2,0.5279266613947222,2.6,3.4000000000000004,3.8,2.7,0.06829403606102635,0.3,1.5,2.3,0.03249390739236393,1.1,1.7,3.2,0.000148659626320065,5,4.1,3.1,2.4
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,3.9,0.19986416998156592,0.9,2.4,2.4,1.0420751633986929,5,3.7,3.1,3.7,1,5,4.35,2.9,0.020776166209329674,0.7,1.8,0,0,0,0,1,3.1
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,5,1,5,5,1.8,0.7236519607843137,3.6,2.7,4.1,2.7,0.36550945526390066,1.8,2.25,x,x,x,x,0,0,0,0,0,1.3
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,3.3,0.9978786593126856,5,4.15,4.3,0.9253759398496241,4.6,4.449999999999999,4.3,4.2,0.5367154174283973,2.7,3.45,3,0.012300123001230012,0.4,1.7,4.8,0.00023360772069259153,5,4.9,3.8,3.6
Tropical Cyclone Freddy in Malawi,Cyclone,MWI005,Malawi,MWI,2.5,0.3370810352142554,1.6,2.05,3,0.3642387218045113,1.8,2.4,2.2,3.1,0.2924783898851761,1.4,2.25,2.5,0.02337891486546096,0.8,1.7,4,0.00029951477723864136,5,4.5,3.4,2.9
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,1.6,0.028020088266626084,0,0.8,3.3,0.3086193185293938,1.5,2.4,1.7,4.2,1,5,4.6,3.2,0.018136769078295343,0.6,1.9,0,0,0,0,1,3.3
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,4.9,1,5,4.95,1.4,0.9931140015302219,5,3.2,4.3,2.6,0.42180277349768874,2.1,2.35,0,0,0,0,0,0,0,0,0,1.3
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,4.4,0.3231420225783532,1.5,2.95,3.7,1,5,4.35,3.7,3.3,0.2504784688995215,1.2,2.25,4.1,0.2247691817892391,5,4.6,3.9,0.000166189111747851,5,4.5,4.6,3.7
Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.06283891547049442,0.3,0.15,1.2,1.7,0.399746192893401,2,1.85,3.5,0.9079365079365079,5,4.3,2.3,0.0001238095238095238,5,3.7,4,3.1
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.16627615062761505,0.7,2.3,2.9,0.60207336523126,3,2.95,2.6,2.9,0.23165562913907284,1.1,2,3.6,0.19096626643796455,5,4.3,3.8,0.00026243567753001716,5,4.4,4.4,3.4
Nigerian Refugees,Displacement,NER004,Niger,NER,2.7,0.03299597379016342,0.1,1.4000000000000001,2.1,0.3350877192982456,1.6,1.85,1.6,2.4,0.19585911470728223,0.9,1.65,2.7,0.08748481166464156,2.9,2.8,1.6,1.701093560145808e-05,0.9,1.3,2.1,1.9
