,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,5.739,0.04,0.65,0,0,3,0.892673821745217,0.006221807435059885,0.10110437081972314,0,0,3,3
Displacement from Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,3.614,0,0.053,x,x,1.2,0.9855467684755931,0,0.014453231524406873,x,x,1,1.1
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,0,5.338,0.1,0,0,1.7,0,0.9816108863552777,0.018389113644722323,0,0,2,1.85
Country Level,"Earthquake,Socio-political,Violence",IDN007,Indonesia,IDN,15.061,7.023,0.215,0,0,2.2,0.6754114534284048,0.31494685860352484,0.009641687968070318,0,0,2,2.1
Earthquake in West Java province,Earthquake,IDN008,Indonesia,IDN,15.061,1.685,0.115,0,0,1.8,0.8932447660281122,0.09993476069035051,0.006820473281537276,0,0,2,1.9
Conflict in Jammu and Kashmir,Socio-political,IND002,India,IND,14.999,x,x,x,x,x,1,x,x,x,x,x,x
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,20.346,0,1.377,3.1,0,4.4,0.8196430729565323,0,0.05547274704910768,0.12488417999436006,0,4,4.2
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,38.918,2.8,2.406,0.244,0.128,4.1,0.8746404171161453,0.06292700467457749,0.0540722761596548,0.00548363897878461,0.002876663070837828,3,3.55
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,38.382,2.8,2.15,0.225,0.125,4,0.8786685591319079,0.06409962913785999,0.04921935808799963,0.005150863055720892,0.0028615905865116064,3,3.5
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,5.679,0.416,0.256,0.019,0.003,2.4,0.8909632883589582,0.06526513962974584,0.04016316284907436,0.002980859742704738,0.0004706620646375902,2,2.2
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,6.395,0,0.382,x,x,2.6,0.9436328759037922,0,0.05636712409620776,x,x,3,2.8
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,7.269,0,1.443,0.303,0.092,3.8,0.7980895915678524,0,0.15843214756258234,0.033267457180500656,0.010101010101010102,3,3.4
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,0.559,27.046,1.848,0.266,0,3.9,0.018810148731408575,0.910088162056666,0.06218453462547951,0.008950804226394778,0,3,3.45
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,0.559,0,0.589,x,x,3,0.48693379790940766,0,0.5130662020905923,x,x,3,3
Drought in Kenya,Drought,KEN003,Kenya,KEN,0,27.046,1.259,0.266,0,3.6,0,0.9466241993629905,0.044065660984914774,0.009310139652094781,0,3,3.3
2023 Floods in Laos,Floods,LAO003,Laos,LAO,5.818,0.089,0.021,0,0,0.5,0.9814439946018894,0.01501349527665317,0.00354251012145749,0,0,1,0.75
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,0,4.2,0.79,0.71,0,3.6,0,0.7368421052631579,0.13859649122807016,0.12456140350877193,0,4,3.8
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,0,1.8,3.788,0.112,0,4.3,0,0.3157894736842105,0.6645614035087719,0.019649122807017545,0,3,3.65
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,0,5.743,1.165,x,x,3.4,0,0.8313549507817024,0.16864504921829762,x,x,3,3.2
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,6.153,0.562,0.193,x,x,2.1,0.8907064273306311,0.08135495078170238,0.027938621887666475,x,x,2,2.05
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,0,1.126,0.884,x,x,3.2,0,0.5601990049751244,0.43980099502487563,x,x,3,3.1
Multiple crises in Sri Lanka,"Socio-political,Food Security,Floods",LKA001,Sri Lanka,LKA,0,15.022,6.015,1,0,4.7,0,0.6816717339020738,0.2729500385714934,0.045378227526432814,0,3,3.85
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,0,15.037,6,1,0,4.7,0,0.6823524073149703,0.2722693651585969,0.045378227526432814,0,3,3.85
2023 Floods and Monsoon Rain,Floods,LKA003,Sri Lanka,LKA,4.354,0.06,0.015,0,0,0.3,0.9830661548882367,0.013547076089410703,0.0033867690223526757,0,0,1,0.65
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,35.118,2.553,0.266,x,x,2.4,0.9256925956190526,0.06729577984553338,0.0070116245354139755,x,x,2,2.2
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,37.918,0,0.019,x,x,0.5,0.9994991696760419,0,0.0005008303239581411,x,x,1,0.75
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,1.2,2.553,0.247,x,x,2.3,0.3,0.63825,0.06175,x,x,3,2.65
DIsplacement from Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,2.592,0,0.119,x,x,1.8,0.9557522123893806,0,0.04387905604719764,x,x,1,1.4
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,0,4.587,3.821,0.079,0,4.3,0,0.5404736656062212,0.45021798044067396,0.009308353953104748,0,3,3.65
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,2.289,3.026,1.244,0.079,0,3.5,0.3448327809581199,0.45586019885507684,0.18740584513407652,0.011901175052726726,0,3,3.25
Tropical cyclone Freddy in Madagascar,Cyclone,MDG008,Madagascar,MDG,0,5.91,2.577,x,x,4,0,0.6963591375044185,0.3036408624955815,x,x,3,3.5
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,117.806,0.487,0.121,0,0,1.8,0.9948654719881095,0.004112689377945175,0.0010218386339453105,0,0,1,1.4
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,118.035,0.379,x,x,x,x,0.9967993649399565,0.003200635060043576,x,x,x,x,x
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,57.699,0.108,0.121,0,0,1.8,0.9960640116008079,0.001864415557512041,0.002088835948694046,0,0,1,1.4
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,8.8,4.1,6.8,1.8,0.2,4.9,0.4055299539170507,0.1889400921658986,0.31336405529953915,0.08294930875576037,0.009216589861751152,4,4.45
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,1.1,36.838,13.349,4.673,0,5,0.019656897784131523,0.6582916368834882,0.23854538956397428,0.083506075768406,0,4,4.5
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,0,1.8,0.434,1.238,0,3.7,0,0.5184331797235023,0.125,0.3565668202764977,0,4,3.85
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,0,3.4,1.165,0.308,0,3.6,0,0.697722142417402,0.2390724399753745,0.06320541760722348,0,4,3.8
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,1.1,32.138,11.25,3.127,0,5,0.02310196366691169,0.6749553712065525,0.23627008295705135,0.0656725821694844,0,4,4.5
Cyclone Mocha in Myanmar,"Cyclone,Floods",MMR005,Myanmar,MMR,10.143,0,0.5,0,0,2.8,0.9530207648219488,0,0.046979235178051304,0,0,1,1.9
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,21.192,10.755,2.092,x,x,3.9,0.6225982725189494,0.31597038603913274,0.06146072037134967,x,x,3,3.45
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,0,9.584,2,x,x,3.8,0,0.8273480662983426,0.17265193370165746,x,x,3,3.4
Floods in Maputo province in Mozambique,Floods,MOZ009,Mozambique,MOZ,3.309,0.015,0.017,0,0,0.4,0.9901256732495511,0.004488330341113106,0.005086774386594853,0,0,1,0.7
Tropical Cyclone Freddy in Mozambique,Cyclone,MOZ010,Mozambique,MOZ,16.794,1.156,0.075,x,x,1.5,0.9317059639389736,0.06413314840499307,0.004160887656033287,x,x,2,1.75
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,0,4.996,0.106,x,x,1.7,0,0.9792238337906704,0.020776166209329674,x,x,2,1.85
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,2.248,0.823,0.444,0.028,0,2.8,0.6344905447360993,0.2322890206040079,0.12531752751905165,0.007902907140841095,0,3,2.9
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,9.123,6.167,4.136,0.266,0,4.4,0.46328458257160265,0.31317286207596995,0.21003453178955922,0.01350802356286817,0,3,3.7
Tropical Cyclone Freddy in Malawi,Cyclone,MWI005,Malawi,MWI,5.484,0.917,1.35,x,x,3.6,0.7075216101148238,0.1183073151851374,0.1741710747000387,x,x,3,3.3
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,0,9.907,0.183,0,0,2.1,0,0.9818632309217047,0.018136769078295343,0,0,2,2.05
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,1.501,0.856,0.234,0.006,0,2.3,0.5781972265023112,0.32973805855161786,0.0901386748844376,0.0023112480739599386,0,3,2.65
