,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,5,1.0105069574834744,5,5,5,1,5,5,5,1.7,0.002583979328165375,0,0.85,2.7,0.2554517133956386,5,3.9,3.5,0.0009376947040498442,5,4.3,4.1,2.8
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,5,1.0105069574834744,5,5,5,1.038196205333784,5,5,5,1.8,0.002768042675929659,0,0.9,3.6,1,5,4.3,5,0.009675070028011204,5,5,4.7,3.4
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,5,1.0105069574834744,5,5,5,1.0438391010005876,5,5,5,2.3,0.00613080595035204,0,1.15,2.7,0.10314465408805032,3.4,3.1,3.5,0.00037861635220125787,5,4.3,3.8,2.7
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,5,1,5,5,4.4,1,5,4.7,4.9,4.3,0.5740613665326929,2.8,3.55,4.4,0.0979337431693989,3.3,3.9,4.3,8.939549180327869e-05,4.5,4.4,4.2,3.9
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,4.7,1.0130121883995835,5,4.85,5,0.99915359541861,5,5,4.9,5,0.6303666053855305,3.1,4.05,4.7,0.05252473265854635,1.8,3.3,5,0.00032767198490307086,5,5,4.3,4.2
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.7,0.06240429962638574,0.2,1.4500000000000002,1.9,0.06589349709160978,0.3,1.0999999999999999,1.3,3.2,0.6993714129543591,3.5,3.35,4.4,0.4837827276279797,5,4.7,2.3,1.5631105900742477e-05,0.8,1.6,3.6,3.5
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,4,0.37490506522937467,1.8,2.9,3.1,0.1511462479064993,0.7,1.9,2.4,4,1,5,4.5,2.9,0.012987012987012988,0.4,1.7,4.2,0.00010508757297748124,5,4.6,3.5,4.1
Post-coup conflict in Myanmar,Conflict,MMR004,Myanmar,MMR,4.3,0.5817924297176457,2.9,3.5999999999999996,5,0.7809612995011616,3.9,4.45,4.1,5,0.701655674952728,3.5,4.25,3.8,0.016103588799789667,0.5,2.2,5,0.0003463257525962929,5,5,4,4.1
Multiple Crises in Mozambique,Multiple crises country,MOZ001,Mozambique,MOZ,4.6,0.6997418550827844,3.5,4.05,4.4,0.7067770771256323,3.5,3.95,4,4.2,0.5336045884602186,2.6,3.4000000000000004,4.1,0.07266881028938907,2.4,3.3,4,5.943959577400092e-05,3,3.5,3.4,3.4
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.4,0.35693992100339544,1.8,2.6,2.8,4.2,1,5,4.6,4.1,0.07610172781984081,2.5,3.3,3.9,4.901960784313725e-05,2.5,3.2,3.3,4
2022 Tropical Cyclone Seasons in Mozambique,Tropical cyclone,MOZ008,Mozambique,MOZ,4.5,0.5995638241053943,3,3.75,4.2,0.6259441480146906,3.1,3.6500000000000004,3.7,2.5,0.05651500055352596,0.2,1.35,1.1,0.005876591576885406,0.2,0.7,3.1,0.00013907933398628794,5,4.1,2.8,2.1
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,0,7.276608130396817e-05,0,0,0,0.02281460134486071,0.1,0.05,0,0.7,0.8947368421052632,4.5,2.6,2.8,1,5,3.9,0,0,0,0,2.4,2.5
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,5,1,5,5,2.1,1,5,3.55,4.4,3.6,1.0883765609990395,5,4.3,x,x,x,x,0,0,0,0,0,2.8
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,3.3,1,5,4.15,4.3,1,5,4.65,4.4,2.5,0.051753881541115584,0.2,1.35,3.3,0.1919191919191919,5,4.2,2.6,7.171717171717172e-05,3.6,3.1,3.7,2.7
Tropical Cyclone Ana in Malawi,Tropical cyclone,MWI004,Malawi,MWI,3.3,1.0028425965210013,5,4.15,4.1,0.8887030163625909,4.4,4.25,4.2,1.9,0.024352941176470588,0.1,1,2.7,0.18840579710144928,5,3.9,2.2,7.729468599033817e-05,3.9,3.1,3.5,2.5
International Refugees in Malaysia,International displacement,MYS001,Malaysia,MYS,1.6,0.028020088266626084,0,0.8,3.3,0.3086193185293938,1.5,2.4,1.7,4.2,1,5,4.6,3.2,0.018037661050545096,0.6,1.9,1,4.955401387512389e-07,0,0.5,1.2,3.4
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,4.9,1.001217068104799,5,4.95,1.4,1.003935458480913,5,3.2,4.3,2.8,0.622108976871815,3.1,2.95,0,0,0,0,0,0,0,0,0,1.7
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,5,1.0002368358727403,5,5,4.6,1,5,4.8,4.9,3.5,0.16310924369747898,0.8,2.15,3.9,0.14992272024729522,5,4.5,4,0.00016048428645028335,5,4.5,4.5,3.6
Boko Haram in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.03987394957983193,0.2,0.1,1.2,1.6,0.3087460484720759,1.5,1.55,3.4,0.8088737201365188,5,4.2,3,0.00041979522184300343,5,4,4.1,3.1
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.1662587826636141,0.7,2.3,3.1,0.35294117647058826,1.7,2.4,2.4,2.7,0.16142857142857142,0.8,1.75,3.4,0.16519174041297935,5,4.2,3.8,0.00034808259587020647,5,4.4,4.3,3.3
Nigerian Refugees,International displacement,NER004,Niger,NER,1.6,0.006801926265098287,0,0.8,0.4,0.05579831932773109,0.2,0.30000000000000004,0.6,2.2,0.5301204819277109,2.6,2.4000000000000004,3.2,0.265625,5,4.1,1.7,2.2727272727272726e-05,1.1,1.4,3,2.7
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,4.9,0.999033784599844,5,4.95,5,1,5,5,5,4.6,0.09384884059377123,0.4,2.5,5,0.27442365346841724,5,5,5,0.00026449912126537786,5,5,5,4.1
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,3.8,0.19946199369764045,0.9,2.35,4,0.07534685165421558,0.3,2.15,2.3,2.5,0.06322431109966521,0.3,1.4,3.7,0.3869653767820774,5,4.4,3.8,0.00046130346232179227,5,4.4,4.4,3.3
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,3.7,0.17338954950206967,0.8,2.25,3.9,0.07087901426215193,0.3,2.1,2.2,4.4,1,5,4.7,5,0.29922661008828966,5,5,4.5,9.547601122441996e-05,4.8,4.7,4.9,4.8
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,4,0.26099673902302445,1.2,2.6,5,0.17266420879014263,0.8,2.9,2.8,3.4,0.1033630208187003,0.5,1.95,3.8,0.13182930144060886,4.4,4.1,3.8,0.00012802391954335417,5,4.4,4.3,3.4
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,3.4,0.11933638569562019,0.5,1.95,3.7,0.06148733870185311,0.3,2,2,0.6,0.00544378698224852,0,0.3,2.6,1,5,3.8,0,0,0,0,2.3,1.4
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,3.5,0.9996676084427456,5,4.25,2.7,1,5,3.85,4.1,1.2,0.024651162790697675,0.1,0.65,3.1,1,5,4.1,0.9,2.5157232704402517e-05,1.3,1.1,2.9,1.9
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,4.8,1,5,4.9,5,1,5,5,5,5,0.29998387722287345,1.5,3.25,5,0.31462893830890576,5,5,4.2,1.1940211786238252e-05,0.6,2.4,4.1,3.7
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,1.9,0.01724911789124118,0,0.95,2.2,0.01939090762520208,0,1.1,1,x,x,x,x,x,x,x,x,0,x,x,0,0,0
Venezuela displacement in Panama,International displacement,PAN002,Panama,PAN,3.1,0.9981167608286252,5,4.05,0,0.028372093023255815,0.1,0.05,2.6,0.8,0.7868852459016393,3.9,2.35,0.9,0.041666666666666664,1.4,1.2,1.7,0.00015625,5,3.4,2.5,2.4
Venezuela displacement in Peru,International displacement,PER002,Peru,PER,3.9,0.1602296875,0.7,2.3,3.4,0.3233030303030303,1.6,2.5,2.4,3,0.1933639516355797,0.9,1.95,4.3,0.5089675230247213,5,4.7,x,x,x,x,4.7,3.7
Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,3.9,0.7798721534694973,3.9,3.9,5,0.41193950455366724,2,3.5,3.7,4.3,0.2702883223867305,1.3,2.8,3,0.010378912685337726,0.3,1.7,3.9,4.085667215815486e-05,2,3,2.4,2.6
