,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
REG013,491,428,428,428,512,512,512,512,512,512,512,151,151,151,151,151,151,151,151,151,459.1,,
REG014,3,3,3,3,3,3,3,3,3,29,29,29,29,29,29,29,29,29,29,29,10.8,,
ROU002,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
RWA002,1,1,1,1,517,1,1,1,1,1,1,153,153,153,153,153,153,153,153,153,67.8,,
SDN001,276,94,94,3,3,94,94,94,94,94,276,155,155,155,155,155,155,155,155,155,100.1,,
SDN005,276,276,276,3,3,3,3,3,3,3,199,155,155,155,155,155,155,155,155,155,65.1,,
SDN007,276,276,276,3,3,3,3,3,3,3,276,155,155,155,155,155,155,155,155,155,72.8,,
SDN008,335,87,87,60,3,94,94,94,94,94,335,155,155,155,155,155,155,155,155,155,111,,
SEN002,542,426,426,840,1162,426,426,426,426,426,1162,155,155,155,155,155,155,155,155,155,587.5,,
SLV001,135,135,135,135,135,135,135,135,135,135,135,157,157,157,157,157,157,157,157,157,137.2,,
SOM001,892,132,132,132,63,132,132,132,132,132,1155,155,155,155,155,155,155,155,155,155,229.7,,
SOM002,311,311,311,311,63,311,311,311,311,311,311,154,154,154,154,154,154,154,154,154,270.5,,
SOM005,62,62,48,13,126,13,13,13,13,13,126,125,125,125,125,125,125,125,125,125,50.3,,
SSD001,1007,1,1,1,1,1,1,1,1,1,1,155,155,155,155,155,155,155,155,155,16.4,,
SVK002,24,0,0,2,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,17,,
SWZ001,263,60,60,777,4,60,60,60,60,60,263,155,155,155,155,155,155,155,155,155,155.9,,
SYR001,36,36,36,36,36,36,36,36,36,36,1156,162,162,162,162,162,162,162,162,162,160.6,,
TCD001,464,370,464,129,129,464,464,464,464,464,464,153,153,153,153,153,153,153,153,153,365.9,,
TCD003,1140,370,370,370,370,532,532,532,532,532,1140,153,153,153,153,153,153,153,153,153,506.3,,
TCD004,737,737,737,370,1140,737,737,737,737,737,1140,153,153,153,153,153,153,153,153,153,722.5,,
TCD005,737,737,737,370,370,737,737,737,737,737,1140,153,153,153,153,153,153,153,153,153,645.5,,
TCD006,1140,737,737,1140,370,610,610,610,610,610,882,153,153,153,153,153,153,153,153,153,633.2,,
THA001,975,16,16,16,16,427,162,16,427,427,1142,157,157,157,157,157,157,157,157,157,280.6,,
THA002,975,975,155,975,16,731,731,731,731,731,1142,157,157,157,157,157,157,157,157,157,610,,
THA003,860,16,16,16,427,427,427,16,427,427,1142,157,157,157,157,157,157,157,157,157,348.2,,
TON002,71,71,3,3,71,3,3,3,3,3,71,71,71,71,71,71,71,71,71,71,23.4,,
TTO002,1127,42,42,36,487,42,42,42,42,42,853,156,156,156,156,156,156,156,156,156,178.4,,
TUN002,548,659,659,659,238,1140,1140,1140,1140,1140,1140,161,161,161,161,161,161,161,161,161,855.7,,
TUR001,1140,92,92,92,92,92,92,92,92,92,1140,162,162,162,162,162,162,162,162,162,203.8,,
TUR002,1140,92,92,92,92,92,92,92,92,92,1140,162,162,162,162,162,162,162,162,162,203.8,,
TUR003,1140,92,92,92,92,92,92,92,92,92,1140,162,162,162,162,162,162,162,162,162,203.8,,
TUR004,1140,1140,1140,1140,92,1140,1140,1140,1140,1140,1140,162,162,162,162,162,162,162,162,162,937.4,,
TZA001,16,3,3,3,3,3,3,3,3,3,16,16,16,16,16,16,16,16,16,16,5.6,,
TZA002,36,263,263,3,3,3,3,3,3,3,263,155,155,155,155,155,155,155,155,155,70.2,,
TZA003,16,16,16,16,3,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14.7,,
UGA005,853,195,29,29,664,29,29,29,29,29,612,153,153,153,153,153,153,153,153,153,163.2,,
UKR002,31,31,25,25,25,25,25,25,25,25,731,155,155,155,155,155,155,155,155,155,108.6,,
VEN001,540,427,427,427,784,427,427,427,511,511,1007,162,162,162,162,162,162,162,162,162,511,,
YEM001,66,66,66,66,66,66,66,66,66,66,1158,151,151,151,150,151,150,150,150,150,183.7,,
YEM002,66,66,66,66,66,66,66,66,66,66,1128,150,150,150,150,150,150,150,150,150,180.6,,
ZMB002,200,130,130,944,4,130,130,130,130,130,200,155,155,155,155,155,155,155,155,155,208.3,,
ZWE001,267,267,94,94,4,94,94,94,94,94,94,155,155,155,155,155,155,155,155,155,91.1,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,MIN,5.6
,,,,,,,,,,,,,,,,,,,,,,MAX,937.4
