,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,4,1,5,4.5,4.2,1,5,4.6,4.6,4,0.4217543469807233,2.1,3.05,3.8,0.06256585879873551,2.1,3,0,0,0,0,1.7,2.4
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,5,1,5,5,3.9,2,0.0044145063139751665,0,1,3.9,1,5,4.5,1,9.960159362549801e-06,0.5,0.8,3.2,2.2
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,3.5,1.000001652335411,5,4.25,1.9,1,5,3.45,3.9,2.6,0.2901609074122923,1.4,2,4,0.5754545454545454,5,4.5,x,x,x,x,4.5,3.5
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,3.3,0.2001067769761945,0.9,2.1,5,1,5,5,4,0.6,0.0014931022880215344,0,0.3,2.6,1,5,3.8,3.2,0.002492957746478873,5,4.1,4,2.6
Displacement from Russia-Ukraine conflict in Estonia,"Conflict,Displacement",EST002,Estonia,EST,2.7,1,5,3.85,0.5,1,5,2.75,3.4,0.1,0.0273972602739726,0.1,0.1,2.3,1,5,3.7,0,0,0,0,2.3,1.3
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,5,0.9999997341771849,5,5,5,1,5,5,5,5,0.6709772466852185,3.3,4.15,5,0.05138303186607651,1.7,3.4,5,4.126441989335378e-05,2.1,3.6,3.5,3.8
International Displacement,Displacement,ETH003,Ethiopia,ETH,5,0.9999997341771849,5,5,5,1,5,5,5,5,0.3272221312817155,1.6,3.3,4.3,0.022940041449296077,0.8,2.6,x,x,x,x,2.6,3
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,4.1,0.26493673904342596,1.2,2.65,5,0.23852395762692047,1.2,3.1,2.9,5,1,5,5,4.8,0.07349673202614379,2.4,3.6,5,0.00011607843137254902,5,5,4.4,4.7
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,4.8,0.694956534868466,3.4,4.1,5,0.4864017959450927,2.4,3.7,3.9,4.8,0.38621794871794873,1.9,3.3499999999999996,4,0.025809128630705395,0.9,2.5,2,9.95850622406639e-07,0,1,1.8,2.7
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,1.7,0.07584173778122576,0.3,1,0,0.05351491320609955,0.2,0.1,0.6,0.8,0.17025089605734767,0.8,0.8,2.8,1,5,3.9,1.7,0.00016842105263157895,5,3.4,3.7,2.5
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,3.4,1,5,4.2,4.2,1,5,4.6,4.4,4.1,0.5205681818181818,2.6,3.3499999999999996,2.9,0.0114603798297315,0.4,1.7,3.2,1.844575420213927e-05,0.9,2.1,1.9,2.7
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,3.4,1,5,4.2,3.3,1,5,4.15,4.2,3.8,0.5967162647511545,3,3.4,4.1,0.129664660361135,4.3,4.2,3.2,3.233018056749785e-05,1.6,2.4,3.4,3.4
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.4,1,5,3.7,3.5,1,5,4.25,4,4,0.7105263157894737,3.5,3.75,3.1,0.01950617283950617,0.7,1.9,4.1,8.851851851851852e-05,4.4,4.3,3.3,3.5
Displacement from Russia-Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,3.3,1.0192088538242385,5,4.15,3.3,1,5,4.15,4.2,0.5,0.006797816458955608,0,0.25,2.6,1,5,3.8,0,0,0,0,2.3,1.4
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,4.4,0.22297417433729155,1,2.7,2.5,0.020124864458778816,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.018389113644722323,0.6,1.8,2.9,2.0228025009194558e-05,1,2,1.9,3.4
