,,,,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected,,,
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,1.889,15.744,1.496,0,0,3.6,0.09875058811229025,0.8230435464478018,0.078205865439908,0,0,3,3.3,,,
International Refugees in Malaysia,International displacement,MYS001,Malaysia,MYS,3.635,0,0.18,0,0,2.1,0.9528178243774574,0,0.047182175622542594,0,0,1,1.55,,,
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,0.964,0.836,0.632,0.119,0,3.1,0.377891023128185,0.32771462171697374,0.24774598196785574,0.046648373186985496,0,3,3.05,,,
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,19.918,0.06,3.648,0.173,0,4.3,0.836890756302521,0.0025210084033613447,0.15327731092436975,0.0072689075630252105,0,3,3.65,,,
Boko Haram in Niger,Conflict,NER002,Niger,NER,0.656,0.001,0.272,0.02,0,2.4,0.6912539515279241,0.001053740779768177,0.28661749209694415,0.02107481559536354,0,3,2.7,,,
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,7.044,0.009,1.31,0.036,0,3.5,0.8385714285714285,0.0010714285714285715,0.15595238095238095,0.004285714285714286,0,3,3.25,,,
Nigerian Refugees,International displacement,NER004,Niger,NER,0.624,0,0.662,0.042,0,3.1,0.46987951807228917,0,0.49849397590361444,0.03162650602409638,0,3,3.05,,,
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,59.07,4.4,10.734,2.697,0,5,0.7681304534401373,0.05721642111285939,0.1395820600512347,0.03507106539576858,0,3,4,,,
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,14.55,0,0.982,0,0,3.3,0.9367756889003348,0,0.06322431109966521,0,0,3,3.15,,,
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,0,4.4,6.003,2.697,0,4.9,0,0.33587786259541985,0.4582442748091603,0.20587786259541985,0,4,4.45,,,
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,31.914,0,3.679,0,0,4.3,0.8966369791812997,0,0.1033630208187003,0,0,3,3.65,,,
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,12.606,0,0.069,0,0,1.4,0.9945562130177514,0,0.00544378698224852,0,0,1,1.2,,,
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,x,x,x,0,0,x,x,x,x,0,0,x,x,,,
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,158.943,59.546,9.856,1.144,0,5,0.6925952877915718,0.25947213156186133,0.04294759225932398,0.004984988387242962,0,2,3.5,,,
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
Venezuela displacement in Peru,International displacement,PER002,Peru,PER,0.337,0,0.713,0,0,3.1,0.32095238095238093,0,0.679047619047619,0,0,3,3.05,,,
Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,36.614,5.785,2.517,0,0,4,0.8151842368919069,0.1287988422575977,0.05603918512746298,0,0,3,3.5,,,
Mindanao conflict,Conflict,PHL003,Philippines,PHL,26.136,0,0.117,0,0,1.8,0.9955812890446443,0,0.004456803291177815,0,0,1,1.4,,,
Typhoon RAI,Tropical cyclone,PHL010,Philippines,PHL,10.478,5.785,2.4,0,0,4,0.5614617940199336,0.3099882113385489,0.12860357946629514,0,0,3,3.5,,,
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,0,15.12,4.97,5.459,0,5,0,0.5891062105509234,0.19364139328294241,0.21269383620353777,0,4,4.5,,,
Conflict in Palestine,Conflict,PSE002,Palestine,PSE,0.63,2.294,2.054,0.336,0.021,4,0.11808809746954077,0.42999062792877224,0.38500468603561383,0.06298031865042174,0.003936269915651359,4,4,,,
Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",6.035,4.223,4.636,4.201,0.122,4.9,0.31404485611697974,0.21975334339387,0.24124473122755893,0.21860852370297132,0.006348545558619972,4,4.45,,,
Venezuela Regional Crisis,Regional crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago","VEN,BRA,COL,ECU,PER,TTO",39.506,13.009,20.392,0.162,0,5,0.5406670407423121,0.17803719771722618,0.27907867905678196,0.0022170824836798093,0,3,4,,,
Regional Kashmir conflict,Regional crisis,REG003,"India,Pakistan","IND,PAK",x,x,x,x,x,x,x,x,x,x,x,x,x,,,
Syrian Regional Crisis,Regional crisis,REG004,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",56.45,17.829,3.111,13.541,1.56,5,0.6103296536960353,0.19276470143040944,0.03363570509563093,0.14640343384761761,0.01686650593030673,4,4.5,,,
Eastern Mediterranean Route ,Regional crisis,REG006,"Turkey,Greece","TUR,GRC",25.305,10.294,1.699,0.741,0,4,0.6652208201892744,0.27060988433228184,0.04466351209253418,0.019479495268138802,0,3,3.5,,,
Central Mediterranean Route,Regional crisis,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",x,x,x,x,x,x,x,x,x,x,x,x,x,,,
Western Mediterranean Route,Regional crisis,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",x,x,x,x,x,x,x,x,x,x,x,x,x,,,
Rohingya Regional Crisis,Regional crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",3.041,0,2.19,0,0,3.9,0.581341999617664,0,0.4186580003823361,0,0,3,3.45,,,
Southern Africa Regional Food Security Crisis,Regional crisis,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE",16.526,25.458,11.133,1.603,0.028,5,0.3018557755534449,0.4650032877913348,0.203349894060057,0.029279608387521007,0.0005114342076422883,3,4,,,
Nagorno-Karabakh Conflict,Regional crisis,REG013,"Armenia,Azerbaijan","ARM,AZE",x,x,x,x,x,x,x,x,x,x,x,x,x,,,
Burundi and DRC refugees in Rwanda,International displacement,RWA002,Rwanda,RWA,4.436,0,0.14,0,0,1.9,0.9694055944055944,0,0.030594405594405596,0,0,1,1.45,,,
Complex crisis in Sudan,Multiple crises country,SDN001,Sudan,SDN,17.9,15.8,6.2,6.2,1.9,5,0.3729166666666667,0.32916666666666666,0.12916666666666668,0.12916666666666668,0.03958333333333333,4,4.5,,,
Refugees in Sudan,International displacement,SDN005,Sudan,SDN,0,11.954,1.053,0,0,3.4,0,0.9190435919120473,0.08095640808795264,0,0,3,3.2,,,
Floods in Sudan ,Flood,SDN006,Sudan,SDN,46.086,0.227,0.087,0,0,1.6,0.9932327586206896,0.004892241379310345,0.001875,0,0,1,1.3,,,
Refugees from Ethiopia,International displacement,SDN007,Sudan,SDN,0,13.758,0.072,0,0,1.4,0,0.9947939262472885,0.005206073752711497,0,0,2,1.7,,,
Violence West-Darfur,Other type of violence,SDN008,Sudan,SDN,0,0.962,0.13,0.72,0.08,3.3,0,0.5233949945593036,0.07072905331882481,0.39173014145810664,0.04352557127312296,4,3.65,,,
Drought in Senegal,Drought,SEN002,Senegal,SEN,13.521,2.676,0.498,0.013,0,2.8,0.8092046202645281,0.16015321084445508,0.029804297085403077,0.0007780238194984738,0,2,2.4,,,
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,3.5,1.5,1.4,0.3,0,3.7,0.5223880597014925,0.22388059701492538,0.208955223880597,0.04477611940298507,0,3,3.35,,,
Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,0.019,8,7.7,0.036,0,4.8,0.0012059663598857505,0.5077753094255791,0.48873373532211994,0.002284988892415106,0,3,3.9,,,
Mixed Migration Flows in Somalia,International displacement,SOM002,Somalia,SOM,1.296,0,0,0.025,0,0.7,0.9803328290468987,0,0,0.018910741301059002,0,1,0.85,,,
Drought in Somalia,Drought,SOM005,Somalia,SOM,11.554,0,3.031,0.169,0,4.2,0.7831096651755456,0,0.20543581401653788,0.011454520807916497,0,3,3.6,,,
Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,0,3.4,4.471,3.829,0,4.9,0,0.29097133076593923,0.3826272999572101,0.32768506632434746,0,4,4.45,,,
Food Security Crisis in Eswatini,Food Security,SWZ001,Eswatini,SWZ,0.495,0.36,0.267,0.05,0,2.5,0.42235494880546076,0.30716723549488056,0.22781569965870307,0.042662116040955635,0,3,2.75,,,
Syrian conflict,Complex crisis,SYR001,Syria,SYR,0,4.1,0.63,11.27,1.5,5,0,0.23428571428571426,0.036,0.644,0.08571428571428572,5,5,,,
Complex crisis in Chad,Multiple crises country,TCD001,Chad,TCD,9.175,1.207,4.736,1.472,0.192,4.7,0.5462284931833066,0.07185806989343335,0.2819551110317319,0.08763469667202477,0.011430612609394535,4,4.35,,,
Boko Haram in Chad,Conflict,TCD003,Chad,TCD,0,0.318,0.098,0.147,0.122,2.6,0,0.46355685131195334,0.14285714285714285,0.21428571428571427,0.17784256559766765,5,3.8,,,
CAR refugees in Chad,International displacement,TCD004,Chad,TCD,3.452,0,0.743,0.261,0,3.3,0.774685816876122,0,0.16674147217235188,0.05857271095152603,0,4,3.65,,,
Darfur refugees in Chad,International displacement,TCD005,Chad,TCD,1.454,0,0.694,0.429,0,3.4,0.5642219635234769,0,0.2693053938688397,0.16647264260768335,0,4,3.7,,,
