Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Central Mediterranean Route,0,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",4345946,71270000,1247000,1247000,x,x,549,x,x,#N/A,x,70023000,0,1247000,0,0,4,x,x,1.0,3.0,2.0,0.0,2.0,3.0,2.0,1.0,2.0
Western Mediterranean Route,0,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",2928041,95192000,422000,422000,x,x,341,x,x,#N/A,x,94770000,0,422000,0,0,4,x,x,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0
Rohingya Regional Crisis,0,REG011,"Bangladesh,Myanmar","BGD,MMR",37508,4968000,4968000,1304000,x,x,361,x,x,#N/A,x,0,1800000,1930000,1238000,0,4,x,x,2.0,3.0,2.0,0.0,3.0,3.0,3.0,1.0,3.0
Southern Africa Regional Food Security Crisis,0,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",2606909,71851000,47795000,196000,206,42163,2203,0,228,#N/A,228,24056000,34356000,13013000,426000,0,5,#N/A,#N/A,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0
Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",35959,4452000,2860000,117000,x,x,13,x,x,#N/A,x,1593000,2833000,27000,0,0,2,x,x,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",1955270,101640000,65740000,5425000,4893,2206875,4893,x,x,#N/A,7852053,35900000,40609000,17561000,5347000,2222000,5,x,x,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",157336,24947000,8805000,429000,115449,x,46314,7600,6075,#N/A,x,16142000,8805000,x,x,x,5,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,2.0,3.0
Displacement from Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,62918,5159000,110000,110000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,5049000,0,110000,0,0,2,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi and DRC refugees in Rwanda,Displacement,RWA002,Rwanda,RWA,20524,2369000,127000,127000,x,x,x,0,0,#N/A,0,2255000,0,127000,0,0,2,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Complex crisis in Sudan,"Displacement,Violence,Floods",SDN001,Sudan,SDN,1840687,49800000,29300000,5541000,122,x,1658,48200,24800,#N/A,14851,20500000,13500000,10200000,5500000,100000,5,x,x,2.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,3.0
Refugees in Sudan,Displacement,SDN005,Sudan,SDN,89263,14770000,14770000,1129000,x,x,2,x,x,#N/A,x,0,13641000,1129000,0,0,2,#N/A,#N/A,2.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0
Floods in Sudan ,Floods,SDN006,Sudan,SDN,1840687,49800000,349000,139000,122,x,146,48200,24800,#N/A,14851,49451000,210000,139000,0,0,5,x,x,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0
Violence in Darfur and Kordofan regions,Violence,SDN008,Sudan,SDN,880145,17139000,17139000,182000,0,0,847,55,0,#N/A,0,0,9299000,3730000,4110000,0,2,0,0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0
