,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Food security crisis in Lesotho,Food Security,LSO003,Lesotho,LSO,2.4,0.8484848484848485,4.2,3.3,0.6,0.6398104265402843,3.2,1.9000000000000001,2.7,2.4,0.5589225589225589,2.8,2.5999999999999996,x,x,x,x,x,x,x,x,x,2.5999999999999996
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,0,0.0005571178436886507,0,0,1.9,1,5,3.5,3.6,0.01623809523809524,5,4.3,3.9,2.4
DIsplacement from Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,0.3,0.04852449041679343,0.1,0.2,0,0.06260769672601953,0.3,0.15,0.2,0.9,0.5,2.5,1.7,2.9,1,5,4,0,0,0,0,2.5,2.1
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,4.6,1,5,4.8,4.9,1,5,4.95,4.9,3.6,0.1593315134163393,0.8,2.2,2.3,0.008984538236523192,0.3,1.3,2.2,6.8951107396573335e-06,0.3,1.3,1.3,1.8
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,2.6,0.20740395499034556,1,1.8,2.1,3.6,0.7537720706260033,3.8,3.7,1.3,0.0017035775127768314,0.1,0.7,x,x,x,x,0.7,2.5
Tropical cyclone Cheneso in Madagascar,Cyclone,MDG007,Madagascar,MDG,4.6,1,5,4.8,4.9,1,5,4.95,4.9,0.8,0.0030294959717690924,0,0.4,2.2,0.37362637362637363,5,3.6,2.2,0.00036263736263736265,5,3.6,3.6,2.3
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,5,1,5,5,5,1,5,5,5,2.1,0.005126083064502508,0,1.05,4,1,5,4.5,5,0.014128500823723229,5,5,4.8,3.5
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,5,1,5,5,5,1,5,5,5,1.8,0.003200635060043576,0,0.9,3.7,1,5,4.4,5,0.02054353562005277,5,5,4.7,3.4
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,5,0.8599696494251395,4.3,4.65,5,0.9642272028645261,4.8,4.9,4.8,1.4,0.0019968820613428155,0,0.7,3.4,1,5,4.2,4.1,0.0034649122807017545,5,4.6,4.4,3
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,5,1.0163908899433696,5,5,4.5,1,5,4.75,4.9,4.4,0.5944700460829493,3,3.7,4.5,0.10744186046511628,3.6,4.1,4.6,0.00013294573643410853,5,4.8,4.5,4.1
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,4.7,1.0359802780670055,5,4.85,5,1,5,5,4.9,5,0.9802669345579793,4.9,4.95,4.9,0.050966254300563646,1.7,3.3,5,0.0001437852280213747,5,5,4.3,4.7
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.6,0.056314693452563236,0.2,1.4000000000000001,1.8,0.062284730195177954,0.3,1.05,1.2,3.4,1,5,4.2,4.5,0.37557603686635943,5,4.8,3.6,9.706221198156682e-05,4.9,4.3,4.6,4.4
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,3.6,0.22906841428308936,1.1,2.35,2.3,0.08741747990815155,0.4,1.3499999999999999,1.9,3.6,1,5,4.3,2.8,0.02011081469320747,0.7,1.8,3.9,0.00011532936589369998,5,4.5,3.5,3.9
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,4.5,0.750597170331353,3.7,4.1,5,0.8502977898966705,4.2,4.6,4.4,5,0.9767927593409144,4.9,4.95,4.5,0.029871055530357026,1,2.8,5,0.00015028402341303267,5,5,4.2,4.6
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,4.1,0.38614283170986036,1.9,3,3.8,0.3979670919279838,2,2.9,3,4.2,0.7749232267245899,3.9,4.05,4.3,0.10110187512081964,3.4,3.9,3.9,4.8327856176300016e-05,2.4,3.2,3.6,3.8
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.4,0.3070823894121855,1.5,2.45,2.7,4.2,1,5,4.6,4.3,0.09988351776354105,3.3,3.8,3.8,4.756357988740051e-05,2.4,3.1,3.5,4.1
Floods in Maputo province in Mozambique,Floods,MOZ009,Mozambique,MOZ,2.3,0.029298812279050842,0,1.15,1.6,0.09088470251579826,0.4,1,1.1,0.2,0.014102984585109873,0,0.1,1.8,0.3953488372093023,5,3.4,1.4,0.00023255813953488373,5,3.2,3.3,2
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,3.9,0.19986416998156592,0.9,2.4,0.6,0.3141611295681063,1.5,1.05,1.8,2.8,1,5,3.9,2.8,0.06477197620621282,2.2,2.5,0,0,0,0,1.4,2.9
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,5,1,5,5,2.1,0.9075996677740864,4.5,3.3,4.3,2.9,0.4102036147334706,2,2.45,x,x,x,x,0,0,0,0,0,1.4
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,3.3,1,5,4.15,4.3,1,5,4.65,4.4,4.2,0.5280040221216692,2.6,3.4000000000000004,2.9,0.0098076556846315,0.3,1.6,4.5,0.00013587888021329272,5,4.8,3.7,3.6
