,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
MRT002,31,31,31,0,0,31,31,31,31,31,31,14,14,14,14,14,14,14,14,14,23.1,,
MRT003,975,139,139,1008,0,139,139,139,139,139,139,14,14,14,14,14,14,14,14,14,199.5,,
MWI002,2,2,2,2,2,2,2,2,2,2,33,14,14,14,14,14,14,14,14,14,6.3,,
MWI005,33,2,2,2,2,2,2,2,2,2,33,14,14,14,14,14,14,14,14,14,6.3,,
MYS001,1,1,1,1,1,413,1,1,413,413,793,14,14,14,14,14,14,14,14,14,205.1,,
NAM002,254,38,38,1209,2,38,38,38,38,38,689,15,15,15,15,15,15,15,15,15,214.3,,
NER001,273,124,124,0,0,124,124,124,124,124,0,14,14,14,14,14,14,14,14,14,75.8,,
NER002,70,274,274,0,0,274,274,274,274,274,0,14,14,14,14,14,14,14,14,14,165.8,,
NER003,1569,261,261,0,0,261,274,274,274,274,0,14,14,14,14,14,14,14,14,14,163.2,,
NER004,852,261,254,0,0,261,254,254,254,254,0,14,14,14,14,14,14,14,14,14,154.5,,
NGA001,244,3,3,3,3,3,3,3,3,3,1428,14,14,14,14,14,14,14,14,14,146.6,,
NGA003,244,336,92,63,3,92,92,92,92,92,1429,14,14,14,14,14,14,14,14,14,206.1,,
NGA004,244,68,68,31,3,68,68,68,68,68,1430,14,14,14,14,14,14,14,14,14,188.6,,
NGA007,244,244,92,63,3,92,92,92,92,92,1262,14,14,14,14,14,14,14,14,14,189.4,,
NGA008,244,244,3,3,310,3,3,3,3,3,1218,14,14,14,14,14,14,14,14,14,156.3,,
NIC001,156,156,156,156,127,156,156,156,156,156,156,14,14,14,14,14,14,14,14,14,138.9,,
PAK001,519,31,31,1,1,31,31,31,31,31,1574,14,14,14,14,14,14,14,14,14,177.6,,
PAK004,277,0,519,519,1,0,519,519,519,519,1554,14,14,14,14,14,14,14,14,14,468.3,,
PAK005,92,273,273,65,182,273,212,212,273,307,307,14,14,14,14,14,14,14,14,14,211.8,,
PAN002,1,1,1,1,1,1,1,1,1,1,1,14,14,14,14,14,14,14,14,14,2.3,,
PER002,8,8,8,8,8,8,8,8,8,8,8,15,15,15,15,15,15,15,15,15,8.7,,
PHL001,184,118,1,1,1,1,1,1,1,1,1,14,14,14,14,14,14,14,14,14,2.3,,
PHL003,1279,674,1,1,1,1,34,1,34,34,1279,14,14,14,14,14,14,14,14,14,140,,
PHL012,184,184,121,1,184,1,1,1,92,92,184,14,14,14,14,14,14,14,14,14,69.1,,
PNG003,216,216,255,153,1,216,254,153,153,254,255,14,14,14,14,14,14,14,14,14,170.8,,
POL002,304,0,0,0,0,0,0,0,0,0,304,14,14,14,14,14,14,14,14,14,31.8,,
PRK001,799,31,31,1,1,92,31,31,92,92,1584,14,14,14,14,14,14,14,14,14,196.9,,
PSE002,36,36,36,1,1,36,36,36,36,36,1574,17,17,17,17,17,17,17,17,17,180.9,,
REG001,70,274,274,0,0,274,274,274,274,274,0,14,14,14,14,14,14,14,14,14,165.8,,
REG002,275,275,275,275,275,275,275,275,275,443,275,14,14,14,14,14,14,14,14,14,265.7,,
REG003,277,1,967,1290,1,0,1497,1497,1497,1497,1497,14,14,14,14,14,14,14,14,14,975.7,,
REG004,35,35,67,35,35,35,35,35,35,35,1471,13,13,13,13,13,13,13,13,13,179.6,,
REG006,35,1,1,1,1,1,1,1,1,1,1474,13,13,13,13,13,13,13,13,13,149.5,,
REG007,0,0,0,0,0,0,0,0,0,0,276,14,14,14,14,14,14,14,14,14,29,,
REG008,0,0,0,0,0,0,0,0,0,0,276,14,14,14,14,14,14,14,14,14,29,,
REG011,120,1,1,1,1,34,34,1,34,34,1,14,14,14,14,14,14,14,14,14,15.5,,
REG012,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,1.4,,
REG013,338,338,338,92,1,1,1,1,1,1,338,13,13,13,13,13,13,13,13,13,78.7,,
REG014,92,0,92,0,92,92,92,92,92,92,455,13,13,13,13,13,13,13,13,13,111.2,,
REG015,62,62,62,62,62,62,62,62,62,58,58,9,9,9,9,9,9,9,9,9,55.9,,
ROU002,304,0,0,0,0,0,0,0,0,0,304,15,15,15,15,15,15,15,15,15,31.9,,
RWA002,75,75,6,6,943,6,6,6,6,6,427,14,14,14,14,14,14,14,14,14,142.6,,
SDN001,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,1.4,,
SDN005,0,0,0,0,0,0,0,0,0,0,625,14,14,14,14,14,14,14,14,14,63.9,,
SDN008,0,0,0,0,0,0,0,0,0,0,761,14,14,14,14,14,14,14,14,14,77.5,,
SEN002,273,0,0,208,273,0,0,0,0,0,208,16,16,16,16,16,16,16,16,16,70.5,,
SLV001,1,1,1,1,1,1,1,1,1,1,1,14,14,14,14,14,14,14,14,14,2.3,,
SOM001,1318,1,1,1,1,1,1,1,1,1,107,14,14,14,14,14,14,14,14,14,12.9,,
SOM002,302,256,1,1,1,1,1,1,1,1,737,14,14,14,14,14,14,14,14,14,75.9,,
SSD001,184,184,184,5,5,99,99,99,99,99,184,14,14,14,14,14,14,14,14,14,88.7,,
SVK002,77,0,0,0,0,0,0,0,0,0,304,15,15,15,15,15,15,15,15,15,31.9,,
SWZ001,254,230,230,1203,38,230,230,230,230,230,230,15,15,15,15,15,15,15,15,15,286.6,,
SYR001,36,36,36,36,36,36,36,36,36,36,1582,13,13,13,13,13,13,13,13,13,188.3,,
SYR002,36,36,36,36,36,36,36,36,67,62,36,13,13,13,13,13,13,13,13,13,39.4,,
TCD001,890,796,890,58,58,890,890,308,308,308,890,14,14,14,14,14,14,14,14,14,461.4,,
TCD003,1566,308,308,58,58,308,308,308,308,308,1566,14,14,14,14,14,14,14,14,14,354.4,,
TCD004,1163,303,303,58,58,308,303,303,303,303,1566,14,14,14,14,14,14,14,14,14,351.9,,
TCD005,1163,308,308,58,58,308,303,303,308,308,274,14,14,14,14,14,14,14,14,14,224.2,,
