Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Regional Kashmir conflict,0,REG003,"India,Pakistan","IND,PAK",235533,19360000,16991000,x,x,x,53,x,x,#N/A,x,19360000,x,x,x,x,3,x,x,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0
Syrian Regional Crisis,0,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",497843,89445000,39275000,23175000,x,x,2561,x,x,#N/A,x,50243000,18097000,14113000,6864000,127000,5,#N/A,x,1.0,2.0,1.0,0.0,2.0,3.0,0.0,2.0,3.0
Eastern Mediterranean Route ,0,REG006,"Türkiye,Greece","TUR,GRC",180868,38044000,9003000,503000,x,x,200,x,x,#N/A,x,29041000,8799000,167000,36000,0,2,x,x,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0
Central Mediterranean Route,0,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",4345946,71525000,1307000,1307000,x,x,1005,x,x,#N/A,x,70218000,0,1307000,0,0,4,x,x,1.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0
Western Mediterranean Route,0,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",2928041,95452000,425000,425000,x,x,153,x,x,#N/A,x,95027000,0,425000,0,0,4,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rohingya Regional Crisis,0,REG011,"Bangladesh,Myanmar","BGD,MMR",37508,4970000,4970000,1300000,x,x,127,x,x,#N/A,x,0,1800000,1932000,1238000,0,4,x,x,2.0,3.0,2.0,0.0,3.0,3.0,0.0,1.0,3.0
Southern Africa Regional Food Security Crisis,0,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",2580949,72119000,48756000,8000,2186,39000,25,437,437,#N/A,228,23363000,34880000,13783000,93000,0,5,#N/A,#N/A,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",35959,4452000,2860000,117000,x,x,2,x,x,#N/A,x,1593000,2833000,27000,0,0,2,x,x,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0
Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",1955270,102770000,65740000,2544000,4893,2206875,4893,x,x,#N/A,7852053,35900000,40609000,17561000,5347000,2222000,5,x,x,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",157336,24947000,15100000,3003000,120000,x,51900,224000,x,#N/A,x,9847000,13715000,1385000,0,0,5,x,x,2.0,3.0,3.0,0.0,2.0,3.0,3.0,3.0,3.0
Displacement from Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,62918,5143000,94000,94000,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,5049000,0,94000,0,0,2,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi and DRC refugees in Rwanda,Displacement,RWA002,Rwanda,RWA,20524,2382000,126000,126000,x,x,x,0,0,#N/A,0,2256000,0,126000,0,0,2,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
