,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Nigerian Refugees,Displacement,NER004,Niger,NER,3.402,0.368,0.551,0.032,0.006,3,0.7804542326221611,0.08442303280568937,0.1264051387933012,0.00734113328745125,0.0013764624913971094,3,3
Complex crisis in Nigeria,"Conflict,Displacement,Violence",NGA001,Nigeria,NGA,200.1,7.8,12.63,2.522,0.2,5,0.8962925470206448,0.034937940363623333,0.056572588050328554,0.011296600717571544,0.0008958446247082905,3,4
Middle belt conflict,Violence,NGA003,Nigeria,NGA,13.372,0,2.014,0.147,0,3.9,0.8609322688642802,0,0.12966778264228687,0.009464331702292042,0,3,3.45
Boko Haram crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,0,7.8,5.9,2.2,0.2,4.9,0,0.484472049689441,0.36645962732919257,0.13664596273291926,0.012422360248447204,4,4.45
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,36.748,0,4.608,0.176,0,4.5,0.8848330163010764,0,0.11095326382702078,0.004237798271170932,0,3,3.75
Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,12.566,0,0.109,0,0,1.7,0.9914003944773175,0,0.008599605522682446,0,0,1,1.35
Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,6.001,0.2,x,x,x,x,0.9677471375584583,0.032252862441541685,x,x,x,x,x
Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,187.153,31.88,17.979,2.621,0,5,0.7809984434531138,0.13303676872550943,0.07502722913789002,0.010937558683486831,0,3,4
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,4.361,x,x,x,x,x,1,x,x,x,x,x,x
Floods in Pakistan ,Other seasonal event,PAK005,Pakistan,PAK,0,12.4,20.57,0.03,0,5,0,0.37575757575757573,0.6233333333333333,0.0009090909090909091,0,3,4
Venezuela displacement in Panama,Displacement,PAN002,Panama,PAN,0.075,0,0.073,0,0,1.4,0.5067567567567568,0,0.49324324324324326,0,0,3,2.2
Venezuela displacement in Peru,Displacement,PER002,Peru,PER,19.095,13.571,1.05,0,0,3.4,0.5663651193830639,0.40252113302684267,0.03114340797864452,0,0,2,2.7
Multiple crises in the Philippines,"Conflict,Cyclone,Violence,Floods,Other seasonal event",PHL001,Philippines,PHL,102.56,6.322,0.151,0,0,2,0.940632652499702,0.05798244568158264,0.0013849018187154349,0,0,2,2
Mindanao conflict,"Conflict,Violence",PHL003,Philippines,PHL,26.106,0,0.146,0,0,1.9,0.9944385189699833,0,0.005561481030016761,0,0,1,1.45
Typhoon Nalgae,Cyclone,PHL012,Philippines,PHL,89.635,6.322,0.005,0,0,0,0.9340676517788291,0.06588024426335425,5.210395781663575e-05,0,0,2,1
Highlands Violence,Earthquake,PNG003,Papua New Guinea,PNG,2.59,0,0.233,0.032,0,2.4,0.9071803852889667,0,0.08161120840630473,0.011208406304728547,0,3,2.7
Displacement from Ukraine conflict in Poland,"Displacement,Conflict",POL002,Poland,POL,0.36,0,1.606,0,0,3.7,0.18311291963377416,0,0.8168870803662258,0,0,3,3.35
Complex crisis in DPRK,"Socio-political,Floods,Other seasonal event,Food Security",PRK001,DPRK,PRK,0,15.715,4.97,5.459,0,5,0,0.6010709504685409,0.19009370816599733,0.20879709313444253,0,4,4.5
Conflict in Palestine,"Conflict,Socio-political,Violence",PSE002,Palestine,PSE,0,3.255,1.335,0.7,0.065,3.9,0,0.6078431372549019,0.24929971988795518,0.13071895424836602,0.012138188608776844,4,3.95
Regional Boko Haram Crisis,0,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",3.49,6.212,6.409,3.452,0.911,5,0.17046009573117124,0.30340920191462345,0.3130311614730878,0.16860408322750806,0.04449545765360945,4,4.5
Venezuela Regional Crisis,0,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",149.809,37.651,26.943,0,0,5,0.6987294894637177,0.17560936931558474,0.12566580535629332,0,0,3,4
Regional Kashmir conflict,0,REG003,"India,Pakistan","IND,PAK",19.36,x,x,x,x,x,1,x,x,x,x,x,x
Syrian Regional Crisis,0,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",50.243,18.097,14.113,6.864,0.127,5,0.5617194924255129,0.20232545139471184,0.1577841131421544,0.07673989602549053,0.001419866957348091,4,4.5
Eastern Mediterranean Route ,0,REG006,"Türkiye,Greece","TUR,GRC",29.041,8.799,0.167,0.036,0,2.2,0.7633529597308379,0.23128482809378614,0.004389654084743981,0.0009462727368310378,0,2,2.1
Central Mediterranean Route,0,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",70.218,0,1.307,0,0,3.5,0.9817266689968542,0,0.018273331003145755,0,0,1,2.25
Western Mediterranean Route,0,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",95.027,0,0.425,0,0,2.7,0.9955475003142941,0,0.004452499685705905,0,0,1,1.85
Rohingya Regional Crisis,0,REG011,"Bangladesh,Myanmar","BGD,MMR",0,1.8,1.932,1.238,0,4.2,0,0.36217303822937624,0.38873239436619716,0.24909456740442656,0,4,4.1
Southern Africa Regional Food Security Crisis,0,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",23.363,34.88,13.783,0.093,0,5,0.32395069260527737,0.48364508659299216,0.19111468545043608,0.0012895353512943884,0,3,4
Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",1.593,2.833,0.027,0,0,0.7,0.3578167115902965,0.6363432165318957,0.006064690026954178,0,0,2,1.35
Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",35.9,40.609,17.561,5.347,2.222,5,0.3493237326067919,0.3951444974214265,0.17087671499464824,0.052028802179624405,0.021621095650481658,4,4.5
Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",9.847,13.715,1.385,0,0,3.6,0.3947167996151842,0.5497655028660761,0.05551769751873973,0,0,3,3.3
Displacement from Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,5.049,0,0.094,0,0,1.6,0.9817227299241688,0,0.01827727007583123,0,0,1,1.3
Burundi and DRC refugees in Rwanda,Displacement,RWA002,Rwanda,RWA,2.256,0,0.126,0,0,1.8,0.947103274559194,0,0.05289672544080604,0,0,3,2.4
Complex crisis in Sudan,"Displacement,Violence,Floods",SDN001,Sudan,SDN,20.5,13.5,10.2,5.5,0.1,5,0.41164658634538154,0.2710843373493976,0.20481927710843373,0.11044176706827309,0.002008032128514056,4,4.5
Refugees in Sudan,Displacement,SDN005,Sudan,SDN,0,13.626,1.144,0,0,3.4,0,0.9225457007447528,0.07745429925524712,0,0,3,3.2
Violence in Darfur and Kordofan regions,Violence,SDN008,Sudan,SDN,0,9.299,3.73,4.11,0,4.8,0,0.5425637435089562,0.21763230060096855,0.2398039558900753,0,4,4.4
Drought in Senegal,Drought,SEN002,Senegal,SEN,14.118,3.078,0.672,0.008,0,3.1,0.7897739986574178,0.17218617140299844,0.037592302528529874,0.00044752741105392703,0,2,2.55
Complex crisis in El Salvador,"Displacement,Violence,Floods,Drought",SLV001,El Salvador,SLV,3.1,2.1,1.1,0,0,3.4,0.49206349206349204,0.3333333333333333,0.1746031746031746,0,0,3,3.2
Complex crisis in Somalia,"Conflict,Displacement,Floods,Drought",SOM001,Somalia,SOM,0,9.817,4.15,2.578,1.517,4.9,0,0.5428255460326237,0.22947193807022398,0.1425490738180813,0.08388166989217584,5,4.95
Mixed Migration Flows in Somalia,Displacement,SOM002,Somalia,SOM,2.659,0,0.035,0,0,0.9,0.9870081662954714,0,0.012991833704528583,0,0,1,0.95
Complex crisis in South Sudan,"Conflict,Floods,Displacement",SSD001,South Sudan,SSD,0,3.37,1.41,7.896,0.094,5,0,0.2637551850982234,0.11035454332002817,0.6179854425921578,0.007356969554668545,4,4.5
Displacement from Ukraine conflict in Slovakia,"Displacement,Conflict",SVK002,Slovakia,SVK,1.571,0,0.117,0,0,1.8,0.9312388855957321,0,0.06935388263189093,0,0,3,2.4
Food Security Crisis in Eswatini,Drought,SWZ001,Eswatini,SWZ,0.477,0.438,0.222,0.037,0,2.4,0.40630323679727426,0.3730834752981261,0.1890971039182283,0.03151618398637138,0,3,2.7
Syrian conflict,"Conflict,Displacement,Violence",SYR001,Syria,SYR,0,3.963,9.6,4.9,0.06,5,0,0.21395022404578093,0.5182745775522324,0.26453598229228525,0.0032392161097014524,4,4.5
