INFORM Severity Index - all countries. Release: June 2022,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Somalia,SOM001,Somalia,SOM,Complex crisis,4.4,5,Very High,Increasing,High,4.8,4.7,4.9,4.4,4.8,4,4.2,3.8,4.5,Africa,2022-05-23 00:00:00
Complex crisis in South Sudan,SSD001,South Sudan,SSD,Complex crisis,4.6,5,Very High,Increasing,High,4.6,4.6,4.6,4.95,4.9,5,4.2,3.8,4.5,Africa,2022-05-10 00:00:00
Displacement from Ukraine conflict in Slovakia,SVK002,Slovakia,SVK,International displacement,1.2,2,Low,Stable,High,1.8,1.5,2,1,0,2,1.1,1.1,1,Europe,2022-05-12 00:00:00
Food Security Crisis in Eswatini,SWZ001,Eswatini,SWZ,Food Security,2.3,3,Medium,Decreasing,High,2.1,3.1,1.5,2.75,2.5,3,1.7,2.7,0.5,Africa,2022-06-20 00:00:00
Syrian conflict,SYR001,Syria,SYR,Complex crisis,4.6,5,Very High,Decreasing,High,4.8,4.6,4.9,4.5,5,4,4.5,4.4,4.5,Middle east,2022-06-27 00:00:00
Complex crisis in Chad,TCD001,Chad,TCD,Multiple crises country,4.2,5,Very High,Increasing,Medium,4,4.8,3.4,4.35,4.7,4,4.2,3.8,4.5,Africa,2022-05-11 00:00:00
Multiple situations in Thailand,THA001,Thailand,THA,Multiple crises country,1.8,2,Low,Stable,High,2,1.2,2.4,1.3,1.6,1,2.5,2.5,2.5,Asia,2022-06-27 00:00:00
Tonga Volcano Eruption,TON002,Tonga,TON,Volcano,1.3,2,Low,Stable,Very High,2,2.5,1.7,1,0,2,1.1,1.1,1,Pacific,2022-05-16 00:00:00
Venezuelan refugees in Trinidad and Tobago,TTO002,Trinidad and Tobago,TTO,International displacement,1.6,2,Low,Decreasing,Medium,2.5,2.9,2.3,0.95,0.9,1,1.7,1.8,1.5,Americas,2022-05-05 00:00:00
Mixed migration flows in Tunisia,TUN002,Tunisia,TUN,International displacement,x,x,x,-,Low,3.1,4.3,2.2,x,x,x,1.3,2,0.5,Africa,2022-05-27 00:00:00
Complex situation in Turkey,TUR001,Turkey,TUR,Multiple crises country,3.2,4,High,Stable,High,3.4,3.7,3.3,3,4,2,3.3,3,3.5,Middle east,2022-06-29 00:00:00
Multiple Crises in Tanzania,TZA001,Tanzania,TZA,Multiple crises country,2.6,3,Medium,Increasing,Very High,3,2.3,3.3,3.1,3.2,3,1.6,2.2,1,Africa,2022-06-19 00:00:00
International Displacement in Uganda,UGA005,Uganda,UGA,International displacement,3.1,4,High,Stable,Medium,3.3,2.1,3.7,3.35,3.7,3,2.7,3.3,2,Africa,2022-05-13 00:00:00
Conflict in Ukraine,UKR002,Ukraine,UKR,Conflict,4.4,5,Very High,Increasing,Very High,4.6,4.9,4.4,5,5,5,3.4,2.6,4,Europe,2022-05-11 00:00:00
Complex crisis in Venezuela,VEN001,Venezuela,VEN,Complex crisis,4.2,5,Very High,Decreasing,Medium,4.6,4.9,4.5,4,5,3,4,3.3,4.5,Americas,2022-06-07 00:00:00
Conflict in Yemen,YEM001,Yemen,YEM,Complex crisis,4.8,5,Very High,Increasing,High,4.6,4.9,4.4,5,5,5,4.5,3.9,5,Middle east,2022-05-16 00:00:00
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
