,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,3.4,1,5,4.2,3.2,1,5,4.1,4.2,3.5,0.425531914893617,2.1,2.8,2.7,0.02,0.7,1.7,3.9,0.0001375,5,4.5,3.4,3.1
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,2.4,1,5,3.7,3.5,1,5,4.25,4,4,0.7192982456140351,3.6,3.8,2.8,0.010365853658536586,0.3,1.6,4.8,0.00027414634146341463,5,4.9,3.7,3.8
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,1.8,0.46629172714078376,2.3,2.05,2.7,0.5639473684210526,2.8,2.75,2.4,2.3,0.1244361487011977,0.6,1.45,3.1,0.2,5,4.1,4.8,0.00275875,5,4.9,4.5,3.4
Displacement from Ukraine conflict in Hungary,International displacement,HUN002,Hungary,HUN,0,0.003037667071688943,0,0,0,0.05121134528264723,0.2,0.1,0.1,1.8,0.7769230769230769,3.9,2.85,3.7,1,5,4.4,0,0,0,0,2.8,2.8
Papua Conflict,Conflict,IDN002,Indonesia,IDN,4.4,0.23294214410704528,1.1,2.75,2.5,0.020124864458778816,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.018389113644722323,0.6,1.8,2.2,6.25229863920559e-06,0.3,1.3,1.6,3.3
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.7,0.009265470772504286,0,1.85,2,x,x,x,x,x,x,x,x,3.3,x,x,3.3,3.3,3.3
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,4,0.1470818291215403,0.6,2.3,4.6,0.28856236122897366,1.4,3,2.7,3.3,0.11602143173669581,0.5,1.9,4.9,1,5,5,x,x,x,x,5,3.9
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,0.9850695540287927,4.9,4.95,4.7,3.7,0.137766167192429,0.6,2.15,5,1.5214669051878353,5,5,4.6,0.000304830053667263,5,4.8,4.9,3.9
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,0.9850695540287927,4.9,4.95,4.7,3.7,0.13061908517350157,0.6,2.15,5,1.5545283018867924,5,5,4.6,0.00032150943396226417,5,4.8,4.9,3.9
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,2.7,0.09357846748940873,0.4,1.55,2.4,0.12502731179141074,0.6,1.5,1.5,2,0.10135922330097087,0.5,1.25,3.5,0.5,5,4.3,x,x,x,x,4.3,3.1
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,2.7,0.1395729924525736,0.6,1.6500000000000001,2.8,0.10906319506011541,0.5,1.65,1.7,1.4,0.02966343411294923,0.1,0.75,3.3,1,5,4.2,4.1,0.0033461538461538464,5,4.6,4.4,3.1
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,2.7,0.4557670646542014,2.2,2.45,3.1,0.8058486026281695,4,3.55,3,2.9,0.2111851171336702,1,1.95,4.5,0.7172376291462752,5,4.8,0,0,0,0,3.2,2.6
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,4.5,0.9123238570474751,4.6,4.55,4.1,0.30439040022788777,1.5,2.8,3.8,4.4,0.843715271685091,4.2,4.300000000000001,3.9,0.03826689774696707,1.3,2.6,0.7,2.0797227036395148e-07,0,0.4,1.6,3.2
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.4,0.023002421307506054,0.1,0.25,0.9,2.1,0.42724458204334365,2.1,2.1,3.9,1,5,4.5,x,x,x,x,4.5,3.6
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.5,0.9123238570474751,4.6,4.55,4.1,0.29961900014242987,1.5,2.8,3.8,4.4,0.8243508229841345,4.1,4.25,x,x,x,x,0.7,2.162473870107403e-07,0,0.4,0.4,2.8
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.8,0.9204395604395604,4.6,4.199999999999999,4.5,0.24339382362304998,5,4.8,x,x,x,x,4.8,4.5
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.8,0.9204395604395604,4.6,4.199999999999999,x,x,x,x,1.7,2.387774594078319e-06,0.1,0.9,0.9,2.9
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,5,1,5,5,3,1,5,4,4.6,2.8,0.18292682926829268,0.9,1.8499999999999999,4.6,1.03,5,4.8,4.2,0.0006166666666666666,5,4.6,4.7,3.6
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,5,1,5,5,3,1,5,4,4.6,2.2,0.08280487804878049,0.4,1.3,4,1,5,4.5,4.2,0.0013136966126656847,5,4.6,4.6,3.4
Socio-economic crisis in Sri Lanka,Political and economic crisis,LKA002,Sri Lanka,LKA,3,0.9999202678998564,5,4,4.5,1,5,4.75,4.4,4.7,1,5,4.85,0,0,0,0,1.3,3.6107600649936813e-07,0,0.7,0.4,3.4
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,2.5,0.9998353096179183,5,3.75,0.6,0.7028571428571428,3.5,2.05,3,2.4,0.5867208672086721,2.9,2.65,x,x,x,x,0,0,0,0,0,1.5
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,x,x,x,x,x,x,x,x,2.8,x,x,2.8,2.8,2.8
DIsplacement from Ukraine conflict in Moldova,International displacement,MDA002,Moldova,MDA,0.3,0.04852449041679343,0.1,0.2,0,0.07547864506627393,0.3,0.15,0.2,0.8,0.4682926829268293,2.3,1.5499999999999998,2.8,1,5,3.9,0,0,0,0,2.4,2
Multiple crisis in Madagascar,Multiple crises country,MDG001,Madagascar,MDG,4.6,1,5,4.8,4.8,1,5,4.9,4.9,3.6,0.167,0.8,2.2,2,0.005544466622310933,0.2,1.1,3.4,5.744067420714127e-05,2.9,3.2,2.3,2.3
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,2.7,0.2351111111111111,1.1,1.9000000000000001,2.2,3.4,0.5590737240075614,2.8,3.0999999999999996,0.7,0.0008453085376162299,0,0.4,2.5,1.4933784164553396e-05,0.7,1.6,1,2.2
Tropical Cyclones Season in 2022 in Madagascar,Tropical cyclone,MDG006,Madagascar,MDG,4.6,1,5,4.8,4.8,1,5,4.9,4.9,2.5,0.035555555555555556,0.1,1.3,1.9,0.022916666666666665,0.8,1.4,3.3,0.00021458333333333334,5,4.2,3.1,2.3
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,5,1,5,5,5,1,5,5,5,2,0.004304601824331249,0,1,3.9,1,5,4.5,5,0.01720238095238095,5,5,4.8,3.5
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,5,1,5,5,5,1,5,5,5,1.8,0.0032369922448840147,0,0.9,3.7,1,5,4.4,5,0.021116094986807388,5,5,4.7,3.4
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,5,0.8599696494251395,4.3,4.65,5,0.9733439240203614,4.9,4.95,4.8,1,0.001096847222344094,0,0.5,3,1,5,4,4,0.005336,5,4.5,4.3,2.9
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,5,1.0163908899433696,5,5,4.4,0.9597630331753555,4.8,4.6,4.8,3.8,0.3110957483581058,1.5,2.65,4.5,0.21587301587301588,5,4.8,5,0.0005136507936507937,5,5,4.9,4
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,4.7,1.0130121883995835,5,4.85,5,1,5,5,4.9,5,0.627899461400359,3.1,4.05,4.7,0.06041630925830617,2,3.4,5,0.00033210384857322583,5,5,4.4,4.2
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.7,0.06240429962638574,0.2,1.4500000000000002,2,0.06919210053859964,0.3,1.15,1.3,2.8,0.40295796574987025,2,2.4,4.4,0.8113329040566645,5,4.7,2.3,2.5756600128783e-05,1.3,1.8,3.6,3.1
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,4,0.37490506522937467,1.8,2.9,3.1,0.15068222621184918,0.7,1.9,2.4,4,1,5,4.5,2.9,0.01215298463004885,0.4,1.7,4.3,0.00011485761944477541,5,4.7,3.6,4.1
Post-coup conflict in Myanmar,Conflict,MMR004,Myanmar,MMR,4.3,0.5817924297176457,2.9,3.5999999999999996,5,0.7801256732495512,3.9,4.45,4.1,5,0.7002508457413757,3.5,4.25,4.1,0.024681214670698042,0.8,2.5,5,0.00034872485868279215,5,5,4.1,4.2
Multiple Crises in Mozambique,Multiple crises country,MOZ001,Mozambique,MOZ,4.6,0.6997418550827844,3.5,4.05,4.4,0.7067770771256323,3.5,3.95,4,4.2,0.5336045884602186,2.6,3.4000000000000004,4.1,0.07266881028938907,2.4,3.3,4,5.943959577400092e-05,3,3.5,3.4,3.4
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.4,0.35693992100339544,1.8,2.6,2.8,4.2,1,5,4.6,4.1,0.07610172781984081,2.5,3.3,3.9,4.901960784313725e-05,2.5,3.2,3.3,4
2022 Tropical Cyclone Seasons in Mozambique,Tropical cyclone,MOZ008,Mozambique,MOZ,4.5,0.5995638241053943,3,3.75,4.2,0.6259441480146906,3.1,3.6500000000000004,3.7,2.5,0.05651500055352596,0.2,1.35,1.1,0.005876591576885406,0.2,0.7,3.1,0.00013907933398628794,5,4.1,2.8,2.1
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,0,7.276608130396817e-05,0,0,0,0.02281460134486071,0.1,0.05,0,0.7,0.8947368421052632,4.5,2.6,2.8,1,5,3.9,0,0,0,0,2.4,2.5
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,5,1,5,5,2.1,1,5,3.55,4.4,3.6,1.0883765609990395,5,4.3,x,x,x,x,0,0,0,0,0,2.8
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,3.3,1,5,4.15,4.3,1,5,4.65,4.4,2.5,0.051753881541115584,0.2,1.35,3.3,0.1919191919191919,5,4.2,2.7,7.272727272727273e-05,3.6,3.2,3.7,2.7
Tropical Cyclone Ana in Malawi,Tropical cyclone,MWI004,Malawi,MWI,3.3,1.0028425965210013,5,4.15,4.1,0.8887030163625909,4.4,4.25,4.2,1.9,0.024352941176470588,0.1,1,2.7,0.18840579710144928,5,3.9,2.2,7.729468599033817e-05,3.9,3.1,3.5,2.5
International Refugees in Malaysia,International displacement,MYS001,Malaysia,MYS,1.6,0.028020088266626084,0,0.8,3.3,0.3086193185293938,1.5,2.4,1.7,4.2,1,5,4.6,3.2,0.018136769078295343,0.6,1.9,1.1,5.946481665014866e-07,0,0.6,1.3,3.4
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,4.9,1.001217068104799,5,4.95,1.4,0.9811538461538462,4.9,3.1500000000000004,4.2,2.8,0.622108976871815,3.1,2.95,0,0,0,0,0,0,0,0,0,1.7
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,5,1.0002368358727403,5,5,4.6,1,5,4.8,4.9,3.6,0.17718367346938776,0.8,2.2,4,0.13706519235199263,4.6,4.3,3.9,0.00011541119557705598,5,4.5,4.4,3.5
Boko Haram in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.03873469387755102,0.1,0.05,1.2,1.6,0.3087460484720759,1.5,1.55,3.4,0.8088737201365188,5,4.2,3,0.00041979522184300343,5,4,4.1,3.1
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.1662587826636141,0.7,2.3,3.1,0.34285714285714286,1.7,2.4,2.4,2.7,0.16142857142857142,0.8,1.75,3.4,0.16519174041297935,5,4.2,3.8,0.00034808259587020647,5,4.4,4.3,3.3
Nigerian Refugees,International displacement,NER004,Niger,NER,1.6,0.006801926265098287,0,0.8,0.4,0.05420408163265306,0.2,0.30000000000000004,0.6,2.2,0.5301204819277109,2.6,2.4000000000000004,3.2,0.265625,5,4.1,1.7,2.2727272727272726e-05,1.1,1.4,3,2.7
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,4.9,0.999033784599844,5,4.95,5,1,5,5,5,4.6,0.09384884059377123,0.4,2.5,5,0.27442365346841724,5,5,5,0.00026449912126537786,5,5,5,4.1
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,3.8,0.19946199369764045,0.9,2.35,4,0.07534685165421558,0.3,2.15,2.3,2.5,0.06322431109966521,0.3,1.4,3.7,0.3869653767820774,5,4.4,3.8,0.00046130346232179227,5,4.4,4.4,3.3
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,3.7,0.17338954950206967,0.8,2.25,3.9,0.07087901426215193,0.3,2.1,2.2,4.4,1,5,4.7,5,0.29922661008828966,5,5,4.5,9.547601122441996e-05,4.8,4.7,4.9,4.8
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,4,0.26099673902302445,1.2,2.6,5,0.17266420879014263,0.8,2.9,2.8,3.8,0.17028629224847583,0.8,2.3,3.8,0.07424517406368586,2.5,3.2,5,0.0004916680415772975,5,5,4.3,3.5
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,3.4,0.11933638569562019,0.5,1.95,3.7,0.06148733870185311,0.3,2,2,0.6,0.006074950690335305,0,0.3,2.7,1,5,3.9,0,0,0,0,2.4,1.5
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,3.5,1,5,4.25,2.6,1,5,3.8,4,1.1,0.024189646831156264,0.1,0.6000000000000001,3.1,1,5,4.1,2.1,0.0002,5,3.6,3.9,2.6
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,4.8,1,5,4.9,5,1,5,5,5,5,0.29998387722287345,1.5,3.25,5,0.31462893830890576,5,5,4.2,1.2245253693185944e-05,0.6,2.4,4.1,3.7
