,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,4.6,1,5,4.8,4.9,1,5,4.95,4.9,2.8,0.05063590054987687,0.2,1.5,3.3,0.12858094603597603,4.3,3.8,3.4,0.0001625582944703531,5,4.2,4,3
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,0,0.024626387342711602,0.1,0.05,1.4,2.1,0.7410958904109589,3.7,2.9000000000000004,1,0.009242144177449169,0.3,0.7,2.1,5.545286506469501e-05,2.8,2.5,1.7,2.3
Tropical Cyclones Season in 2022 in Madagascar,Cyclone,MDG006,Madagascar,MDG,4.6,1,5,4.8,4.9,1,5,4.95,4.9,2.5,0.03238538609452485,0.1,1.3,3.2,0.19583333333333333,5,4.1,3.3,0.00022291666666666667,5,4.2,4.2,3.1
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,5,1,5,5,5,1,5,5,5,2.1,0.005126083064502508,0,1.05,4,1,5,4.5,5,0.014024711696869852,5,5,4.8,3.5
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,5,1,5,5,5,1,5,5,5,1.8,0.003200635060043576,0,0.9,3.7,1,5,4.4,5,0.020564643799472294,5,5,4.7,3.4
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,5,0.8599696494251395,4.3,4.65,5,0.9635431621260999,4.8,4.9,4.8,1.4,0.001998299692367021,0,0.7,3.4,1,5,4.2,4.1,0.0031535087719298245,5,4.6,4.4,3
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,5,1.0163908899433696,5,5,4.4,1,5,4.7,4.9,3.8,0.299017513882956,1.5,2.65,4.5,0.22142857142857142,5,4.8,4.7,0.0003244444444444444,5,4.9,4.9,4
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,4.7,1.0130121883995835,5,4.85,5,1,5,5,4.9,5,0.627899461400359,3.1,4.05,4.5,0.039572253674157946,1.3,2.9,5,0.00030053754217418654,5,5,4.2,4.1
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.7,0.06240429962638574,0.2,1.4500000000000002,2,0.06919210053859964,0.3,1.15,1.3,2.8,0.40295796574987025,2,2.4,4.4,0.8306503541532517,5,4.7,3.3,0.00012298776561493882,5,4.2,4.5,3.7
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,4,0.37490506522937467,1.8,2.9,3.1,0.15068222621184918,0.7,1.9,2.4,3.3,0.35660669605623735,1.8,2.55,2.9,0.03374540594721016,1.1,2,3.8,0.00016271299699298364,5,4.4,3.4,3
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,4.3,0.5817924297176457,2.9,3.5999999999999996,5,0.7801256732495512,3.9,4.45,4.1,5,0.7002508457413757,3.5,4.25,4.3,0.03585513342973577,1.2,2.8,5,0.0003231563034047588,5,5,4.2,4.2
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,4.6,0.6997418550827844,3.5,4.05,4.4,0.6162839879154078,3.1,3.75,3.9,4.2,0.5336045884602186,2.6,3.4000000000000004,4.3,0.08755167661920074,2.9,3.6,3.9,5.043638033991732e-05,2.5,3.2,3.4,3.4
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.4,0.31123867069486405,1.5,2.45,2.7,4.2,1,5,4.6,4.3,0.09192389827218016,3.1,3.7,3.7,3.950689186565716e-05,2,2.9,3.3,4
2022 Tropical Cyclone Seasons in Mozambique,Cyclone,MOZ008,Mozambique,MOZ,4.5,0.5995638241053943,3,3.75,4.2,0.5458006042296073,2.7,3.45,3.6,2.5,0.05651500055352596,0.2,1.35,1.1,0.005876591576885406,0.2,0.7,3.1,0.00013907933398628794,5,4.1,2.8,2.1
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,3.9,0.19986416998156592,0.9,2.4,0.6,0.31899641577060933,1.6,1.1,1.8,2.8,1,5,3.9,2.8,0.059484467944481166,2,2.4,0,0,0,0,1.3,2.8
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,5,1,5,5,2.1,0.9190385831752056,4.6,3.3499999999999996,4.3,3.1,0.5308557008488185,2.6,2.85,x,x,x,x,0,0,0,0,0,1.6
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,3.3,1,5,4.15,4.3,1,5,4.65,4.4,4.3,0.6007632390611114,3,3.65,3.1,0.012530455969369997,0.4,1.8,3.2,1.522798468499826e-05,0.8,2,1.9,2.9
Tropical Cyclone Ana in Malawi,Cyclone,MWI004,Malawi,MWI,3.3,1.0028425965210013,5,4.15,4.1,0.8887030163625909,4.4,4.25,4.2,2.5,0.05823529411764706,0.2,1.35,2.5,0.05454545454545454,1.8,2.2,2.4,4.6464646464646464e-05,2.3,2.4,2.3,1.9
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,1.6,0.028020088266626084,0,0.8,3.3,0.3086193185293938,1.5,2.4,1.7,4.2,1,5,4.6,3.2,0.018136769078295343,0.6,1.9,1.1,5.946481665014866e-07,0,0.6,1.3,3.4
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,4.9,1,5,4.95,1.4,0.9929933826391593,5,3.2,4.3,2.8,0.622108976871815,3.1,2.95,0,0,0,0,0,0,0,0,0,1.7
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,5,1.0002368358727403,5,5,4.6,1,5,4.8,4.9,3.5,0.16416326530612244,0.8,2.15,4,0.16907011437095973,5,4.5,3.9,0.00013177523620089507,5,4.5,4.5,3.6
Boko Haram in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.026734693877551022,0.1,0.05,1.2,2.2,1,5,3.6,3.5,0.44274809160305345,5,4.3,3.2,0.0002549618320610687,5,4.1,4.2,3.9
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.1662587826636141,0.7,2.3,2.6,0.24693877551020407,1.2,1.9,2.1,3.1,0.39834710743801655,2,2.55,3.5,0.11037344398340249,3.7,3.6,3.6,0.00013360995850622407,5,4.3,4,3.4
