Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in El Salvador,"Displacement,Violence,Floods,Drought",SLV001,El Salvador,SLV,20720,6300000,4078000,73000,x,x,14,x,x,#N/A,x,2222000,2963000,446000,669000,0,3,x,x,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0
Complex crisis in Somalia,"Conflict,Displacement,Floods,Drought",SOM001,Somalia,SOM,627340,18700000,18700000,7927000,608,1710640,2494,x,x,#N/A,x,0,11830000,3504000,2130000,1237000,5,x,x,1.0,3.0,3.0,3.0,0.0,2.0,3.0,3.0,3.0
Mixed Migration Flows in Somalia,Displacement,SOM002,Somalia,SOM,98924,2694000,39000,39000,x,x,x,x,x,#N/A,x,2655000,0,39000,x,x,2,x,x,1.0,3.0,3.0,3.0,0.0,2.0,3.0,2.0,3.0
Complex crisis in South Sudan,"Conflict,Floods,Displacement",SSD001,South Sudan,SSD,644329,12400000,12400000,7049000,x,2653,540,x,x,#N/A,x,0,3853000,1282000,7179000,85000,5,x,x,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0
Displacement from Russia-Ukraine conflict in Slovakia,"Displacement,Conflict",SVK002,Slovakia,SVK,48080,5552000,120000,120000,x,x,0,x,x,#N/A,x,5432000,0,120000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Security Crisis in Eswatini,Drought,SWZ001,Eswatini,SWZ,17200,1188000,714000,x,0,0,0,#N/A,#N/A,#N/A,#N/A,475000,431000,268000,15000,0,1,#N/A,#N/A,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
Syrian conflict,"Conflict,Displacement,Violence",SYR001,Syria,SYR,185180,23460000,23460000,15254000,x,x,2848,x,x,#N/A,x,0,6799000,8588000,8074000,0,5,x,1160000,1.0,3.0,3.0,0.0,2.0,3.0,3.0,2.0,0.0
Türkiye / Syria earthquake in Syria,Earthquake,SYR002,Syria,SYR,57285,13578000,8800000,123000,0,x,0,10000,10600,#N/A,x,4778000,8223000,297000,280000,0,5,x,x,1.0,3.0,3.0,0.0,2.0,3.0,3.0,2.0,0.0
Complex crisis in Chad,"Conflict,Displacement",TCD001,Chad,TCD,1284000,18894000,6010000,1702000,x,x,99,x,x,#N/A,x,12884000,0,5475000,534000,0,4,x,x,1.0,3.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0
Lake Chad basin crisis,Conflict,TCD003,Chad,TCD,22320,730000,512000,260000,x,x,22,x,x,#N/A,x,218000,0,450000,62000,0,4,x,x,1.0,3.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0
CAR refugees in Chad,Displacement,TCD004,Chad,TCD,148765,3905000,1097000,210000,x,x,29,x,0,#N/A,x,2808000,0,1094000,2000,0,2,x,x,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
Darfur refugees in Chad,Displacement,TCD005,Chad,TCD,374096,3127000,2114000,1231000,x,x,48,x,0,#N/A,x,1013000,0,2005000,109000,0,2,x,x,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
Conflict in northern region,"Conflict,Displacement,Violence",TGO002,Togo,TGO,8560,1195000,359000,47000,x,x,10,x,x,#N/A,x,836000,239000,120000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Myanmar refugees in Thailand,Conflict,THA003,Thailand,THA,12012,398000,95000,95000,x,x,0,x,x,#N/A,x,303000,0,95000,0,0,2,x,x,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0
Food Security Crisis in Timor-Leste,Food Security,TLS003,Timor Leste,TLS,14950,1340000,858000,0,0,x,0,x,x,#N/A,x,483000,494000,342000,22000,0,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Venezuelan refugees in Trinidad and Tobago,Displacement,TTO002,Trinidad and Tobago,TTO,5130,1531000,212000,36000,x,x,0,x,x,#N/A,x,1319000,174000,26000,0,0,3,x,x,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0
Mixed migration flows in Tunisia,Displacement,TUN002,Tunisia,TUN,163610,12553000,84000,x,x,x,868,0,0,#N/A,x,12469000,0,84000,x,x,4,x,x,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0
