,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.5,0.005648250340842693,0,0.75,x,x,x,x,4.3,0.004164750957854406,5,4.7,4.7,3.3
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.0048258997165054425,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,x,x,x,x,0.9,2.2988505747126437e-05,1.1,1,1,1.8
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,5,1,5,5,5,1.0048258997165054,5,5,5,1.9,0.00936853893866299,0,0.95,x,x,x,x,4.3,0.0025172413793103448,5,4.7,4.7,3.4
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,4,1,5,4.5,4.2,1,5,4.6,4.6,4,0.4217543469807233,2.1,3.05,3.8,0.06256585879873551,2.1,3,0,0,0,0,1.7,2.4
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,5,1,5,5,3.9,2.1,0.0050337920649928215,0,1.05,x,x,x,x,0.7,5.2173913043478265e-06,0.3,0.5,0.5,0.8
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,3.5,1.000001652335411,5,4.25,1.9,1,5,3.45,3.9,2.6,0.28886554621848737,1.4,2,4,0.5754545454545454,5,4.5,0,0,0,0,2.9,2.5
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,3.3,0.2001067769761945,0.9,2.1,5,1,5,5,4,0.7,0.0016429007730058766,0,0.35,x,x,x,x,3.3,0.0028076923076923075,5,4.2,4.2,2.8
Displacement from Russia-Ukraine conflict in Estonia,"Conflict,Displacement",EST002,Estonia,EST,2.7,1,5,3.85,0.5,1,5,2.75,3.4,0.1,0.025992779783393503,0.1,0.1,2.2,1,5,3.6,0,0,0,0,2.2,1.3
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,5,1.001208341909811,5,5,5,1,5,5,5,5,1,5,5,5,0.027052721890289618,0.9,3,5,3.080918555848412e-05,1.5,3.3,3.2,4.3
International Displacement,Displacement,ETH003,Ethiopia,ETH,5,0.9999997341771849,5,5,5,0.7468406285506698,3.7,4.35,4.7,2.5,0.010877214770657393,0,1.25,4.3,1,5,4.7,x,x,x,x,4.7,3.5
