Country,Crisis,Crisis ID,ISO3 code,Region,Type of crisis,Website name,Country level,,Indicator,Reliability,Type of entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turkey, Greece",Eastern Mediterranean Route ,REG006,"TUR, GRC",Europe,Regional crisis,Eastern Mediterranean Route ,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,Multiple crises in Uganda,UGA001,UGA,Africa,Multiple crises country,Country level,Yes,Aggregated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,International Displacement in Uganda,UGA005,UGA,Africa,International displacement,Refugees,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,Floods and Landslides in Uganda,UGA006,UGA,Africa,Flood,Floods and Landslides,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Conflict in Ukraine,UKR002,UKR,Europe,Conflict,Conflict,Yes,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,Cyclone Harold in Vanuatu,VUT002,VUT,Pacific,Tropical cyclone,Cyclone Harold,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,Complex crisis in Venezuela,VEN001,VEN,Americas,Complex crisis,Complex crisis,Yes,Individual,,,,,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints,People facing restricted access constraints
"Venezuela, Brazil, Colombia, Ecuador, Peru, Trinidad and Tobago",Venezuela Regional Crisis,REG002,"VEN, BRA, COL, ECU, PER, TTO",Americas,Regional crisis,Venezuela Regional Crisis,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,Floods in central Vietnam,VNM002,VNM,Asia,Flood,Floods,Yes,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,Conflict in Yemen,YEM001,YEM,Middle east,Complex crisis,Complex crisis,Yes,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,Mixed migration flows in Yemen,YEM002,YEM,Middle east,International displacement,Mixed Migration,No,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Drought in Zambia,ZMB002,ZMB,Africa,Drought,Drought,Yes,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Complex crisis in Zimbabwe,ZWE001,ZWE,Africa,Complex crisis,Complex crisis,Yes,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Malaria Outbreak in Zimbabwe,ZWE003,ZWE,Africa,Epidemic,Malaria Epidemic,No,Individual,,,,,Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative),Impediments to entry into country (bureaucratic and administrative)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
