,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,0.3,,,,
(a-z),,,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,Complex crisis,3.5,4,High,Stable,High,3.2,4,2.7,4.15,4.3,4,2.5,2.9,2,Americas,2020-11-05 00:00:00
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,Complex crisis,3.2,4,High,Decreasing,High,3.7,4.2,3.4,3.25,3.5,3,2.8,3.1,2.5,Americas,2020-10-07 00:00:00
Multiple Crises in India,Country Level,IND001,India,IND,Multiple crises country,2.6,3,Medium,Increasing,High,3.8,4.2,3.5,2.4,3.8,1,1.7,2.9,0,Asia,2020-10-28 00:00:00
Conflict in Jammu and Kashmir,Kashmir conflict ,IND002,India,IND,Conflict,x,x,x,-,Very Low,3.1,2,3.5,x,x,x,2.5,2.9,2,Asia,2020-10-28 00:00:00
Cyclone Amphan India,Cyclone Amphan,IND003,India,IND,Tropical cyclone,2.3,3,Medium,Stable,Low,2.7,2.4,2.8,2.5,3,2,1.7,2.9,0,Asia,2020-10-28 00:00:00
Floods in India,Floods,IND005,India,IND,Flood,2.6,3,Medium,-,High,3.5,4.1,3.1,2.2,3.4,1,2.5,2.9,2,Asia,2020-10-28 00:00:00
Regional Kashmir conflict,Regional Kashmir conflict,REG003,"India, Pakistan","IND, PAK",Regional crisis,x,x,x,-,Very Low,3.5,2.4,3.9,x,x,x,2.8,3.1,2.5,Asia,2020-10-28 00:00:00
Papua Conflict,Papua Conflict,IDN002,Indonesia,IDN,Conflict,x,x,x,-,Low,2.7,1.9,3.1,x,x,x,2.9,2.7,3,Asia,2020-10-28 00:00:00
Afghan Refugees in Iran,Afghan Refugees,IRN004,Iran,IRN,International displacement,3.4,4,High,Stable,Medium,2.8,2.7,2.8,4.05,4.1,4,2.7,2.8,2.5,Middle east,2020-10-28 00:00:00
Multiple crises in Iraq,Country level,IRQ001,Iraq,IRQ,Multiple crises country,3.9,4,High,Stable,High,4.4,4.9,4,3.7,4.4,3,3.7,3.4,4,Middle east,2020-10-26 00:00:00
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,Conflict,4,4,High,Stable,High,4.1,3.8,4.3,4.15,4.3,4,3.7,3.4,4,Middle east,2020-10-26 00:00:00
Syrian and Palestinian refugees in iraq,Syrian Refugees,IRQ003,Iraq,IRQ,International displacement,2.8,3,Medium,Decreasing,High,1.8,1.5,2,2.9,2.8,3,3.5,3.4,3.5,Middle east,2020-10-26 00:00:00
Syrian refugees in Jordan,Syrian refugees,JOR002,Jordan,JOR,International displacement,2.6,3,Medium,Increasing,High,2.7,3,2.5,3,3,3,1.8,2.5,1,Middle east,2020-09-28 00:00:00
Multiple crisis in Kenya ,Country level ,KEN001,Kenya,KEN,Multiple crises country,2.9,3,Medium,Decreasing,High,3.6,4.9,2.5,2.8,3.6,2,2.5,3,2,Africa,2020-11-05 00:00:00
