,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,2.4,0.9857039187227866,4.9,3.6500000000000004,3.5,1,5,4.25,4,3.8,0.5779816513761468,2.9,3.3499999999999996,2.5,0.008412698412698413,0.3,1.4,3.4,3.523809523809524e-05,1.8,2.6,2,2.7
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,3.4,1,5,4.2,3.2,1,5,4.1,4.2,3.2,0.29482419742301813,1.4,2.3,3.4,0.09148148148148148,3,3.2,4.7,0.0007696296296296297,5,4.9,4.2,3.4
Multiple Crises in India,Multiple crises country,IND001,India,IND,5,0.712816537120063,3.5,4.25,5,0.6391135705419942,3.2,4.1,4.2,4.8,0.026142906850794113,0.1,2.4499999999999997,4.7,0.08078708821578598,2.7,3.7,4.7,8.927702852089321e-05,4.5,4.6,4.2,3.5
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.7,0.009265470772504286,0,1.85,2,x,x,x,x,x,x,x,x,3.5,x,x,3.5,3.5,3.5
Cyclone Amphan India,Tropical cyclone,IND003,India,IND,4.1,0.09055896192305235,0.4,2.25,5,0.03254255570660205,0.1,2.55,2.4,4.6,0.4086543918995618,2,3.3,4,0.03666666666666667,1.2,2.6,2.8,4.777777777777777e-06,0.2,1.5,2.1,2.8
Floods in India,Flood,IND005,India,IND,5,0.6380698845347926,3.2,4.1,5,0.6065710148353921,3,4,4.1,4.8,0.027545474698114265,0.1,2.4499999999999997,4.4,0.05160291841697988,1.7,3.1,4.6,7.349104576608446e-05,3.7,4.2,3.7,3.1
Regional Kashmir conflict,Regional crisis,REG003,"India, Pakistan","IND, PAK",4,0.3055378268991283,1.5,2.75,4.1,0.010877929793786052,0,2.05,2.4,4.6,1,5,4.8,x,x,x,x,3.6,1.8127243834971455e-05,0.9,2.3,2.3,3.9
Papua Conflict,Conflict,IDN002,Indonesia,IDN,4.4,0.2296681883669966,1.1,2.75,1.9,0.015122761986913804,0,0.95,1.9,3.4,1,5,4.2,x,x,x,x,2.2,1.001669449081803e-05,0.5,1.4,1.4,3.1
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,4,0.1470818291215403,0.6,2.3,4.6,0.29933916986228687,1.5,3.05,2.7,3.3,0.11888168231076018,0.5,1.9,5,1,5,5,0,0,0,0,3.5,2.8
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,4.4,0.9995395100386811,5,4.7,5,1,5,5,4.9,3.9,0.18043919446323567,0.9,2.4,5,0.9998558038932949,5,5,4.5,0.00020735400144196106,5,4.8,4.9,4
