,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,4.628,0.033,0.314,0.154,0.021,2.8,0.8986407766990291,0.006407766990291262,0.06097087378640777,0.029902912621359225,0.004077669902912621,3,2.9
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,6.804,0,0.208,0,0,2.2,0.9703365658870508,0,0.02966343411294923,0,0,1,1.6
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,6.869,1.062,0.622,0.155,0,3.2,0.7888148828663298,0.1219568213137345,0.07142857142857142,0.017799724391364263,0,3,3.1
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,1.073,12.109,3.144,0.5,0,4.3,0.0637703554023535,0.7196600499227386,0.18685367883038156,0.02971591584452633,0,3,3.65
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,0.559,0,0.544,0,0,2.9,0.5067996373526745,0,0.4932003626473255,0,0,3,2.95
Drought in Kenya,Drought,KEN003,Kenya,KEN,1.158,12.568,2.6,0.5,0,4.2,0.06882206109592298,0.7469392606680137,0.1545227623915369,0.02971591584452633,0,3,3.6
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,0.543,4.753,0.78,0.703,0.046,3.6,0.07956043956043957,0.6964102564102564,0.11428571428571428,0.10300366300366301,0.00673992673992674,4,3.8
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,0.543,3.073,1.889,1.275,0.046,4.2,0.07956043956043957,0.4502564102564103,0.27677655677655677,0.18681318681318682,0.00673992673992674,4,4.1
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,6.7,0.7,0.792,0.008,0,3.2,0.8170731707317073,0.08536585365853659,0.09658536585365854,0.000975609756097561,0,3,3.1
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,7.021,0.241,0.271,0.004,0,2.4,0.8562195121951219,0.029390243902439023,0.03304878048780488,0.0004878048780487805,0,2,2.2
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,0.61,0.528,0.312,0.026,0,2.5,0.4132791327913279,0.35772357723577236,0.21138211382113822,0.017615176151761516,0,3,2.75
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,x,x,x,x,x,x,x,x,x,x,x,x,x
DIsplacement from Ukraine conflict in Moldova,International displacement,MDA002,Moldova,MDA,0.109,0.389,0,0,0,0,0.21887550200803213,0.7811244979919679,0,0,0,2,1
Multiple crisis in Madagascar,Multiple crises country,MDG001,Madagascar,MDG,22.491,2.85,1.325,0.334,0,3.7,0.833,0.10555555555555556,0.049074074074074076,0.01237037037037037,0,3,3.35
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,2.799,1.912,1.303,0.334,0,3.7,0.44092627599243855,0.3011972274732199,0.20526149968494015,0.05261499684940139,0,4,3.85
Tropical Cyclones Season in 2022 in Madagascar,Tropical cyclone,MDG006,Madagascar,MDG,26.04,0.938,0.022,0,0,0.6,0.9644444444444444,0.03474074074074074,0.0008148148148148148,0,0,1,0.8
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,123.906,0.321,x,x,x,x,0.9974160206718347,0.002583979328165375,x,x,x,x,x
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,128.615,0.357,x,x,x,x,0.9972319573240704,0.002768042675929659,x,x,x,x,x
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,128.878,0.739,0.056,0,0,1.2,0.9938691940496478,0.005698950436868122,0.00043185551348391726,0,0,1,1.1
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,8.691,5.812,3.7,2.2,0,4.6,0.4259876482697775,0.2848740319576512,0.18135476914028037,0.1078325654347613,0,4,4.3
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,39.568,1.012,7.289,6.96,0.151,5,0.7196798835940342,0.01840669334303383,0.13257548199345218,0.12659148781375046,0.002746453255729356,4,4.5
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,1.1,1.012,0,1.547,0,3.6,0.3006285870456409,0.27657830008198964,0,0.4227931128723695,0,4,3.8
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,5.4,0,0.777,2.065,0.151,4.1,0.6433933039437627,0,0.09257714762301918,0.24603836530442036,0.017991183128797807,4,4.05
Post-coup conflict in Myanmar,Conflict,MMR004,Myanmar,MMR,33.068,0,6.512,3.348,0,5,0.7703130823704807,0,0.15169586284010436,0.07799105478941483,0,4,4.5
Multiple Crises in Mozambique,Multiple crises country,MOZ001,Mozambique,MOZ,9.514,8.395,2.466,0.024,0,4,0.46639541153978137,0.41153978136183145,0.1208882788371979,0.001176528261189274,0,3,3.5
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,0,8.764,1.514,0.024,0,3.6,0,0.8507086002717918,0.1469617549990293,0.0023296447291788003,0,3,3.3
2022 Tropical Cyclone Seasons in Mozambique,Tropical cyclone,MOZ008,Mozambique,MOZ,17.045,0,1.021,0,0,3.3,0.943484999446474,0,0.05651500055352596,0,0,3,3.15
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,0.011,0,0.085,0,0,1.5,0.11578947368421053,0,0.8947368421052632,0,0,3,2.25
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,2.632,1.036,0.476,0,0,2.8,0.6320845341018252,0.24879923150816521,0.1143131604226705,0,0,3,2.9
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,16.01,0.8,0.19,0,0,2.1,0.8369491348214754,0.041821318417063096,0.009932563124052485,0,0,2,2.05
Tropical Cyclone Ana in Malawi,Tropical cyclone,MWI004,Malawi,MWI,16.586,0.336,0.078,0,0,1.5,0.9756470588235293,0.01976470588235294,0.004588235294117647,0,0,1,1.25
International Refugees in Malaysia,International displacement,MYS001,Malaysia,MYS,0,9.894,0.182,0,0,2.1,0,0.9819372766971021,0.018062723302897977,0,0,2,2.05
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,0.964,0.836,0.632,0.119,0,3.1,0.377891023128185,0.32771462171697374,0.24774598196785574,0.046648373186985496,0,3,3.05
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,19.918,0.06,3.648,0.173,0,4.3,0.836890756302521,0.0025210084033613447,0.15327731092436975,0.0072689075630252105,0,3,3.65
Boko Haram in Niger,Conflict,NER002,Niger,NER,0.656,0.001,0.272,0.02,0,2.4,0.6912539515279241,0.001053740779768177,0.28661749209694415,0.02107481559536354,0,3,2.7
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,7.044,0.009,1.31,0.036,0,3.5,0.8385714285714285,0.0010714285714285715,0.15595238095238095,0.004285714285714286,0,3,3.25
Nigerian Refugees,International displacement,NER004,Niger,NER,0.624,0,0.662,0.042,0,3.1,0.46987951807228917,0,0.49849397590361444,0.03162650602409638,0,3,3.05
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,186.794,6.211,10.699,2.352,0.084,5,0.9061511594062288,0.030130008731929756,0.051901620258077034,0.01140972154846221,0.0004074900553022218,3,4
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,14.55,0,0.982,0,0,3.3,0.9367756889003348,0,0.06322431109966521,0,0,3,3.15
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,0,6.211,5.964,2.352,0.084,4.9,0,0.42509068510026693,0.4081856135788105,0.16097460817192527,0.00574909314899733,4,4.45
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,31.914,0,3.679,0,0,4.3,0.8966369791812997,0,0.1033630208187003,0,0,3,3.65
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,12.606,0,0.069,0,0,1.4,0.9945562130177514,0,0.00544378698224852,0,0,1,1.2
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,6.291,0.159,x,x,x,x,0.9753488372093023,0.024651162790697675,x,x,x,x,x
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,160.646,57.843,9.909,1.092,0,5,0.7000161227771265,0.2520512965763065,0.043178540147893796,0.004758398006004645,0,2,3.5
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,x,x,x,x,x,x,x,x,x,x,x,x,x
Venezuela displacement in Panama,International displacement,PAN002,Panama,PAN,0.026,0.002,0.094,0,0,1.6,0.21311475409836064,0.01639344262295082,0.7704918032786885,0,0,3,2.3
Venezuela displacement in Peru,International displacement,PER002,Peru,PER,8.606,0.368,1.695,0,0,3.7,0.8066360483644203,0.03449245477551786,0.15887149686006186,0,0,3,3.35
Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,32.809,9.438,2.667,0,0,4,0.730468663030168,0.21013024602026048,0.05937882667260381,0,0,3,3.5
Mindanao conflict,Conflict,PHL003,Philippines,PHL,25.985,0,0.267,0,0,2.4,0.9898293463355173,0,0.010170653664482707,0,0,1,1.7
Typhoon RAI,Tropical cyclone,PHL010,Philippines,PHL,6.824,9.438,2.4,0,0,4,0.3656628442824992,0.5057335762512056,0.12860357946629514,0,0,3,3.5
