,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,3.6,0.22906841428308936,1.1,2.35,2.3,0.08741747990815155,0.4,1.3499999999999999,1.9,3.6,1,5,4.3,2.8,0.02011081469320747,0.7,1.8,3.7,7.777549764005746e-05,3.9,3.8,2.9,3.7
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,4.5,0.750597170331353,3.7,4.1,5,0.8502977898966705,4.2,4.6,4.4,5,0.9767927593409144,4.9,4.95,4.6,0.03388842091621849,1.1,2.9,5,0.00015328624808311195,5,5,4.2,4.6
Cyclone Mocha in Myanmar,"Cyclone,Floods",MMR005,Myanmar,MMR,3.8,0.27462638574140996,1.3,2.55,3.4,0.19092637772675086,0.9,2.15,2.4,2,0.046979235178051304,0.2,1.1,x,x,x,x,3.1,0.00029,5,4.1,4.1,2.9
Multiple crises in Mongolia,"Other seasonal event,Floods",MNG001,Mongolia,MNG,5,0.8140657586446612,4.1,4.55,1.2,0.7309978104472944,3.6,2.4,3.7,2.4,0.3491655969191271,1.7,2.05,1.9,0.024509803921568627,0.8,1.4,0,1.2254901960784314e-06,0.1,0.1,0.8,1.5
Dzud in Mongolia,Other seasonal event,MNG002,Mongolia,MNG,5,0.8110404490331883,4,4.5,0,0.272442915233031,1.3,0.65,3.1,2.2,0.7898966704936854,3.9,3.05,0,0,0,0,0,1.4534883720930232e-06,0.1,0.1,0.1,1.8
Floods in Ulaanbaatar,Floods,MNG003,Mongolia,MNG,1.1,0.003025309611473004,0,0.55,0.6,0.45855489521426335,2.3,1.45,1,1,0.08731241473396999,0.4,0.7,1.9,0.15625,5,3.5,0,0,0,0,2.1,1.5
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,4.8,1,5,4.9,5,1,5,5,5,4.3,0.38001482579688656,1.9,3.0999999999999996,4.3,0.07584269662921349,2.5,3.4,3.6,2.4188514357053683e-05,1.2,2.4,2.9,3
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.5,0.34348406226834693,1.7,2.6,2.8,4.3,1,5,4.65,4.2,0.07898825966850828,2.6,3.4,3,1.0100138121546962e-05,0.5,1.8,2.7,3.9
Floods in Maputo province in Mozambique,Floods,MOZ009,Mozambique,MOZ,2.3,0.02929754062921234,0,1.15,1.7,0.09909562638991846,0.4,1.05,1.1,0,0.009575104727707959,0,0,1.8,0.53125,5,3.4,1.4,0.0003125,5,3.2,3.3,2
Tropical Cyclone Freddy in Mozambique,Cyclone,MOZ010,Mozambique,MOZ,4.6,0.7615351356850377,3.8,4.199999999999999,4.2,0.5344699777613047,2.6,3.4000000000000004,3.8,2.6,0.06657420249653259,0.3,1.45,2.3,0.03333333333333333,1.1,1.7,3.2,0.0001525,5,4.1,3.1,2.4
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,3.9,0.19986416998156592,0.9,2.4,1,0.41818181818181815,2.1,1.55,2,3,1,5,4,2.7,0.041501976284584984,1.4,2.1,0,0,0,0,1.2,2.9
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,5,1,5,5,1.8,0.7320247933884297,3.6,2.7,4.1,2.7,0.36550945526390066,1.8,2.25,x,x,x,x,0,0,0,0,0,1.3
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,3.3,0.9978786593126856,5,4.15,4.4,1,5,4.7,4.4,4.3,0.600046992481203,3,3.65,3,0.010180906883859347,0.3,1.7,4.8,0.00019312397211997806,5,4.9,3.8,3.7
Tropical Cyclone Freddy in Malawi,Cyclone,MWI005,Malawi,MWI,2.5,0.3370810352142554,1.6,2.05,3,0.3642387218045113,1.8,2.4,2.2,3.1,0.2924783898851761,1.4,2.25,2.7,0.03440670489633877,1.1,1.9,4,0.00029951477723864136,5,4.5,3.5,2.9
