,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
REG001,25,25,25,5,5,25,25,25,25,25,5,75,75,75,75,75,75,75,75,75,24,,
REG002,336,336,336,336,336,336,336,336,336,504,336,75,75,75,75,75,75,75,75,75,326.7,,
REG003,338,62,1028,0,0,61,1558,1558,1558,1558,1558,75,75,75,75,75,75,75,75,75,895.4,,
REG004,33,33,33,33,33,33,33,33,33,33,1532,74,74,74,74,74,74,74,74,74,187,,
REG006,0,0,0,0,0,0,0,0,0,0,1535,74,74,74,74,74,74,74,74,74,160.9,,
REG007,9,9,9,9,9,9,9,9,9,9,337,75,75,75,75,75,75,75,75,75,48.4,,
REG008,9,9,9,9,9,9,9,9,9,9,337,75,75,75,75,75,75,75,75,75,48.4,,
REG011,12,12,12,12,12,12,12,12,12,12,12,75,75,75,75,75,75,75,75,75,18.3,,
REG012,0,0,0,0,0,0,0,0,0,0,0,75,75,75,75,75,75,75,75,75,7.5,,
REG013,3,3,3,3,3,3,3,3,3,3,3,74,74,74,74,74,74,74,74,74,10.1,,
REG014,11,11,11,11,11,11,11,11,11,11,516,74,74,74,74,74,74,74,74,74,67.8,,
REG015,33,33,33,33,33,33,33,33,33,33,33,70,70,70,70,70,70,70,70,70,36.7,,
ROU002,365,9,9,9,9,9,9,9,9,9,365,76,76,76,76,76,76,76,76,76,51.3,,
RWA002,12,12,12,12,1004,12,12,12,12,12,12,75,75,75,75,75,75,75,75,75,117.5,,
SDN001,31,31,31,9,9,31,31,31,31,31,61,75,75,75,75,75,75,75,75,75,34,,
SDN005,31,31,31,9,9,31,31,31,31,31,686,75,75,75,75,75,75,75,75,75,96.5,,
SDN008,31,31,31,9,9,31,31,31,31,31,822,75,75,75,75,75,75,75,75,75,110.1,,
SEN002,31,5,5,269,334,5,5,5,5,5,269,77,77,77,77,77,77,77,77,77,97.9,,
SLV001,62,62,62,62,12,62,62,62,62,62,62,75,75,75,75,75,75,75,75,75,58.3,,
SOM001,11,11,11,11,11,11,11,11,11,11,11,75,75,75,75,75,75,75,75,75,17.4,,
SOM002,11,11,11,11,11,11,11,11,11,11,798,75,75,75,75,75,75,75,75,75,96.1,,
SSD001,14,14,14,14,14,14,14,14,14,14,14,75,75,75,75,75,75,75,75,75,20.1,,
SVK002,138,9,9,9,9,9,9,9,9,9,365,76,76,76,76,76,76,76,76,76,51.3,,
SWZ001,315,291,291,1264,99,291,291,291,291,291,291,76,76,76,76,76,76,76,76,76,347.6,,
SYR001,0,0,0,0,0,0,0,0,0,0,1643,74,74,74,74,74,74,74,74,74,171.7,,
SYR002,0,0,0,0,0,0,0,0,0,0,0,74,74,74,74,74,74,74,74,74,7.4,,
TCD001,26,26,26,5,5,26,26,26,26,26,5,75,75,75,75,75,75,75,75,75,24.6,,
TCD003,26,26,26,5,5,26,26,26,26,26,5,75,75,75,75,75,75,75,75,75,24.6,,
TCD004,26,26,26,5,5,26,26,26,26,26,5,75,75,75,75,75,75,75,75,75,24.6,,
TCD005,26,26,26,5,5,26,26,26,26,26,5,75,75,75,75,75,75,75,75,75,24.6,,
THA001,12,12,12,12,12,12,12,12,12,12,1629,75,75,75,75,75,75,75,75,75,180,,
THA002,12,12,12,12,12,12,12,12,12,12,1629,75,75,75,75,75,75,75,75,75,180,,
THA003,12,12,12,12,12,12,12,12,12,12,1629,75,75,75,75,75,75,75,75,75,180,,
TTO002,0,0,0,0,0,0,0,0,0,0,0,76,76,76,76,76,76,76,76,76,7.6,,
TUN002,365,9,9,9,9,9,9,9,9,9,365,76,76,76,76,76,76,76,76,76,51.3,,
TUR001,0,0,0,0,0,0,0,0,0,0,1627,74,74,74,74,74,74,74,74,74,170.1,,
TUR002,0,0,0,0,0,0,0,0,0,0,1627,74,74,74,74,74,74,74,74,74,170.1,,
TUR003,0,0,0,0,0,0,0,0,0,0,1627,74,74,74,74,74,74,74,74,74,170.1,,
TUR004,0,0,0,0,0,0,0,0,0,0,1627,74,74,74,74,74,74,74,74,74,170.1,,
