,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Multiple crisis in Kenya ,Multiple crises country,KEN001,Kenya,KEN,2.672,9.771,3.554,1.1,0,4.4,0.15628472831490905,0.5715037725916827,0.2078727262092765,0.06433877288413171,0,4,4.2
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,0.74,0,0.552,0,0,2.9,0.5727554179566563,0,0.42724458204334365,0,0,3,2.95
Drought in Kenya,Drought,KEN003,Kenya,KEN,2.956,9.771,3.002,1.1,0,4.4,0.17564917701586547,0.5806049081941886,0.1783825539247727,0.0653633608651732,0,4,4.2
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,0.543,4.753,0.78,0.703,0.046,3.6,0.07956043956043957,0.6964102564102564,0.11428571428571428,0.10300366300366301,0.00673992673992674,4,3.8
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,0.543,3.073,1.889,1.275,0.046,4.2,0.07956043956043957,0.4502564102564103,0.27677655677655677,0.18681318681318682,0.00673992673992674,4,4.1
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,6.7,0.7,0.792,0.008,0,3.2,0.8170731707317073,0.08536585365853659,0.09658536585365854,0.000975609756097561,0,3,3.1
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,7.521,0.404,0.271,0.004,0,2.4,0.9171951219512195,0.04926829268292683,0.03304878048780488,0.0004878048780487805,0,2,2.2
Socio-economic crisis in Sri Lanka,Political and economic crisis,LKA002,Sri Lanka,LKA,0,16.456,4,1.644,0.056,4.6,0,0.7427333453692002,0.18053800324968405,0.07420111933562015,0.002527532045495577,4,4.3
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,0.61,0.528,0.312,0.026,0,2.5,0.4132791327913279,0.35772357723577236,0.21138211382113822,0.017615176151761516,0,3,2.75
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,x,x,x,x,x,x,x,x,x,x,x,x,x
DIsplacement from Ukraine conflict in Moldova,International displacement,MDA002,Moldova,MDA,0.109,0.096,0,0,0,0,0.5317073170731708,0.4682926829268293,0,0,0,2,1
Multiple crisis in Madagascar,Multiple crises country,MDG001,Madagascar,MDG,22.491,2.85,1.325,0.334,0,3.7,0.833,0.10555555555555556,0.049074074074074076,0.01237037037037037,0,3,3.35
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,2.799,1.912,1.303,0.334,0,3.7,0.44092627599243855,0.3011972274732199,0.20526149968494015,0.05261499684940139,0,4,3.85
Tropical Cyclones Season in 2022 in Madagascar,Tropical cyclone,MDG006,Madagascar,MDG,26.04,0.938,0.022,0,0,0.6,0.9644444444444444,0.03474074074074074,0.0008148148148148148,0,0,1,0.8
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,116.58,0.504,0.081,0,0,1.5,0.9956953981756688,0.004304601824331249,0.0006918110074818079,0,0,1,1.25
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,116.705,0.379,0,0,0,0,0.996763007755116,0.0032369922448840147,0,0,0,1,0.5
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,113.837,0.044,0.081,0,0,1.5,0.9988943779998771,0.00038609022226512114,0.000710757000078973,0,0,1,1.25
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,13.951,0,3.4,2.7,0.2,4.7,0.6889042516418942,0,0.1678929435583428,0.13332674929633104,0.00987605550343193,4,4.35
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,20.726,20.568,2.807,9.137,2.462,5,0.37210053859964093,0.36926391382405743,0.05039497307001795,0.1640394973070018,0.04420107719928187,4,4.5
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.3,0,0,1.553,0,3.7,0.5967825635703166,0,0,0.40295796574987025,0,4,3.85
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,5.4,0,0.777,2.065,0.151,4.1,0.6433933039437627,0,0.09257714762301918,0.24603836530442036,0.017991183128797807,4,4.05
Post-coup conflict in Myanmar,Conflict,MMR004,Myanmar,MMR,13.025,20.568,2.03,5.519,2.311,5,0.29974915425862425,0.47333900996478956,0.046717142659885386,0.12701079327089038,0.053183899845810415,5,5
Multiple Crises in Mozambique,Multiple crises country,MOZ001,Mozambique,MOZ,9.514,8.395,2.466,0.024,0,4,0.46639541153978137,0.41153978136183145,0.1208882788371979,0.001176528261189274,0,3,3.5
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,0,8.764,1.514,0.024,0,3.6,0,0.8507086002717918,0.1469617549990293,0.0023296447291788003,0,3,3.3
2022 Tropical Cyclone Seasons in Mozambique,Tropical cyclone,MOZ008,Mozambique,MOZ,17.045,0,1.021,0,0,3.3,0.943484999446474,0,0.05651500055352596,0,0,3,3.15
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,0.011,0,0.085,0,0,1.5,0.11578947368421053,0,0.8947368421052632,0,0,3,2.25
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,2.632,1.036,0.476,0,0,2.8,0.6320845341018252,0.24879923150816521,0.1143131604226705,0,0,3,2.9
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,16.01,3.992,2,0,0,3.8,0.8369491348214754,0.20868837890114486,0.10455329604265774,0,0,3,3.4
Tropical Cyclone Ana in Malawi,Tropical cyclone,MWI004,Malawi,MWI,16.586,0.31,0.68,0,0,3.1,0.9756470588235293,0.018235294117647058,0.04,0,0,2,2.55
International Refugees in Malaysia,International displacement,MYS001,Malaysia,MYS,0,9.907,0.183,0,0,2.1,0,0.9818632309217047,0.018136769078295343,0,0,2,2.05
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,0.964,0.836,0.632,0.119,0,3.1,0.377891023128185,0.32771462171697374,0.24774598196785574,0.046648373186985496,0,3,3.05
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,20.159,0.7,2.9,0.7,0.041,4.3,0.8228163265306122,0.02857142857142857,0.11836734693877551,0.02857142857142857,0.001673469387755102,3,3.65
Boko Haram in Niger,Conflict,NER002,Niger,NER,0.656,0.001,0.272,0.02,0,2.4,0.6912539515279241,0.001053740779768177,0.28661749209694415,0.02107481559536354,0,3,2.7
