Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Mixed Migration Flows in Türkiye,Displacement,TUR003,Türkiye,TUR,140419,15736000,621000,300000,x,x,38,0,0,#N/A,x,15115000,339000,261000,21000,0,2,x,x,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
Kurdish Conflict,Conflict,TUR004,Türkiye,TUR,81458,5833000,x,1200000,x,x,3,x,x,#N/A,x,x,x,x,x,x,3,x,x,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Türkiye / Syria earthquake in Türkiye,Earthquake,TUR005,Türkiye,TUR,98092,13422000,9100000,3000000,107204,x,0,3273605,298000,#N/A,34000000000,4322000,6500000,2600000,x,x,3,x,x,1.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0
Multiple Crises in Tanzania,"Displacement,Drought",TZA001,Tanzania,TZA,441435,25778000,19764000,251000,x,x,6,x,x,#N/A,x,6014000,18523000,1241000,0,0,2,x,x,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
International Displacement in Tanzania,Displacement,TZA002,Tanzania,TZA,187103,15015000,15015000,251000,0,x,5,x,x,#N/A,x,0,14764000,251000,x,x,2,x,x,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Food Security Crisis in North-East Tanzania,Drought,TZA003,Tanzania,TZA,357159,10763000,4749000,x,x,x,1,x,x,#N/A,x,6014000,3759000,990000,0,0,2,x,x,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
International Displacement in Uganda,Displacement,UGA005,Uganda,UGA,26513,7399000,1557000,1557000,x,x,x,x,x,#N/A,x,5843000,0,1557000,x,x,2,#N/A,#N/A,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
Conflict in Ukraine,"Conflict,Displacement",UKR002,Ukraine,UKR,603550,38549000,17542000,15680000,3222,x,870,x,x,#N/A,x,21007000,0,11211000,1375000,4956000,2,x,x,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0
Complex crisis in Venezuela,"Socio-political,Violence,Floods",VEN001,Venezuela,VEN,882050,28302000,16690000,13000,x,x,313,x,x,#N/A,x,11612000,8990000,3990000,3710000,x,5,x,x,2.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0
Cyclone Judy and cyclone Kevin in Vanuatu,Cyclone,VUT003,Vanuatu,VUT,12190,335000,251000,5000,x,x,x,150323,x,#N/A,50000000,83000,101000,118000,32000,0,1,x,x,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
Conflict in Yemen,Conflict,YEM001,Yemen,YEM,527970,32900000,27900000,4829000,1037,35674,792,x,x,#N/A,x,5000000,6300000,8200000,7300000,6100000,4,x,x,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0
Mixed migration flows in Yemen,Displacement,YEM002,Yemen,YEM,46890,6243000,281000,329000,226,35674,76,x,x,#N/A,x,5962000,0,143000,84000,53000,2,x,x,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0
Drought in Zambia,Drought,ZMB002,Zambia,ZMB,752618,13490000,8553000,0,0,787,6,0,0,#N/A,x,4937000,6601000,1952000,0,0,3,x,x,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
Complex crisis in Zimbabwe,"Socio-political,Drought",ZWE001,Zimbabwe,ZWE,386850,16718000,16718000,25000,0,3894,22,x,x,#N/A,x,0,13718000,3000000,x,x,4,x,x,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0
