Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Drought in Kenya,Drought,KEN003,Kenya,KEN,519240,16810000,2900000,0,0,0,0,0,0,#N/A,0,13910000,0,2532000,368000,0,2,0,0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,10450,6825000,3028000,1528000,x,0,0,x,x,#N/A,x,3798000,1500000,105000,1363000,60000,2,x,x,1.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,10450,6825000,3798000,x,x,x,58,x,x,#N/A,x,3028000,370000,1321000,2047000,60000,3,x,x,1.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,1759540,7400000,1800000,1522000,x,x,899,x,x,#N/A,x,4900000,1200000,871000,273000,156000,5,198000,633000,1.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,1759540,7400000,634000,634000,x,x,849,x,x,#N/A,x,6766000,286000,65000,277000,6000,2,79000,229000,1.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,30355,1476000,866000,x,0,0,0,0,0,#N/A,x,610000,528000,312000,26000,0,1,0,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,446300,35587000,x,x,x,x,169,0,0,#N/A,0,x,x,x,x,x,1,0,0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Multiple crisis in Madagascar,Multiple crises country,MDG001,Madagascar,MDG,166663,18088000,3659000,75000,x,x,102,6800,57,#N/A,x,14429000,1912000,1413000,334000,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,149752,6348000,3549000,3000,0,x,61,x,x,#N/A,x,2799000,1912000,1303000,334000,0,1,x,x,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0
Tropical Cyclone Ana in Madagascar,Tropical cyclone,MDG006,Madagascar,MDG,192285,11740000,110000,72000,x,x,41,8900,57,#N/A,x,11630000,38000,72000,0,0,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,1964375,124227000,321000,82000,x,x,301,x,x,#N/A,x,124227000,321000,x,x,x,3,x,x,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,1964375,128972000,357000,357000,x,x,3454,x,x,#N/A,x,124227000,321000,x,x,x,4,x,x,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,1964375,124227000,321000,82000,x,x,301,x,x,#N/A,x,124227000,321000,x,x,x,3,x,x,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,1220190,20402000,11712000,1140000,x,44056,886,x,x,#N/A,x,8691000,5812000,3700000,2200000,0,5,x,x,0.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,692711,54980000,20812000,1886000,x,x,8536,x,x,#N/A,x,39568000,1012000,7289000,6960000,151000,4,x,x,1.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,44857,3659000,2559000,1379000,x,x,10,x,x,#N/A,x,1100000,1012000,0,1547000,0,4,x,x,1.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,244843,8393000,8393000,107000,x,x,762,x,x,#N/A,x,5400000,0,777000,2065000,151000,3,x,x,1.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0
Post-coup conflict in Myanmar,Conflict,MMR004,Myanmar,MMR,403011,42928000,9860000,400000,x,x,7693,x,x,#N/A,x,33068000,0,6512000,3348000,0,3,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,3.0
Multiple Crises in Mozambique,Multiple crises country,MOZ001,Mozambique,MOZ,550263,20399000,10418000,790000,220,x,494,30,10157,#N/A,1700000,9981000,8976000,1418000,24000,0,4,x,x,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,3.0
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,280615,10302000,10302000,745000,x,0,469,x,x,#N/A,x,0,9002000,1276000,24000,0,3,x,x,1.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,3.0
Tropical Cyclone Ana in Mozambique,Tropical cyclone,MOZ008,Mozambique,MOZ,348658,16200000,141000,45000,220,x,25,30,10157,#N/A,1700000,16058000,0,141000,0,0,3,#N/A,#N/A,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,75,95000,85000,85000,0,x,0,0,0,#N/A,x,11000,0,85000,0,0,2,x,x,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,1030700,4164000,4532000,x,x,x,0,x,x,#N/A,x,2632000,1036000,476000,0,0,3,x,x,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,94280,19129000,5416000,78000,0,0,32,x,x,#N/A,x,13713000,3685000,1731000,0,0,2,x,x,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0
Tropical Cyclone Ana in Malawi,Tropical cyclone,MWI004,Malawi,MWI,94548,17000000,414000,78000,147,x,32,x,x,#N/A,x,16586000,336000,78000,0,0,2,116000,x,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0
