,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
NGA004,945,311,174,66,66,174,174,174,174,174,945,94,94,94,94,94,94,94,94,94,221.5
NGA007,643,174,66,66,66,66,66,66,66,66,777,94,94,94,94,94,94,94,94,94,139.9
NGA008,216,216,66,66,216,66,66,66,66,66,733,94,94,94,94,94,94,94,94,94,150.5
NIC001,725,482,1103,482,368,823,823,823,1103,1103,1103,95,95,95,95,95,95,95,95,95,782.6
PAK001,34,21,21,34,21,21,21,21,21,21,1089,103,103,103,103,103,103,103,103,103,137.3
PAK004,34,34,34,34,21,34,34,34,34,34,1069,103,103,103,103,103,103,103,103,103,143.1
PER002,70,70,70,70,70,70,70,70,70,70,70,96,96,96,96,96,96,96,96,96,72.6
PHL001,8,43,8,8,8,8,8,8,43,43,43,43,43,43,43,43,43,43,43,43,22
PHL003,794,189,8,8,8,8,334,8,334,334,794,98,98,98,98,98,98,98,98,98,193.4
PHL010,8,43,8,8,8,8,8,43,43,43,43,43,43,43,43,43,43,43,43,43,25.5
PRK001,314,314,314,228,8,672,672,672,672,672,1099,99,99,99,99,99,99,99,99,99,510.8
PSE002,12,12,12,12,12,12,12,12,12,12,1089,103,103,103,103,103,103,103,103,103,128.8
REG001,613,311,311,311,311,311,311,311,311,311,1006,93,93,93,93,93,93,93,93,93,358.7
REG002,725,368,368,368,794,368,368,368,368,368,1007,96,96,96,96,96,96,96,96,96,447.3
REG003,805,805,482,805,8,805,1012,1012,1012,1012,1012,92,92,92,92,92,92,92,92,92,725.2
REG004,32,32,32,32,32,32,32,32,32,32,986,103,103,103,103,103,103,103,103,103,134.5
REG006,32,32,32,32,32,32,32,32,32,32,989,103,103,103,103,103,103,103,103,103,134.8
REG007,1011,1011,1011,1011,306,1011,1011,1011,1011,1011,1011,92,92,92,92,92,92,92,92,92,848.6
REG008,1011,1011,1011,1011,306,1011,1011,1011,1011,1011,1011,92,92,92,92,92,92,92,92,92,848.6
REG011,322,7,7,7,7,7,7,7,7,7,322,92,92,92,92,92,92,92,92,92,47
REG012,1,1,1,1,1,1,1,1,1,1,1,95,95,95,95,95,95,95,95,95,10.4
REG013,432,369,369,369,453,453,453,453,453,453,453,92,92,92,92,92,92,92,92,92,400.1
RWA002,1081,367,367,367,458,367,367,367,367,367,1081,94,94,94,94,94,94,94,94,94,420.2
SDN001,217,35,35,1,1,35,35,35,35,35,217,96,96,96,96,96,96,96,96,96,52.5
SDN005,217,217,217,1,1,1,1,1,1,1,140,96,96,96,96,96,96,96,96,96,46
SDN007,217,217,217,1,1,1,1,1,1,1,217,96,96,96,96,96,96,96,96,96,53.7
SDN008,276,28,28,1,1,35,35,35,35,35,276,96,96,96,96,96,96,96,96,96,57.7
SEN002,483,367,367,781,1103,367,367,367,367,367,1103,96,96,96,96,96,96,96,96,96,528.5
SLV001,76,76,76,76,76,76,76,76,76,76,76,98,98,98,98,98,98,98,98,98,78.2
SOM001,833,73,73,73,4,73,73,73,73,73,1096,96,96,96,96,96,96,96,96,96,170.7
SOM002,252,252,252,252,4,252,252,252,252,252,252,95,95,95,95,95,95,95,95,95,211.5
SOM005,3,3,39,4,67,4,4,4,4,4,67,66,66,66,66,66,66,66,66,66,26.3
SSD001,948,916,916,343,428,343,343,343,343,343,948,96,96,96,96,96,96,96,96,96,444.6
SWZ001,204,1,1,718,1,1,1,1,1,1,204,96,96,96,96,96,96,96,96,96,102.5
SYR001,338,338,338,33,8,33,33,33,33,33,1097,103,103,103,103,103,103,103,103,103,174.4
TCD001,405,311,405,70,70,405,405,405,405,405,405,94,94,94,94,94,94,94,94,94,306.9
TCD003,1081,311,311,311,311,473,473,473,473,473,1081,94,94,94,94,94,94,94,94,94,447.3
TCD004,678,678,678,311,1081,678,678,678,678,678,1081,94,94,94,94,94,94,94,94,94,663.5
TCD005,678,678,678,311,311,678,678,678,678,678,1081,94,94,94,94,94,94,94,94,94,586.5
TCD006,1081,678,678,1081,311,551,551,551,551,551,823,94,94,94,94,94,94,94,94,94,574.2
THA001,916,8,8,8,8,368,103,8,368,368,1083,98,98,98,98,98,98,98,98,98,242
THA002,916,916,96,916,8,672,672,672,672,672,1083,98,98,98,98,98,98,98,98,98,556.1
THA003,801,8,8,8,368,368,368,8,368,368,1083,98,98,98,98,98,98,98,98,98,304.5
TON002,12,12,1,1,12,1,1,1,1,1,12,12,12,12,12,12,12,12,12,12,4.3
TTO002,1068,794,1039,1039,428,482,725,725,725,725,794,97,97,97,97,97,97,97,97,97,677.9
TUN002,489,600,600,600,179,1081,1081,1081,1081,1081,1081,102,102,102,102,102,102,102,102,102,796.7
TUR001,1081,33,33,33,33,33,33,33,33,33,1081,103,103,103,103,103,103,103,103,103,144.8
TUR002,1081,33,33,33,33,33,33,33,33,33,1081,103,103,103,103,103,103,103,103,103,144.8
TUR003,1081,33,33,33,33,33,33,33,33,33,1081,103,103,103,103,103,103,103,103,103,144.8
TUR004,1081,1081,1081,1081,33,1081,1081,1081,1081,1081,1081,103,103,103,103,103,103,103,103,103,878.4
TZA002,204,204,204,1,1,1,1,1,1,1,204,96,96,96,96,96,96,96,96,96,51.1
UGA005,794,136,136,136,605,136,136,136,136,136,553,94,94,94,94,94,94,94,94,94,220.4
UKR002,1081,672,672,322,306,322,322,322,322,322,672,96,96,96,96,96,96,96,96,96,367.8
VEN001,481,368,368,368,725,368,368,368,452,452,948,103,103,103,103,103,103,103,103,103,452
YEM001,7,7,7,7,7,7,7,7,7,7,1099,92,92,92,91,92,91,91,91,91,124.7
YEM002,7,7,7,7,7,7,7,7,7,7,1069,91,91,91,91,91,91,91,91,91,121.6
ZMB002,141,71,71,885,1,71,71,71,71,71,141,96,96,96,96,96,96,96,96,96,154.9
ZWE001,208,208,35,35,1,35,35,35,35,35,35,96,96,96,96,96,96,96,96,96,37.7
