,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,0.3,,,,
(a-z),,,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Tropical Cyclone Ana in Madagascar,Tropical Cyclone Ana,MDG006,Madagascar,MDG,Tropical cyclone,1.7,2,Low,-,Very High,2.6,2.8,2.5,1.2,1.4,1,1.7,2.3,1,Africa,2022-01-30 00:00:00
Multiple crisis in Mexico,Country Level,MEX001,Mexico,MEX,Multiple crises country,x,x,x,-,High,3.8,5,2.8,x,x,x,3.4,3.7,3,Americas,2021-10-20 00:00:00
Criminal Violence in Mexico,Criminal Violence,MEX002,Mexico,MEX,Other type of violence,x,x,x,-,Medium,4.1,5,3.4,x,x,x,3.6,3.7,3.5,Americas,2021-10-19 00:00:00
Mixed Migration in Mexico,Mixed Migration,MEX003,Mexico,MEX,International displacement,x,x,x,-,High,3.8,5,2.8,x,x,x,3.4,3.7,3,Americas,2021-10-20 00:00:00
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,Complex crisis,4.4,5,Very High,Stable,Medium,4.2,4.9,3.7,4.3,4.6,4,4.6,4,5,Africa,2021-11-19 00:00:00
Multiple crises in Myanmar,Country level,MMR001,Myanmar,MMR,Multiple crises country,4.4,5,Very High,Increasing,Very High,4.4,4.9,4,4.5,5,4,4.2,4.4,4,Asia,2022-01-24 00:00:00
Rakhine Conflict,Rakhine conflict,MMR002,Myanmar,MMR,Conflict,3.7,4,High,Decreasing,Very High,2.8,1.3,3.4,3.8,3.6,4,4.2,4.4,4,Asia,2022-01-24 00:00:00
Kachin and Shan Conflict,Kachin and Shan conflict,MMR003,Myanmar,MMR,Conflict,3.9,4,High,Increasing,Very High,3.6,2.4,4,4.05,4.1,4,4,4.4,3.5,Asia,2022-01-24 00:00:00
Post-coup conflict in Myanmar,Post-coup Violence,MMR004,Myanmar,MMR,Conflict,4.2,5,Very High,Increasing,Very High,3.7,4.1,3.5,4.5,5,4,4,4.4,3.5,Asia,2022-01-24 00:00:00
Multiple Crises in Mozambique,Multiple Crises,MOZ001,Mozambique,MOZ,Multiple crises country,3.6,4,High,-,Very High,3.6,4,3.3,3.3,3.6,3,4.1,4.5,3.5,Africa,2022-01-31 00:00:00
Cabo Delgado Islamist Insurgency,Violent Insurgency in Cabo Delgado,MOZ004,Mozambique,MOZ,Other type of violence,3.6,4,High,Stable,High,3.7,2.8,4,3.25,3.5,3,3.9,4.5,3,Africa,2022-01-31 00:00:00
Tropical Cyclone Ana in Mozambique,Tropical Cyclone Ana,MOZ008,Mozambique,MOZ,Tropical cyclone,2.4,3,Medium,-,High,2.7,3.3,2.4,1.45,1.9,1,3.7,4.5,2.5,Africa,2022-01-31 00:00:00
Refugees from Mali in Mauritania,Malian refugees,MRT002,Mauritania,MRT,International displacement,2.2,3,Medium,Increasing,High,1.8,0,2.5,2.25,1.5,3,2.4,2.7,2,Africa,2021-10-25 00:00:00
Food Security in Mauritania,Food security,MRT003,Mauritania,MRT,Drought,2.9,3,Medium,Stable,Medium,3.4,4.4,2.8,2.9,2.8,3,2.4,2.7,2,Africa,2021-10-25 00:00:00
Complex crisis in Malawi,Complex,MWI002,Malawi,MWI,Complex crisis,3,3,Medium,Increasing,Very High,3.1,4.4,2.1,3.35,3.7,3,2.3,2,2.5,Africa,2022-01-31 00:00:00
Tropical Cyclone Ana in Malawi,Tropical Cyclone Ana,MWI004,Malawi,MWI,Tropical cyclone,2.1,3,Medium,-,Very High,3.2,4.2,2.5,1.25,1.5,1,2.3,2,2.5,Africa,2022-01-31 00:00:00
International Refugees in Malaysia,International Refugees,MYS001,Malaysia,MYS,International displacement,1.7,2,Low,Decreasing,High,1.5,1,1.8,1.55,2.1,1,2,2,2,Asia,2022-01-23 00:00:00
Food Security Crisis in Namibia,Food Security Crisis,NAM002,Namibia,NAM,Food Security,2.4,3,Medium,Stable,High,2.8,4.3,1.7,3.05,3.1,3,1,1.5,0.5,Africa,2022-01-30 00:00:00
