,,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected,
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,4.9,1.2,0.871,0.273,0.156,3.5,0.6621621621621622,0.16216216216216217,0.11770270270270271,0.03689189189189189,0.02108108108108108,4,3.75,
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,6.766,0.286,0.065,0.277,0.006,2.6,0.9143243243243243,0.03864864864864865,0.008783783783783784,0.03743243243243243,0.0008108108108108108,2,2.3,
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,0.61,0.528,0.312,0.026,0,2.5,0.4132791327913279,0.35772357723577236,0.21138211382113822,0.017615176151761516,0,3,2.75,
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,x,x,x,x,x,x,x,x,x,x,x,x,x,
Multiple crisis in Madagascar,Multiple crises country,MDG001,Madagascar,MDG,14.429,1.912,1.413,0.334,0,3.7,0.7977111897390535,0.10570544007076514,0.07811808934099956,0.018465280849181778,0,3,3.35,
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,2.799,1.912,1.303,0.334,0,3.7,0.44092627599243855,0.3011972274732199,0.20526149968494015,0.05261499684940139,0,4,3.85,
Tropical Cyclone Ana in Madagascar,Tropical cyclone,MDG006,Madagascar,MDG,11.63,0.038,0.072,0,0,1.4,0.9906303236797275,0.0032367972742759796,0.006132879045996593,0,0,1,1.2,
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,124.227,0.321,x,x,x,x,1,0.002583979328165375,x,x,x,x,x,
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,124.227,0.321,x,x,x,x,0.9632090686350526,0.0024889123220543995,x,x,x,x,x,
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,124.227,0.321,x,x,x,x,1,0.002583979328165375,x,x,x,x,x,
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,8.691,5.812,3.7,2.2,0,4.6,0.4259876482697775,0.2848740319576512,0.18135476914028037,0.1078325654347613,0,4,4.3,
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,39.568,1.012,7.289,6.96,0.151,5,0.7196798835940342,0.01840669334303383,0.13257548199345218,0.12659148781375046,0.002746453255729356,4,4.5,
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,1.1,1.012,0,1.547,0,3.6,0.3006285870456409,0.27657830008198964,0,0.4227931128723695,0,4,3.8,
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,5.4,0,0.777,2.065,0.151,4.1,0.6433933039437627,0,0.09257714762301918,0.24603836530442036,0.017991183128797807,4,4.05,
Post-coup conflict in Myanmar,Conflict,MMR004,Myanmar,MMR,33.068,0,6.512,3.348,0,5,0.7703130823704807,0,0.15169586284010436,0.07799105478941483,0,4,4.5,
Multiple Crises in Mozambique,Multiple crises country,MOZ001,Mozambique,MOZ,9.981,8.976,1.418,0.024,0,3.6,0.4892886906220893,0.44002156968478845,0.06951321143193294,0.001176528261189274,0,3,3.3,
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,0,9.002,1.276,0.024,0,3.5,0,0.873810910502815,0.12385944476800621,0.0023296447291788003,0,3,3.25,
Tropical Cyclone Ana in Mozambique,Tropical cyclone,MOZ008,Mozambique,MOZ,16.058,0,0.141,0,0,1.9,0.9912345679012345,0,0.008703703703703703,0,0,1,1.45,
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,0.011,0,0.085,0,0,1.5,0.11578947368421053,0,0.8947368421052632,0,0,3,2.25,
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,2.632,1.036,0.476,0,0,2.8,0.6320845341018252,0.24879923150816521,0.1143131604226705,0,0,3,2.9,
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,13.713,3.685,1.731,0,0,3.7,0.7168696743164829,0.1926394479585969,0.09049087772492027,0,0,3,3.35,
Tropical Cyclone Ana in Malawi,Tropical cyclone,MWI004,Malawi,MWI,16.586,0.336,0.078,0,0,1.5,0.9756470588235293,0.01976470588235294,0.004588235294117647,0,0,1,1.25,
International Refugees in Malaysia,International displacement,MYS001,Malaysia,MYS,3.634,0,0.18,0,0,2.1,0.9525557011795543,0,0.047182175622542594,0,0,1,1.55,
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,0.964,0.836,0.632,0.119,0,3.1,0.377891023128185,0.32771462171697374,0.24774598196785574,0.046648373186985496,0,3,3.05,
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,19.918,0.06,3.648,0.173,0,4.3,0.836890756302521,0.0025210084033613447,0.15327731092436975,0.0072689075630252105,0,3,3.65,
Boko Haram in Niger,Conflict,NER002,Niger,NER,0.656,0.001,0.272,0.02,0,2.4,0.6912539515279241,0.001053740779768177,0.28661749209694415,0.02107481559536354,0,3,2.7,
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,7.044,0.009,1.31,0.036,0,3.5,0.8385714285714285,0.0010714285714285715,0.15595238095238095,0.004285714285714286,0,3,3.25,
Nigerian Refugees,International displacement,NER004,Niger,NER,0.624,0,0.662,0.042,0,3.1,0.46987951807228917,0,0.49849397590361444,0.03162650602409638,0,3,3.05,
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,59.07,4.4,10.734,2.697,0,5,0.7681304534401373,0.05721642111285939,0.1395820600512347,0.03507106539576858,0,3,4,
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,14.55,0,0.982,0,0,3.3,0.9367756889003348,0,0.06322431109966521,0,0,3,3.15,
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,0,4.4,6.003,2.697,0,4.9,0,0.33587786259541985,0.4582442748091603,0.20587786259541985,0,4,4.45,
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,31.914,0,3.679,0,0,4.3,0.8966369791812997,0,0.1033630208187003,0,0,3,3.65,
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,12.606,0,0.069,0,0,1.4,0.9945562130177514,0,0.00544378698224852,0,0,1,1.2,
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,x,x,x,0,0,x,x,x,x,0,0,x,x,
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,160.646,57.843,9.909,1.092,0,5,0.7000161227771265,0.2520512965763065,0.043178540147893796,0.004758398006004645,0,2,3.5,
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,x,x,x,x,x,x,x,x,x,x,x,x,x,
Venezuela displacement in Peru,International displacement,PER002,Peru,PER,0.337,0,0.713,0,0,3.1,0.32095238095238093,0,0.679047619047619,0,0,3,3.05,
Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,35.344,7.054,2.517,0,0,4,0.786908605143048,0.15705220972948902,0.05603918512746298,0,0,3,3.5,
Mindanao conflict,Conflict,PHL003,Philippines,PHL,26.136,0,0.117,0,0,1.8,0.9955812890446443,0,0.004456803291177815,0,0,1,1.4,
Typhoon RAI,Tropical cyclone,PHL010,Philippines,PHL,9.208,7.054,2.4,0,0,4,0.4934090665523524,0.37798735398135247,0.12860357946629514,0,0,3,3.5,
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,0,15.12,4.97,5.459,0,5,0,0.5891062105509234,0.19364139328294241,0.21269383620353777,0,4,4.5,
Conflict in Palestine,Conflict,PSE002,Palestine,PSE,0.643,2.356,2.035,0.321,0,4,0.12007469654528478,0.4399626517273576,0.38001867413632123,0.05994397759103642,0,4,4,
Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",6.035,4.223,4.636,4.201,0.122,4.9,0.31404485611697974,0.21975334339387,0.24124473122755893,0.21860852370297132,0.006348545558619972,4,4.45,
Venezuela Regional Crisis,Regional crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago","VEN,BRA,COL,ECU,PER,TTO",39.506,13.009,20.392,0.162,0,5,0.5406670407423121,0.17803719771722618,0.27907867905678196,0.0022170824836798093,0,3,4,
Regional Kashmir conflict,Regional crisis,REG003,"India,Pakistan","IND,PAK",x,x,x,x,x,x,x,x,x,x,x,x,x,
Syrian Regional Crisis,Regional crisis,REG004,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",56.45,17.829,3.111,13.541,1.56,5,0.6103296536960353,0.19276470143040944,0.03363570509563093,0.14640343384761761,0.01686650593030673,4,4.5,
Eastern Mediterranean Route ,Regional crisis,REG006,"Turkey,Greece","TUR,GRC",25.305,10.294,1.699,0.741,0,4,0.6652208201892744,0.27060988433228184,0.04466351209253418,0.019479495268138802,0,3,3.5,
Central Mediterranean Route,Regional crisis,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",x,x,x,x,x,x,x,x,x,x,x,x,x,
Western Mediterranean Route,Regional crisis,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",x,x,x,x,x,x,x,x,x,x,x,x,x,
Rohingya Regional Crisis,Regional crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",1.1,1.047,0,2.903,0,4.1,0.21782178217821782,0.20732673267326732,0,0.5748514851485148,0,4,4.05,
Southern Africa Regional Food Security Crisis,Regional crisis,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE",30.232,14.892,11.811,1.479,0,5,0.5175471633512514,0.2549388845139864,0.20219467935768823,0.02531927277707399,0,3,4,
Nagorno-Karabakh Conflict,Regional crisis,REG013,"Armenia,Azerbaijan","ARM,AZE",x,x,x,x,x,x,x,x,x,x,x,x,x,
Burundi and DRC refugees in Rwanda,International displacement,RWA002,Rwanda,RWA,4.436,0,0.14,0,0,1.9,0.9694055944055944,0,0.030594405594405596,0,0,1,1.45,
Complex crisis in Sudan,Multiple crises country,SDN001,Sudan,SDN,17.9,15.8,6.2,6.2,1.9,5,0.3729166666666667,0.32916666666666666,0.12916666666666668,0.12916666666666668,0.03958333333333333,4,4.5,
Refugees in Sudan,International displacement,SDN005,Sudan,SDN,0,11.948,1.059,0,0,3.4,0,0.9185823018374721,0.08141769816252786,0,0,3,3.2,
Refugees from Ethiopia,International displacement,SDN007,Sudan,SDN,0,13.759,0.071,0,0,1.4,0,0.9948662328271872,0.005133767172812726,0,0,2,1.7,
Violence West-Darfur,Other type of violence,SDN008,Sudan,SDN,0,0.962,0.13,0.72,0.08,3.3,0,0.5084566596194503,0.06871035940803383,0.38054968287526425,0.042283298097251586,4,3.65,
Drought in Senegal,Drought,SEN002,Senegal,SEN,13.521,2.676,0.498,0.013,0,2.8,0.8092046202645281,0.16015321084445508,0.029804297085403077,0.0007780238194984738,0,2,2.4,
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,3.5,1.5,1.4,0.3,0,3.7,0.5223880597014925,0.22388059701492538,0.208955223880597,0.04477611940298507,0,3,3.35,
Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,0.019,8,7.7,0.036,0,4.8,0.0012059663598857505,0.5077753094255791,0.48873373532211994,0.002284988892415106,0,3,3.9,
Mixed Migration Flows in Somalia,International displacement,SOM002,Somalia,SOM,1.296,0,0,0.025,0,0.7,0.9803328290468987,0,0,0.018910741301059002,0,1,0.85,
Drought in Somalia,Drought,SOM005,Somalia,SOM,12.555,0,2.955,0.245,0,4.2,0.7968898762297684,0,0.1875595049190733,0.015550618851158363,0,3,3.6,
