,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
PAK004,62,62,62,62,5,62,62,62,62,62,1097,131,131,131,131,131,131,131,131,131,166.7
PAN002,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
PER002,98,11,11,98,98,11,11,11,11,11,98,124,124,124,124,124,124,124,124,124,48.4
PHL001,36,71,7,7,7,7,7,7,71,71,71,71,71,71,71,71,71,71,71,71,32.6
PHL003,822,217,7,7,7,7,362,7,362,362,822,126,126,126,126,126,126,126,126,126,206.9
PHL010,36,71,7,7,36,7,7,71,71,71,71,71,71,71,71,71,71,71,71,71,41.9
POL002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRK001,342,342,342,256,7,700,700,700,700,700,1127,127,127,127,127,127,127,127,127,127,535.9
PSE002,40,40,40,40,18,40,40,40,40,40,1117,131,131,131,131,131,131,131,131,131,154.6
REG001,641,339,339,339,339,339,339,339,339,339,1034,121,121,121,121,121,121,121,121,121,386.7
REG002,753,396,396,396,822,396,396,396,396,396,1035,124,124,124,124,124,124,124,124,124,475.3
REG003,833,833,510,833,36,833,1040,1040,1040,1040,1040,120,120,120,120,120,120,120,120,120,753.2
REG004,1,1,1,1,1,1,1,1,1,1,1014,131,131,131,131,131,131,131,131,131,115.3
REG006,60,60,60,60,60,60,60,60,60,60,1017,131,131,131,131,131,131,131,131,131,162.8
REG007,1039,1039,1039,1039,334,1039,1039,1039,1039,1039,1039,120,120,120,120,120,120,120,120,120,876.6
REG008,1039,1039,1039,1039,334,1039,1039,1039,1039,1039,1039,120,120,120,120,120,120,120,120,120,876.6
REG011,350,35,35,6,35,35,35,35,35,35,350,120,120,120,120,120,120,120,120,120,72.1
REG012,29,29,29,29,29,29,29,29,29,29,29,123,123,123,123,123,123,123,123,123,38.4
REG013,460,397,397,397,481,481,481,481,481,481,481,120,120,120,120,120,120,120,120,120,428.1
RWA002,1109,395,395,395,486,395,395,395,395,395,1109,122,122,122,122,122,122,122,122,122,448.2
SDN001,245,63,63,5,5,63,63,63,63,63,245,124,124,124,124,124,124,124,124,124,75.7
SDN005,245,245,245,5,5,5,5,5,5,5,168,124,124,124,124,124,124,124,124,124,57.2
SDN007,245,245,245,5,5,5,5,5,5,5,245,124,124,124,124,124,124,124,124,124,64.9
SDN008,304,56,56,29,5,63,63,63,63,63,304,124,124,124,124,124,124,124,124,124,83.3
SEN002,511,395,395,809,1131,395,395,395,395,395,1131,124,124,124,124,124,124,124,124,124,556.5
SLV001,104,104,104,104,104,104,104,104,104,104,104,126,126,126,126,126,126,126,126,126,106.2
SOM001,861,101,101,101,32,101,101,101,101,101,1124,124,124,124,124,124,124,124,124,124,198.7
SOM002,280,280,280,280,32,280,280,280,280,280,280,123,123,123,123,123,123,123,123,123,239.5
SOM005,31,31,17,17,95,17,17,17,17,17,95,94,94,94,94,94,94,94,94,94,40.3
SSD001,976,944,944,371,456,371,371,371,371,371,976,124,124,124,124,124,124,124,124,124,472.6
SWZ001,232,29,29,746,5,29,29,29,29,29,232,124,124,124,124,124,124,124,124,124,128.1
SYR001,5,5,5,5,5,5,5,5,5,5,1125,131,131,131,131,131,131,131,131,131,129.6
TCD001,433,339,433,98,98,433,433,433,433,433,433,122,122,122,122,122,122,122,122,122,334.9
TCD003,1109,339,339,339,339,501,501,501,501,501,1109,122,122,122,122,122,122,122,122,122,475.3
TCD004,706,706,706,339,1109,706,706,706,706,706,1109,122,122,122,122,122,122,122,122,122,691.5
