,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,4.661,0,0.31,0.146,0.019,2.8,0.9078691079080639,0,0.060381768601480326,0.02843786521231009,0.0037008180755746006,3,2.9
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,7.12,x,x,x,x,x,1,x,x,x,x,x,x
Syrian refugees in Jordan,International displacement,JOR002,Jordan,JOR,6.79,0.609,0.785,0.523,0,3.5,0.7797427652733119,0.06993569131832797,0.0901469912723932,0.06005971520440974,0,4,3.75
Refugee situation in Kenya,International displacement,KEN002,Kenya,KEN,6.165,0,0.519,0,0,2.9,0.9223518850987432,0,0.07764811490125673,0,0,3,2.95
Syrian refugees in Lebanon,International displacement,LBN002,Lebanon,LBN,3.354,1.566,0.332,1.604,0,3.8,0.48920653442240375,0.22841306884480747,0.048424737456242706,0.2339556592765461,0,4,3.9
Socioeconomic crisis in Lebanon,Political and economic crisis,LBN004,Lebanon,LBN,2.616,0.473,2.192,1.575,0,4.3,0.38156359393232203,0.0689906651108518,0.31971995332555425,0.22972578763127188,0,4,4.15
Complex crisis in Libya,Multiple crises country,LBY001,Libya,LBY,5.071,0.774,0.108,0.558,0.36,3.4,0.7380293989230098,0.1126473584631058,0.015718236064619414,0.08121088633386697,0.05239412021539805,5,4.2
Mixed migration flows in Libya,International displacement,LBY002,Libya,LBY,6.286,0.261,0.19,0.131,0.003,2.5,0.9148595546499781,0.03798573715616359,0.027652452335904527,0.019065638189492067,0.00043661766846165044,2,2.25
Drought in Lesotho,Drought,LSO002,Lesotho,LSO,0.405,0.48,0.482,0.1,0,2.9,0.27607361963190186,0.32719836400818,0.3285616905248807,0.0681663258350375,0,4,3.45
Mixed migration flows in Morocco,International displacement,MAR002,Morocco,MAR,x,x,x,x,x,x,x,x,x,x,x,x,x
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,0.942,1.618,1.067,0.282,0,3.6,0.2409823484267076,0.41391660271169095,0.2729598362752622,0.07214121258633922,0,4,3.8
Multiple crisis in Mexico,Multiple crises country,MEX001,Mexico,MEX,x,x,x,x,x,x,x,x,x,x,x,x,x
Criminal Violence in Mexico,Other type of violence,MEX002,Mexico,MEX,x,x,x,x,x,x,x,x,x,x,x,x,x
Mixed Migration in Mexico,International displacement,MEX003,Mexico,MEX,x,x,x,x,x,x,x,x,x,x,x,x,x
Hurricane Eta and Iota in Southern Mexico,Tropical cyclone,MEX004,Mexico,MEX,14.51,0.152,0.017,0,0,0.4,0.9885542989508107,0.010355634282599809,0.0011581959395012944,0,0,1,0.7
Complex crisis in Mali,Complex crisis,MLI001,Mali,MLI,11.606,3.9,3.818,0.482,0,4.4,0.5860728172499117,0.19693985759733373,0.19279907084785133,0.024339746503055093,0,3,3.7
Multiple crises in Myanmar,Multiple crises country,MMR001,Myanmar,MMR,5.271,3.429,1.047,0.498,0.15,3.7,0.5070707070707071,0.32987012987012987,0.10072150072150071,0.047907647907647906,0.01443001443001443,4,3.85
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.318,0.729,0.247,0.437,0.15,3.2,0.5971148892323545,0.18778979907264295,0.06362699639361154,0.11257083977331273,0.03863987635239567,4,3.6
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,2.953,2.699,0.8,0.061,0,3.2,0.453400890526639,0.4144019653001689,0.12283126055581145,0.009365883617380623,0,3,3.1
Complex crisis in Mozambique,Complex crisis,MOZ001,Mozambique,MOZ,15.339,3.556,2.377,0.184,0,4,0.7149049217002237,0.1657345264727815,0.1107848620432513,0.008575689783743476,0,3,3.5
Cabo Delgado Islamist Insurgency,Other type of violence,MOZ004,Mozambique,MOZ,1.885,1.48,1.436,0.141,0,3.7,0.3815017202995345,0.2995345071847804,0.2906294272414491,0.02853673345476624,0,3,3.35
Food Security Crisis in Mozambique,Food Security,MOZ006,Mozambique,MOZ,6.822,8.407,2.649,0.265,0,4.1,0.3760127873008874,0.4633743041393375,0.14600672435650114,0.01460618420327399,0,3,3.55
Tropical Cyclone Eloise in Mozambique,Tropical cyclone,MOZ007,Mozambique,MOZ,11.746,0.181,0.217,0.043,0,2.4,0.9638139000574383,0.014851891359645524,0.017805858701895463,0.00352834988102076,0,1,1.7
Refugees from Mali in Mauritania,International displacement,MRT002,Mauritania,MRT,0.011,0,0.063,0,0,1.3,0.1506849315068493,0,0.863013698630137,0,0,3,2.15
Food Security in Mauritania,Drought,MRT003,Mauritania,MRT,2.634,1.036,0.457,0.02,0,2.8,0.635157945502773,0.24981914637087052,0.1102001446829033,0.004822763443453099,0,3,2.9
Complex crisis in Malawi,Complex crisis,MWI002,Malawi,MWI,8.769,6.266,2.509,0.133,0,4,0.4960683373875658,0.3544719126548623,0.1419358488431295,0.007523901114442496,0,3,3.5
Food Security Crisis in Namibia,Food Security,NAM002,Namibia,NAM,1.165,0.651,0.426,0.014,0,2.7,0.5164007092198581,0.28856382978723405,0.18882978723404256,0.0062056737588652485,0,3,2.85
Multiple crises in Niger,Multiple crises country,NER001,Niger,NER,19.918,0.06,3.648,0.173,0,4.3,0.836890756302521,0.0025210084033613447,0.15327731092436975,0.0072689075630252105,0,3,3.65
Boko Haram in Niger,Conflict,NER002,Niger,NER,0.656,0.001,0.272,0.02,0,2.4,0.6912539515279241,0.001053740779768177,0.28661749209694415,0.02107481559536354,0,3,2.7
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,7.044,0.009,1.31,0.036,0,3.5,0.8385714285714285,0.0010714285714285715,0.15595238095238095,0.004285714285714286,0,3,3.25
Nigerian Refugees,International displacement,NER004,Niger,NER,0.624,0,0.662,0.042,0,3.1,0.46987951807228917,0,0.49849397590361444,0.03162650602409638,0,3,3.05
Complex crisis in Nigeria,Complex crisis,NGA001,Nigeria,NGA,62.356,0,9.677,0,0,5,0.8656587952743882,0,0.13434120472561187,0,0,3,4
Middle belt conflict,Conflict,NGA003,Nigeria,NGA,14.704,0,0,0.397,0,2.7,0.9737748344370861,0,0,0.026291390728476822,0,1,1.85
Boko Haram crisis in Nigeria,Conflict,NGA004,Nigeria,NGA,0,0,8.9,0,0,4.9,0,0,1,0,0,3,3.95
Northwest Banditry,Other type of violence,NGA007,Nigeria,NGA,30.058,0,0.317,0,0,2.5,0.9895312088490914,0,0.010435870424018962,0,0,1,1.75
Cameroonian Refugees in Nigeria,International displacement,NGA008,Nigeria,NGA,17.595,0,0.062,0,0,1.3,0.9964886447301353,0,0.003511355269864643,0,0,1,1.15
Socioeconomic crisis in Nicaragua,Political and economic crisis,NIC001,Nicaragua,NIC,x,x,x,0,0,x,x,x,x,0,0,x,x
Hurricane Eta and Iota in Nicaragua,Tropical cyclone,NIC002,Nicaragua,NIC,0.861,1.727,0.073,0,0,1.4,0.32356257046223225,0.6490041337842917,0.027433295753476136,0,0,2,1.7
Complex crisis in Pakistan,Complex crisis,PAK001,Pakistan,PAK,145.236,61.32,2.021,1.018,0,4.1,0.6929396833878833,0.292565626878632,0.009642451596896858,0.00485700926553241,0,2,3.05
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,x,x,x,x,x,x,x,x,x,x,x,x,x
Venezuela displacement in Peru,International displacement,PER002,Peru,PER,0,0,1.31,0,0,3.5,0,0,0.08023027927486526,0,0,3,3.25
Multiple crises in the Philippines,Multiple crises country,PHL001,Philippines,PHL,79.969,8.538,1.134,0,0,3.4,0.9010185456430133,0.09619848119521374,0.012776888928949681,0,0,2,2.7
Mindanao conflict,Conflict,PHL003,Philippines,PHL,23.985,0,0.15,0,0,2,0.993743785217103,0,0.006214782896917468,0,0,1,1.5
Mindanao Earthquake,Earthquake,PHL004,Philippines,PHL,10.056,0,0.079,0,0,1.5,0.9923031379514505,0,0.007795539767120584,0,0,1,1.25
Typhoon Goni (Rolly) and Typhoon Vamco (Ulysses),Tropical cyclone,PHL009,Philippines,PHL,45.928,7.651,0.905,0,0,3.3,0.8429630717274796,0.14042654724322737,0.016610381029293003,0,0,2,2.65
Complex crisis in DPRK,Complex crisis,PRK001,DPRK,PRK,0,15.12,4.97,5.459,0,5,0,0.5917808219178082,0.19452054794520549,0.21365949119373778,0,4,4.5
Conflict in Palestine,Conflict,PSE002,Palestine,PSE,0,2.75,0,0.98,1.47,4,0,0.5288461538461539,0,0.18846153846153846,0.2826923076923077,5,4.5
Regional Boko Haram Crisis,Regional crisis,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",3.488,3.836,3.47,3.1,0.122,4.7,0.24884069344367554,0.27366768923450097,0.24755653848897766,0.22116001997574375,0.008703716915174431,4,4.35
Venezuela Regional Crisis,Regional crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago","VEN,BRA,COL,ECU,PER,TTO",39.506,13.009,20.392,0.162,0,5,0.5406670407423121,0.17803719771722618,0.27907867905678196,0.0022170824836798093,0,3,4
Regional Kashmir conflict,Regional crisis,REG003,"India,Pakistan","IND,PAK",x,x,x,x,x,x,x,x,x,x,x,x,x
Syrian Regional Crisis,Regional crisis,REG004,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",45.519,12.854,3.133,9.995,6.009,5,0.5872585826527847,0.16583452671233762,0.04042006940950317,0.12894943943440285,0.07752448039633085,5,5
Eastern Mediterranean Route ,Regional crisis,REG006,"Turkey,Greece","TUR,GRC",x,x,x,x,x,x,x,x,x,x,x,x,x
Central Mediterranean Route,Regional crisis,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",x,x,x,x,x,x,x,x,x,x,x,x,x
Western Mediterranean Route,Regional crisis,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",x,x,x,x,x,x,x,x,x,x,x,x,x
Rohingya Regional Crisis,Regional crisis,REG011,"Bangladesh,Myanmar","BGD,MMR",2.318,1.201,0.912,0.644,0.15,3.7,0.4435514734022197,0.2298124760811328,0.17451205510907003,0.12323000382701875,0.02870264064293915,4,3.85
Southern Africa Regional Food Security Crisis,Regional crisis,REG012,"Lesotho,Madagascar,Malawi,Mozambique,Namibia,Eswatini,Zambia,Zimbabwe","LSO,MDG,MWI,MOZ,NAM,SWZ,ZMB,ZWE",24.031,22.683,11.272,1.56,0,5,0.40357034897390254,0.3809323884056024,0.18929902932186882,0.02619823329862627,0,3,4
Nagorno-Karabakh Conflict,Regional crisis,REG013,"Armenia,Azerbaijan","ARM,AZE",x,x,x,x,x,x,x,x,x,x,x,x,x
Burundi and DRC refugees in Rwanda,International displacement,RWA002,Rwanda,RWA,4.436,0,0.14,0,0,1.9,0.9694055944055944,0,0.030594405594405596,0,0,1,1.45
Complex crisis in Sudan,Complex crisis,SDN001,Sudan,SDN,16,17.4,6.1,6.7,0.6,5,0.3418803418803419,0.3717948717948718,0.13034188034188035,0.14316239316239315,0.01282051282051282,4,4.5
Refugees in Sudan,International displacement,SDN005,Sudan,SDN,0,10.454,0.4,0.5,0.2,3.4,0,0.9047948762333391,0.03462004500605851,0.043275056257573136,0.017310022503029255,4,3.7
Floods in Sudan ,Flood,SDN006,Sudan,SDN,42.14,0.81,0.05,0,0,1.2,0.98,0.018837209302325582,0.0011627906976744186,0,0,1,1.1
Refugees from Ethiopia,International displacement,SDN007,Sudan,SDN,4.956,0,0.066,0,0,1.4,0.987841339445884,0,0.013155272074945186,0,0,1,1.2
Drought in Senegal,Drought,SEN002,Senegal,SEN,13.521,2.676,0.498,0.013,0,2.8,0.8092046202645281,0.16015321084445508,0.029804297085403077,0.0007780238194984738,0,2,2.4
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,5.3,0.757,0.548,0.095,0,3,0.7910447761194029,0.11298507462686568,0.0817910447761194,0.014179104477611941,0,3,3
Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,7.213,3.01,1.705,0.4,0,3.9,0.5864227642276423,0.24471544715447155,0.13861788617886178,0.032520325203252036,0,3,3.45
Mixed Migration Flows in Somalia,International displacement,SOM002,Somalia,SOM,1.227,0,0.002,0.034,0,0.9,0.9730372720063442,0,0.0015860428231562252,0.02696272799365583,0,1,0.95
Floods in Somalia,Flood,SOM004,Somalia,SOM,9.93,0.11,0.629,0,0,3,0.9308211473565804,0.010311211098612674,0.05896137982752156,0,0,3,3
Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,0,3.4,4.471,3.829,0,4.9,0,0.29097133076593923,0.3826272999572101,0.32768506632434746,0,4,4.45
Food Security Crisis in Eswatini,Food Security,SWZ001,Eswatini,SWZ,0.349,0.433,0.288,0.06,0,2.6,0.3088495575221239,0.3831858407079646,0.25486725663716814,0.05309734513274336,0,4,3.3
Syrian conflict,Complex crisis,SYR001,Syria,SYR,0,4.1,0.03,7.38,5.99,5,0,0.23428571428571426,0.0017142857142857142,0.4217142857142857,0.3422857142857143,5,5
Complex crisis in Chad,Multiple crises country,TCD001,Chad,TCD,9.175,1.207,4.736,1.472,0.192,4.7,0.5463586017983684,0.07187518608944203,0.2820222711844221,0.0876555707735366,0.011433335318287382,4,4.35
Boko Haram in Chad,Conflict,TCD003,Chad,TCD,0,0.318,0.098,0.147,0.122,2.6,0,0.46355685131195334,0.14285714285714285,0.21428571428571427,0.17784256559766765,5,3.8
CAR refugees in Chad,International displacement,TCD004,Chad,TCD,3.452,0,0.743,0.261,0,3.3,0.774685816876122,0,0.16674147217235188,0.05857271095152603,0,4,3.65
Darfur refugees in Chad,International displacement,TCD005,Chad,TCD,1.454,0,0.694,0.429,0,3.4,0.5642219635234769,0,0.2693053938688397,0.16647264260768335,0,4,3.7
Tibesti Conflict in Chad,Conflict,TCD006,Chad,TCD,0,0.02,0.011,0.006,0.001,0.4,0,0.5263157894736842,0.2894736842105263,0.15789473684210525,0.02631578947368421,4,2.2
Multiple situations in Thailand,Multiple crises country,THA001,Thailand,THA,3.458,0,0.092,0,0,1.6,0.9743589743589743,0,0.025922795153564385,0,0,1,1.3
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,x,x,x,x,x,x,x,x,x,x,x,x,x
Myanmar refugees in Thailand,International displacement,THA003,Thailand,THA,0,0,0.092,0,0,1.6,0,0,1,0,0,3,2.3
Venezuelan refugees in Trinidad and Tobago,International displacement,TTO002,Trinidad and Tobago,TTO,1.395,0,0.06,0,0,1.3,0.9620689655172414,0,0.041379310344827586,0,0,1,1.15
Mixed migration flows in Tunisia,International displacement,TUN002,Tunisia,TUN,x,x,x,x,x,x,x,x,x,x,x,x,x
Complex situation in Turkey,Multiple crises country,TUR001,Turkey,TUR,47.837,3.549,1.64,0.585,0,3.9,0.8922982223797356,0.06619910093077913,0.030590736975620675,0.010911939713864692,0,2,2.95
Syrian Refugees in Turkey,International displacement,TUR002,Turkey,TUR,30.714,3.549,1.64,0.255,0,3.8,0.8494385751424305,0.09815255268543614,0.04535649095635821,0.007052381215775208,0,3,3.4
Mixed Migration Flows in Turkey,International displacement,TUR003,Turkey,TUR,31.852,3.549,1.64,0.585,0,3.9,0.8465422845904428,0.09432307446978154,0.04358688141178972,0.015547759527985967,0,3,3.45
Kurdish Conflict,Conflict,TUR004,Turkey,TUR,x,x,x,x,x,x,x,x,x,x,x,x,x
International Displacement in Tanzania,International displacement,TZA002,Tanzania,TZA,11.098,0,0.287,0,0,2.4,0.9747913921826965,0,0.02520860781730347,0,0,1,1.7
Multiple crises in Uganda,Multiple crises country,UGA001,Uganda,UGA,9.662,3.285,1.529,0,0,3.6,0.6674495717048908,0.22692732799115778,0.10562310030395136,0,0,3,3.3
International Displacement in Uganda,International displacement,UGA005,Uganda,UGA,6.011,0,1.429,0,0,3.6,0.8079301075268818,0,0.1920698924731183,0,0,3,3.3
Conflict in Ukraine,Conflict,UKR002,Ukraine,UKR,0.909,2,2.44,0.96,0,4.2,0.14407988587731813,0.3170074496750674,0.3867490886035822,0.15216357584403234,0,4,4.1
Complex crisis in Venezuela,Complex crisis,VEN001,Venezuela,VEN,0,12.61,14.803,0,0,5,0,0.46001751057930834,0.5400189697942507,0,0,3,4
Floods in central Vietnam,Flood,VNM002,Vietnam,VNM,6.2,0.5,1,0,0,3.3,0.8051948051948052,0.06493506493506493,0.12987012987012986,0,0,3,3.15
Cyclone Harold in Vanuatu,Tropical cyclone,VUT002,Vanuatu,VUT,0.075,0.033,0.123,0,0,1.8,0.3246753246753247,0.14285714285714285,0.5324675324675324,0,0,3,2.4
