Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Type of crisis,First country (to hide),Website name (to hide),Crisis description,Related crisis,Starting date,Duration (days)
ETH003,,,Ethiopia,International Displacement,ETH,Africa,International displacement,Ethiopia,International Displacement,https://www.acaps.org/country/Ethiopia/crisis/International-Displacement,,2020-01-07 00:00:00,418
ETH004,,,Ethiopia,Crisis in Tigray,ETH,Africa,Conflict,Ethiopia,Tigray Crisis,https://www.acaps.org/country/Ethiopia/crisis/Tigray-Crisis,,2020-11-30 00:00:00,90
FJI002,,,Fiji,Tropical cyclone Yasa in Fiji,FJI,Pacific,Tropical cyclone,Fiji,Tropical cyclone Yasa,https://www.acaps.org/country/Fiji/crisis/Tropical-cyclone-Yasa,,2021-01-08 00:00:00,
GRC002,,,Greece,Mixed migration flows in Greece,GRC,Europe,International displacement,Greece,Mixed Migration,https://www.acaps.org/country/Greece/crisis/Mixed-Migration,,Before 2019,More than 2 years
GTM001,,,Guatemala,Complex crisis in Guatemala,GTM,Americas,Complex crisis,Guatemala,Complex crisis,https://www.acaps.org/country/Guatemala/crisis/Complex-crisis,,Before 2019,More than 2 years
GTM003,,,Guatemala,Hurricane Eta and Iota in Guatemala,GTM,Americas,Tropical cyclone,Guatemala,Hurricane Eta/Iota,https://www.acaps.org/country/Guatemala/crisis/Hurricane-Eta/Iota,"COL003, HND002, NIC002, MEX004",2020-11-30 00:00:00,90
HTI001,,,Haiti,Complex crisis in Haiti,HTI,Americas,Complex crisis,Haiti,Complex crisis,https://www.acaps.org/country/Haiti/crisis/Complex-crisis,,Before 2019,More than 2 years
HND001,,,Honduras,Complex crisis in Honduras,HND,Americas,Complex crisis,Honduras,Complex crisis,https://www.acaps.org/country/Honduras/crisis/Complex-crisis,,Before 2019,More than 2 years
HND002,,,Honduras,Hurricane Eta and Iota in Honduras,HND,Americas,Tropical cyclone,Honduras,Hurricane Eta/Iota,https://www.acaps.org/country/Honduras/crisis/Hurricane-Eta/Iota,"COL003, GTM003, NIC002, MEX004",2020-11-30 00:00:00,90
IND002,,,India,Conflict in Jammu and Kashmir,IND,Asia,Conflict,India,Kashmir conflict,https://www.acaps.org/country/India/crisis/Kashmir-conflict,REG003,Before 2019,More than 2 years
