,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
MDG001,13,13,13,13,13,13,13,13,13,13,13,156,156,156,156,156,156,156,156,156,27.3,,
MDG002,13,13,13,13,13,13,13,13,13,13,13,156,156,156,156,156,156,156,156,156,27.3,,
MDG008,13,13,13,13,13,13,13,13,13,13,13,156,156,156,156,156,156,156,156,156,27.3,,
MEX001,31,31,31,31,31,31,31,31,31,31,31,155,155,155,155,155,155,155,155,155,43.4,,
MEX002,31,31,31,31,31,31,31,31,31,31,31,155,155,155,155,155,155,155,155,155,43.4,,
MEX003,31,31,31,31,31,31,31,31,31,31,31,155,155,155,155,155,155,155,155,155,43.4,,
MLI001,12,12,12,4,4,12,12,12,12,12,4,153,153,153,153,153,153,153,153,153,23.7,,
MMR001,8,8,8,8,8,8,8,8,8,8,8,155,155,155,155,155,155,155,155,155,22.7,,
MMR002,8,8,8,8,8,8,8,8,8,8,8,155,155,155,155,155,155,155,155,155,22.7,,
MMR003,8,8,8,8,8,8,8,8,8,8,5,155,155,155,155,155,155,155,155,155,22.4,,
MMR004,8,8,8,8,8,8,8,8,8,8,8,155,155,155,155,155,155,155,155,155,22.7,,
MNG004,34,63,34,34,34,34,34,34,34,34,34,61,61,61,61,61,61,61,61,61,36.7,,
MOZ001,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,,
MOZ004,13,13,13,13,13,13,13,13,13,13,13,155,155,155,155,155,155,155,155,155,27.2,,
MRT002,366,1,1,1,1,1,1,1,1,1,366,161,161,161,161,161,161,161,161,161,53.5,,
MRT003,1310,1,1,1,1,1,1,1,1,1,474,161,161,161,161,161,161,161,161,161,64.3,,
MWI002,0,0,0,0,0,0,0,0,0,0,368,155,155,155,155,155,155,155,155,155,52.3,,
MWI005,0,0,0,0,0,0,0,0,0,0,368,155,155,155,155,155,155,155,155,155,52.3,,
MYS001,5,5,5,5,5,5,5,5,5,5,5,155,155,155,155,155,155,155,155,155,20,,
NAM002,31,31,31,1544,31,31,31,31,31,31,1024,156,156,156,156,156,156,156,156,156,294.1,,
NER001,0,0,0,4,4,0,0,0,0,0,4,153,153,153,153,153,153,153,153,153,16.5,,
NER002,301,301,301,4,4,301,301,301,301,301,4,153,153,153,153,153,153,153,153,153,197.1,,
NER003,301,301,301,4,4,301,301,301,301,301,4,153,153,153,153,153,153,153,153,153,197.1,,
NER004,301,301,301,4,4,301,301,301,301,301,4,153,153,153,153,153,153,153,153,153,197.1,,
NGA001,11,11,11,11,11,11,11,11,11,11,11,156,156,156,156,156,156,156,156,156,25.5,,
NGA003,11,11,11,11,11,11,11,11,11,11,11,157,157,157,157,157,157,157,157,157,25.6,,
NGA004,11,11,11,11,11,11,11,11,11,11,11,157,157,157,157,157,157,157,157,157,25.6,,
NGA007,11,11,11,11,11,11,11,11,11,11,11,156,156,156,156,156,156,156,156,156,25.5,,
NGA008,285,285,33,33,645,33,33,33,33,33,154,156,156,156,156,156,156,156,156,156,118.6,,
NIC001,0,0,0,0,0,0,0,0,0,0,0,155,155,155,155,155,155,155,155,155,15.5,,
NPL003,152,152,152,152,152,152,152,152,152,152,152,155,155,155,155,155,155,155,155,155,152.3,,
