,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,3.5,1.000001652335411,5,4.25,1.9,1,5,3.45,3.9,2.6,0.289321409784324,1.4,2,4,0.5754545454545454,5,4.5,0,9.09090909090909e-07,0,0,2.9,2.5
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,3.3,0.2001067769761945,0.9,2.1,5,1,5,5,4,0.6,0.001600640256102441,0,0.3,2.7,1,5,3.9,3.4,0.003263157894736842,5,4.2,4.1,2.7
Displacement from Russia-Ukraine conflict in Estonia,"Conflict,Displacement",EST002,Estonia,EST,2.7,1,5,3.85,0.5,1,5,2.75,3.4,0.1,0.025992779783393503,0.1,0.1,2.2,1,5,3.6,0,0,0,0,2.2,1.3
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,5,1.001208341909811,5,5,5,1,5,5,5,5,1,5,5,5,0.02681983427512809,0.9,3,5,3.01451836693564e-05,1.5,3.3,3.2,4.3
International Displacement,Displacement,ETH003,Ethiopia,ETH,5,0.9999997341771849,5,5,5,0.7489710020231146,3.7,4.35,4.7,2.5,0.010069961914224209,0,1.25,4.3,1,5,4.7,x,x,x,x,4.7,3.5
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,4.1,0.2689488913992408,1.3,2.6999999999999997,5,0.23757257245618524,1.1,3.05,2.9,5,1,5,5,4.8,0.07337922933864074,2.4,3.6,5,0.00012688831609514176,5,5,4.4,4.7
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,5,0.8866750377224726,4.4,4.7,5,0.7334682076444279,3.7,4.35,4.5,5,1,5,5,4,0.006583953331078796,0.2,2.1,2,2.536354413256679e-07,0,1,1.6,3.8
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,1.7,0.07584173778122576,0.3,1,0,0.06233816054473962,0.3,0.15,0.6,1.3,0.2876923076923077,1.4,1.35,3.2,1,5,4.1,1.7,8.021390374331551e-05,4,2.9,3.6,2.6
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,3.4,1,5,4.2,4.2,1,5,4.6,4.4,4.2,0.56,2.8,3.5,2.9,0.01065340909090909,0.4,1.7,3.1,1.5117694805194805e-05,0.8,2,1.9,2.8
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event",HND001,Honduras,HND,3.4,1,5,4.2,3.3,1,5,4.15,4.2,3.7,0.5677783478707029,2.8,3.25,4.1,0.1362732694740647,4.5,4.3,3.4,4.319537321525393e-05,2.2,2.8,3.7,3.5
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.4,1,5,3.7,3.6,1,5,4.3,4,4.1,0.74,3.7,3.9,3.6,0.04077154077154077,1.4,2.5,4.2,0.00010695310695310695,5,4.6,3.8,3.9
Displacement from Russia-Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,3.3,1.0192088538242385,5,4.15,3.3,1,5,4.15,4.2,0.5,0.006081220366934653,0,0.25,2.5,1,5,3.8,0,0,0,0,2.3,1.4
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,4.4,0.22297417433729155,1,2.7,2.5,0.020124864458778816,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.018389113644722323,0.6,1.8,2.7,1.360794409709452e-05,0.7,1.7,1.8,3.3
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,4,0.14764930662557782,0.7,2.35,4.6,0.2772187664027339,1.3,2.9499999999999997,2.7,3.6,0.18035692704346776,0.9,2.25,5,1,5,5,x,x,x,x,5,4
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,0.8829469649504293,4.4,4.35,5,1,5,5,4.7,3.7,0.125561848256023,0.6,2.15,5,1.1229640236262752,5,5,4,0.000112224807589046,5,4.5,4.8,3.8
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,0.8829469649504293,4.4,4.35,5,0.9817062207838907,4.9,4.95,4.7,3.7,0.12133144086809212,0.6,2.15,5,1.129622641509434,5,5,4,0.00011830188679245283,5,4.5,4.8,3.8
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,2.6,0.08292485165665425,0.3,1.45,2.7,0.1451366414958648,0.7,1.7000000000000002,1.6,2.2,0.10901207804273769,0.5,1.35,3.5,0.40767045454545453,5,4.3,0,0,0,0,2.8,2.1
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,2.7,0.13883205902940987,0.6,1.6500000000000001,5,1,5,5,3.9,1.2,0.0029628620566349378,0,0.6,3.2,1,5,4.1,4.1,0.004166666666666667,5,4.6,4.4,3
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,2.7,0.45569520463094354,2.2,2.45,3.2,0.8011741345074679,4,3.6,3.1,2.9,0.19816810344827587,1,1.95,4.5,0.7172376291462752,5,4.8,0.7,1.6313213703099511e-06,0.1,0.4,3.3,2.7
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5298345753395698,2.6,3.75,4.3,5,0.9814463840399003,4.9,4.95,4.2,0.027374055628959584,0.9,2.6,4,2.249551106142223e-05,1.1,2.6,2.6,4.1
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.4,0.02336028751123091,0.1,0.25,0.9,2.3,0.5784313725490197,2.9,2.5999999999999996,4.1,1,5,4.6,0,0,0,0,3,2.8
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.6,0.9551779878413045,4.8,4.699999999999999,4.9,0.5064742878283389,2.5,3.7,4.3,4.9,1,5,4.95,2.3,0.001391352742704094,0,1.2,2.2,1.1130821941632753e-06,0.1,1.2,1.2,3.7
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,3.2,0.03,1,2.1,1.1,1.0526315789473683e-06,0.1,0.6,1.4,3.3
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.5,1,5,3.75,3.6,3.8,1,5,4.4,2.8,0.016140350877192983,0.5,1.7,3.8,7.456140350877193e-05,3.7,3.8,2.9,3.8
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,3.9,1,5,4.45,4.2,0.12607944732297063,4.2,4.2,4.2,0.000135146804835924,5,4.6,4.4,4.4
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,5,1,5,5,2.8,1,5,3.9,4.5,2.3,0.11067933218192286,0.5,1.4,4.1,1,5,4.6,4.2,0.0011872561768530559,5,4.6,4.6,3.4
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,3.1,0.038548143264716915,0.1,1.6,1,0.28929188255613125,1.4,1.2,1.4,2.4,0.43980099502487563,2.2,2.3,2.4,0.05090497737556561,1.7,2.1,0,0,0,0,1.2,1.8
