,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,38.909,2.8,2.414,0.245,0.128,4.1,0.874438151743977,0.06292700467457749,0.05425206760158217,0.005506112909025531,0.002876663070837828,3,3.55
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,38.382,2.8,2.15,0.225,0.125,4,0.8786685591319079,0.06409962913785999,0.04921935808799963,0.005150863055720892,0.0028615905865116064,3,3.5
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,5.755,0.416,0.264,0.02,0.003,2.4,0.8911427686590275,0.064416227934345,0.040879529266026636,0.003096934035305048,0.0004645401052957572,2,2.2
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,58.553,0,0.174,x,x,2.1,0.997037137943365,0,0.0029628620566349378,x,x,1,1.55
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,7.441,0.488,1.325,0.026,0,3.6,0.8018318965517242,0.052586206896551725,0.1427801724137931,0.0028017241379310344,0,3,3.3
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,0.559,27.526,1.965,0.026,0,3.8,0.018586866167913548,0.9152452202826268,0.06533665835411472,0.0008645054031587697,0,3,3.4
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,0.559,0,0.767,x,x,3.1,0.4215686274509804,0,0.5784313725490197,x,x,3,3.05
Drought in Kenya,Drought,KEN003,Kenya,KEN,0,27.526,1.198,0.026,0,3.5,0,0.9574593898918223,0.04167101464398762,0.0009043792827576611,0,2,2.75
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,0,4.18,1.491,0.03,0,3.6,0,0.7333333333333333,0.2615789473684211,0.005263157894736842,0,3,3.3
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,0,2,3.7,x,x,4.3,0,0.3508771929824561,0.6491228070175439,x,x,3,3.65
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,0,5.783,0.351,0.814,0,3.4,0,0.8323258491652274,0.050518134715025906,0.11715601611974669,0,4,3.7
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,6.179,0,0.769,x,x,3.1,0.8893206678180772,0,0.11067933218192286,x,x,3,3.05
Storm Daniel and floods in Libya,"Floods,Other seasonal event",LBY003,Libya,LBY,1.126,0,0.884,x,x,3.2,0.5601990049751244,0,0.43980099502487563,x,x,3,3.1
Multiple crises in Sri Lanka,"Socio-political,Food Security,Floods",LKA001,Sri Lanka,LKA,15.037,1.72,5.28,x,x,4.5,0.6823524073149703,0.07805055134546444,0.23959704133956528,x,x,3,3.75
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,15.037,1.72,5.28,x,x,4.5,0.6823524073149703,0.07805055134546444,0.23959704133956528,x,x,3,3.75
2023 Floods and Monsoon Rain,Floods,LKA003,Sri Lanka,LKA,6.013,0.149,0.095,x,x,1.6,0.9608501118568232,0.023809523809523808,0.01518056887184404,x,x,1,1.3
Displacement from Russia-Ukraine conflict in Lithuania,"Conflict,Displacement",LTU002,Lithuania,LTU,2.832,0,0.041,0,0,1,0.9857292029237731,0,0.01427079707622694,0,0,1,1
Displacement from Russia-Ukraine conflict in Latvia,"Conflict,Displacement",LVA002,Latvia,LVA,1.879,0,0.048,0,0,1.1,0.9750908147379346,0,0.024909185262065387,0,0,1,1.05
Multiple crises in Morocco,"Displacement,Earthquake",MAR001,Morocco,MAR,35.326,2.3,0.52,x,x,2.9,0.9260735070518534,0.06029465736905573,0.013631835579090862,x,x,2,2.45
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,38.126,0,0.02,x,x,0.5,0.9994756986315735,0,0.0005243013684265716,x,x,1,0.75
Al Haouz Earthquake in Morocco,Earthquake,MAR003,Morocco,MAR,3.8,2.3,0.5,x,x,2.8,0.5757575757575758,0.3484848484848485,0.07575757575757576,x,x,3,2.9
DIsplacement from Russia-Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,2.539,0,0.118,0,0,1.8,0.9555890101618366,0,0.04441098983816334,0,0,1,1.4
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,0,6.197,2.247,0.043,0,3.9,0,0.7301755626251915,0.26475786496995407,0.005066572404854483,0,3,3.45
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,1.535,1.866,0.911,0.099,0,3.3,0.34807256235827666,0.4231292517006803,0.20657596371882087,0.022448979591836733,0,3,3.15
Tropical cyclone Freddy in Madagascar,Cyclone,MDG008,Madagascar,MDG,0,7.904,0.908,0,x,3.3,0,0.9313067043713915,0.10698715682809001,0,x,3,3.15
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,126.897,0.487,0.128,0,0,1.8,0.9952393650395281,0.003819488016062241,0.001003890074036893,0,0,1,1.4
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,127.118,0.386,x,x,x,x,0.9969726439954825,0.0030273560045175054,x,x,x,x,x
