INFORM Severity Index - all crises. Release: April 2023,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,DRIVERS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Syrian and Palestinian refugees in iraq,IRQ003,Iraq,IRQ,Displacement,2.9,3,Medium,Stable,Medium,1.9,1.5,2.1,2.9,2.8,3,3.6,3.6,3.5,Middle east,2023-04-25 00:00:00
Mixed migration flows in Italy,ITA002,Italy,ITA,Displacement,2,2,Low,Stable,Very High,2.7,1.6,3.2,1.7,2.4,1,1.8,1.5,2,Europe,2023-04-27 00:00:00
Syrian refugees in Jordan,JOR002,Jordan,JOR,Displacement,2.7,3,Medium,Stable,Medium,2.7,3,2.6,3.1,3.2,3,2,2.5,1.5,Middle east,2023-04-25 00:00:00
Refugee situation in Kenya,KEN002,Kenya,KEN,Displacement,3,3,Medium,Increasing,Medium,3,0.8,3.7,3,3,3,2.9,3.6,2,Africa,2023-02-21 00:00:00
Drought in Kenya,KEN003,Kenya,KEN,Drought,3.8,4,High,Decreasing,Medium,4.7,4.1,4.9,3.8,4.6,3,2.9,3.6,2,Africa,2023-03-15 00:00:00
Syrian refugees in Lebanon,LBN002,Lebanon,LBN,Displacement,3.3,4,High,Stable,Medium,3.7,3.6,3.7,3.8,3.6,4,2.3,2.5,2,Middle east,2023-04-25 00:00:00
Socioeconomic crisis in Lebanon,LBN004,Lebanon,LBN,"Socio-political,Violence,Tecnological Disaster",3.4,4,High,Decreasing,Medium,3.2,3.6,2.9,4.1,4.2,4,2.5,2.5,2.5,Middle east,2023-04-25 00:00:00
Complex crisis in Libya,LBY001,Libya,LBY,"Conflict,Displacement,Socio-political",3.8,4,High,Increasing,Very High,4.6,4.5,4.6,3.2,3.4,3,4,3.3,4.5,Africa,2023-04-27 00:00:00
Mixed migration flows in Libya,LBY002,Libya,LBY,Displacement,3.4,4,High,Decreasing,Very High,3.8,4.5,3.4,3.05,3.1,3,3.7,3.3,4,Africa,2023-04-27 00:00:00
Socio-economic crisis in Sri Lanka,LKA002,Sri Lanka,LKA,"Socio-political,Food Security",3.4,4,High,Stable,High,3.7,4.4,3.3,4.35,4.7,4,1.6,2.1,1,Asia,2023-04-29 00:00:00
Mixed migration flows in Morocco,MAR002,Morocco,MAR,Displacement,2.2,3,Medium,Stable,Medium,3.5,4.9,2.4,0.75,0.5,1,2.8,3.1,2.5,Africa,2023-04-27 00:00:00
DIsplacement from Ukraine conflict in Moldova,MDA002,Moldova,MDA,"Displacement,Conflict",1.9,2,Low,Decreasing,Very High,1.5,0.2,2.1,2.35,1.7,3,1.4,1.8,1,Europe,2023-04-26 00:00:00
Drought in Madagascar,MDG002,Madagascar,MDG,Drought,2.7,3,Medium,Decreasing,High,2.4,2.1,2.5,3.45,3.9,3,1.6,2.1,1,Africa,2023-03-28 00:00:00
Tropical cyclone Cheneso in Madagascar,MDG007,Madagascar,MDG,Cyclone,1.9,2,Low,-,Very High,3.5,4.9,2.3,0.95,0.9,1,1.6,2.1,1,Africa,2023-03-28 00:00:00
Tropical cyclone Freddy in Madagascar,MDG008,Madagascar,MDG,Cyclone,2.1,3,Medium,-,Very High,2.3,1.8,2.5,2.2,1.4,3,1.8,2.1,1.5,Africa,2023-03-31 00:00:00
Criminal Violence in Mexico,MEX002,Mexico,MEX,"Violence,Displacement",x,x,x,-,High,4.1,5,3.4,x,x,x,3.3,3,3.5,Americas,2023-03-28 00:00:00
Mixed Migration in Mexico,MEX003,Mexico,MEX,Displacement,2.6,3,Medium,Stable,High,3.8,4.8,3,1.35,1.7,1,3,3,3,Americas,2023-03-28 00:00:00
Complex crisis in Mali,MLI001,Mali,MLI,Conflict,4.3,5,Very High,Increasing,Very High,4.4,4.9,4.1,4.45,4.9,4,3.9,3.2,4.5,Africa,2023-04-27 00:00:00
Rakhine Conflict,MMR002,Myanmar,MMR,Conflict,3.8,4,High,Increasing,High,3.4,1.2,4.1,3.85,3.7,4,4,3.9,4,Asia,2023-04-27 00:00:00
Kachin and Shan Conflict,MMR003,Myanmar,MMR,Conflict,3.7,4,High,Stable,High,3.4,1.9,3.9,3.8,3.6,4,3.7,3.9,3.5,Asia,2023-04-27 00:00:00
Post-coup conflict in Myanmar,MMR004,Myanmar,MMR,"Violence,Socio-political,Conflict",4.4,5,Very High,Decreasing,High,4.5,4.4,4.6,4.5,5,4,4,3.9,4,Asia,2023-04-27 00:00:00
Dzud in Mongolia,MNG002,Mongolia,MNG,Other seasonal event,2.6,3,Medium,-,Medium,3.1,3.1,3.05,3.1,2.2,4,1.3,1.1,1.5,Asia,2023-04-03 00:00:00
