,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Crisis,Crisis ID,Trend,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00
Thailand,Myanmar refugees in Thailand,THA003,Increasing,-,1.2,1.2,1.4,1.4,1.4,1.4,1.4,1.4,1.4,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.3,2.3
Tajikistan,N/A,TJK001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tokelau,N/A,TKL001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Turkmenistan,N/A,TKM001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Timor Leste,N/A,TLS001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tonga,N/A,TON001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trinidad and Tobago,N/A,TTO001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trinidad and Tobago,Venezuelan refugees in Trinidad and Tobago,TTO002,Increasing,-,0.9,0.9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.7,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.8,1.8
Tunisia,N/A,TUN001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tunisia,Mixed migration flows in Tunisia,TUN002,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Turkey,Complex situation in Turkey,TUR001,Increasing,-,x,x,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3
Turkey,Syrian Refugees in Turkey,TUR002,Increasing,-,x,x,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.3,3.3,3.3
Turkey,Mixed Migration Flows in Turkey,TUR003,Increasing,-,x,x,3.3,3.3,3.3,3.2,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.2
Turkey,Kurdish Conflict,TUR004,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Tuvalu,N/A,TUV001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tanzania,N/A,TZA001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tanzania,International Displacement in Tanzania,TZA002,Decreasing,1.5,1.5,1.5,2.2,2.2,2.1,1.8,1.8,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,2.5,2.4,1.7,1.7,1.7
Uganda,Multiple crises in Uganda,UGA001,Increasing,-,2.9,3,3.1,3.1,3,2.9,2.9,2.9,2.9,-,-,-,-,-,-,2.9,2.9,2.9,2.9,2.9,2.9,3.1,3.1
Uganda,South Sudanese refugees in Uganda,UGA002,-,-,2.8,2.8,2.6,2.6,2.5,2.5,2.5,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uganda,DRC refugees in Uganda,UGA003,-,-,2.3,2.3,2.4,2.4,2.3,2.3,2.3,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uganda,Drought in Uganda,UGA004,-,-,2,2.2,2.4,2.4,2.4,2.3,2.3,2.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uganda,International Displacement in Uganda,UGA005,Increasing,-,-,-,-,-,-,-,-,-,-,3,2.8,2.8,3,3,3,3,2.9,2.9,2.9,2.9,2.9,3,3
Uganda,Floods and Landslides in Uganda,UGA006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,x,x,x,x,-,-
Ukraine,N/A,UKR001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ukraine,Conflict in Ukraine,UKR002,Stable,-,3.3,3.3,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Uruguay,N/A,URY001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uzbekistan,N/A,UZB001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
St. Vincent and the Grenadines,N/A,VCT001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,Complex crisis in Venezuela,VEN001,Stable,4.2,4.2,4.2,3.9,3.9,4,4,4,4,4,4,4,4,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1
Vietnam,N/A,VNM001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vietnam,Floods in central Vietnam,VNM002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,2.4
Vanuatu,N/A,VUT001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vanuatu,Cyclone Harold in Vanuatu,VUT002,Stable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.9,1.9,2,2,2,2,2,2,2
Samoa,N/A,WSM001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yemen,Conflict in Yemen,YEM001,Decreasing,4.2,4.3,4.3,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.6
Yemen,Mixed migration flows in Yemen,YEM002,Stable,-,2.8,2.8,3,3,3,3,3,2.9,2.9,3,3,3,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
South Africa,N/A,ZAF001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zambia,N/A,ZMB001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zambia,Drought in Zambia,ZMB002,Stable,-,-,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.7,2.7
Zimbabwe,Complex crisis in Zimbabwe,ZWE001,Decreasing,-,-,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.7,3.7,3.7,3.8,3.8,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.5,3.5
Zimbabwe,Tropical Cyclone Idai in Zimbabwe,ZWE002,-,-,-,2.3,3.2,3.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zimbabwe,Malaria Outbreak in Zimbabwe,ZWE003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.6,2.6,2.6,2.6,2.6,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,
