,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,5.009,0,1.2,0,0,3.5,0.8067321629892092,0,0.19326783701079078,0,0,3,3.25
Mixed migration flows in spain,Displacement,ESP002,Spain,ESP,12.018,0,0.169,0,0,2,0.9862136878385032,0,0.013868373543410471,0,0,1,1.5
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,38.495,47.884,25.795,11.195,1.205,5,0.30901311670171944,0.38438197376659655,0.2070656798368841,0.0898662642284907,0.009672965466309181,4,4.5
International Displacement,Displacement,ETH003,Ethiopia,ETH,82.595,41.097,0.882,0,0,3.2,0.6630195706969352,0.3299003002231605,0.007080129079904314,0,0,2,2.6
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,0,16.7,3.7,9.2,0.5,5,0,0.5548172757475083,0.12292358803986711,0.30564784053156147,0.016611295681063124,4,4.5
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,35.9,12.3,9.1,1.995,0.705,5,0.5983333333333334,0.205,0.15166666666666667,0.03325,0.01175,3,4
Flood crisis in Gambia ,Floods,GMB002,Gambia,GMB,2.448,0,0.038,0.006,0,1.1,0.9823434991974318,0,0.015248796147672551,0.002407704654895666,0,1,1.05
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,0.245,0.141,0.019,0,0,0.5,0.6049382716049383,0.34814814814814815,0.04691358024691358,0,0,2,1.25
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,11.4,0.7,5,0,0,4.5,0.6589595375722543,0.04046242774566474,0.28901734104046245,0,0,3,3.75
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event,Cyclone",HND001,Honduras,HND,5.4,0.8,3.2,0,0,4.2,0.5625,0.08333333333333333,0.3333333333333333,0,0,3,3.6
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,3.2,3.8,1.9,1.5,1,4.4,0.2807017543859649,0.3333333333333333,0.16666666666666666,0.13157894736842105,0.08771929824561403,5,4.7
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,5.739,0.04,0.65,0,0,3,0.892673821745217,0.006221807435059885,0.10110437081972314,0,0,3,3
Displacement from Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,0.553,0,0.033,0,0,0.9,0.9436860068259386,0,0.05631399317406143,0,0,3,1.95
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,0,5.338,0.1,0,0,1.7,0,0.9816108863552777,0.018389113644722323,0,0,2,1.85
Country Level,"Earthquake,Socio-political,Violence",IDN007,Indonesia,IDN,15.061,7.076,0.162,0,0,2,0.6754114534284048,0.31732364680030495,0.007264899771290192,0,0,2,2
Earthquake in West Java province,Earthquake,IDN008,Indonesia,IDN,15.061,1.738,0.062,0,0,1.3,0.8932447660281122,0.10307810924618943,0.0036771247256983572,0,0,2,1.65
Conflict in Jammu and Kashmir,Socio-political,IND002,India,IND,12.541,x,x,x,x,x,1,x,x,x,x,x,x
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,21.943,0,0.78,2.1,0,4.1,0.8839785682633042,0,0.03142247109535511,0.08459896064134069,0,4,4.05
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,39.905,3.063,2.233,0.38,0.146,4.1,0.8726409936801592,0.06698156530866628,0.04883115747118896,0.008309825274989613,0.0031927223424960093,3,3.55
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,35.276,2.8,2.15,0.225,0.125,4,0.8693809148264984,0.06900630914826499,0.05298698738170347,0.005545149842271294,0.0030806388012618296,3,3.5
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,4.63,0.031,0.315,0.155,0.021,2.8,0.8983313930927435,0.006014745828482732,0.06111757857974389,0.030073729142413658,0.004074505238649592,3,2.9
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,6.404,0,0.245,0,0,2.3,0.9630075187969925,0,0.03684210526315789,0,0,1,1.65
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,6.869,1.062,0.622,0.155,0,3.2,0.7888148828663298,0.1219568213137345,0.07142857142857142,0.017799724391364263,0,3,3.1
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,0,11.999,3.711,1.212,0,4.5,0,0.7090769412598984,0.21930031911121617,0.07162273962888548,0,4,4.25
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,0.559,0,0.555,0,0,2.9,0.5017953321364452,0,0.4982046678635548,0,0,3,2.95
Drought in Kenya,Drought,KEN003,Kenya,KEN,0,12.479,3.143,1.212,0,4.4,0,0.7412973743614114,0.18670547701081144,0.07199714862777712,0,4,4.2
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,0.523,4.715,0.781,0.704,0.046,3.6,0.07726399763628305,0.6965578371989954,0.11537893337272861,0.10400354557541734,0.006795686216575565,4,3.8
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,0.523,3.035,1.89,1.275,0.046,4.2,0.07726399763628305,0.44836755798493133,0.2792140641158221,0.18835869404638794,0.006795686216575565,4,4.1
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,0,5.825,1.008,0.024,0,3.4,0,0.8496207701283547,0.147024504084014,0.003500583430571762,0,3,3.2
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,6.128,0,0.729,0,0,3.1,0.8938156359393232,0,0.10633022170361726,0,0,3,3.05
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,0,15.156,3.6,3.382,0.018,4.7,0,0.6840584943130529,0.16248420292471566,0.15264488174760787,0.0008124210146235783,4,4.35
Food security crisis in Lesotho,Food Security,LSO003,Lesotho,LSO,0.655,0.511,0.319,0,0,2.5,0.44107744107744107,0.3441077441077441,0.21481481481481482,0,0,3,2.75
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,37.639,0,0.021,0,0,0.5,0.9994423791821562,0,0.0005576208178438662,0,0,1,0.75
DIsplacement from Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,0.11,0,0.102,0,0,1.7,0.5188679245283019,0,0.4811320754716981,0,0,3,2.35
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,1.535,2.47,1.973,0.252,0,3.9,0.2463884430176565,0.39646869983948635,0.3166934189406099,0.04044943820224719,0,3,3.45
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,117.806,0.508,0.099,0,0,1.7,0.9948654719881095,0.0042900332730927086,0.0008360497914097995,0,0,1,1.35
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,118.035,0.379,x,x,x,x,0.9967993649399565,0.003200635060043576,x,x,x,x,x
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,113.933,0.129,0.099,0,0,1.7,0.9979940785900737,0.0011299731959846535,0.0008671887318021759,0,0,1,1.35
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,8.8,4.1,6.8,1.8,0.2,4.9,0.4055299539170507,0.1889400921658986,0.31336405529953915,0.08294930875576037,0.009216589861751152,4,4.45
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,1.1,37.338,12.849,4.457,0,5,0.019733065442020668,0.6698119977037887,0.23050014351320322,0.07995479334098737,0,4,4.5
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,0,1.8,0.434,1.238,0,3.7,0,0.5184331797235023,0.125,0.3565668202764977,0,4,3.85
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,0,3.4,1.165,0.308,0,3.6,0,0.697722142417402,0.2390724399753745,0.06320541760722348,0,4,3.8
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,1.1,32.138,11.25,2.911,0,5,0.023207240659085634,0.6780311820924492,0.23734677946792127,0.061414797780543894,0,4,4.5
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,17.13,8.941,2.297,0,0,3.9,0.6038494077834179,0.3151790750141004,0.08097151720248166,0,0,3,3.45
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,0,8.702,1.6,0,0,3.7,0,0.84469035138808,0.15530964861192,0,0,3,3.35
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,0,1.415,0.098,0,0,1.7,0,0.9352280237937872,0.06477197620621282,0,0,3,2.35
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,2.578,1.099,0.588,0.106,0,3.1,0.5897963852665294,0.2514298787462823,0.13452299245024021,0.024250743536948068,0,3,3.05
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,8.452,6.946,4.502,0,0,4.4,0.4247236180904523,0.34904522613065325,0.22623115577889447,0,0,3,3.7
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,0,9.907,0.183,0,0,2.1,0,0.9818632309217047,0.018136769078295343,0,0,2,2.05
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,0.964,0.836,0.632,0.119,0,3.1,0.377891023128185,0.32771462171697374,0.24774598196785574,0.046648373186985496,0,3,3.05
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,21.68,0.85,2.03,1.44,0,4.2,0.8338461538461538,0.032692307692307694,0.07807692307692307,0.055384615384615386,0,4,4.1
Boko Haram in Niger,Conflict,NER002,Niger,NER,0,0.048,0.589,0.014,0.003,3,0,0.0732824427480916,0.899236641221374,0.021374045801526718,0.004580152671755725,3,3
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.64,0.45,1.599,0.304,0.057,3.8,0.6016528925619835,0.0743801652892562,0.264297520661157,0.05024793388429752,0.009421487603305785,4,3.9
Nigerian Refugees,Displacement,NER004,Niger,NER,3.402,0.368,0.551,0.032,0.006,3,0.7804542326221611,0.08442303280568937,0.1264051387933012,0.00734113328745125,0.0013764624913971094,3,3
Complex crisis in Nigeria,"Conflict,Displacement,Violence",NGA001,Nigeria,NGA,193.667,7.651,14.766,4.389,0,5,0.8784159511595524,0.034702662003964206,0.0669741873154536,0.019907199521029786,0,3,4
