,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,38.924,2.8,2.4,0.244,0.128,4.1,0.8747752606975908,0.06292700467457749,0.05393743257820928,0.00548363897878461,0.002876663070837828,3,3.55
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,38.382,2.8,2.15,0.225,0.125,4,0.8786685591319079,0.06409962913785999,0.04921935808799963,0.005150863055720892,0.0028615905865116064,3,3.5
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,5.418,0.416,0.25,0.019,0.003,2.4,0.8873239436619719,0.0681297084834589,0.04094333442515558,0.0031116934163118244,0.000491320013101867,2,2.2
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,6.4,0,0.311,0,0,2.5,0.953658173148562,0,0.04634182685143794,0,0,1,1.75
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,6.869,0,1.443,0.303,0.092,3.8,0.7888148828663298,0,0.16570969223702342,0.034795590261828206,0.010564997703261369,3,3.4
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,0.559,23.134,4.802,1.225,0,4.6,0.019169438633791707,0.7933198449984569,0.16467199341586367,0.0420081615856795,0,3,3.8
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,0.559,0,0.589,0,0,3,0.48693379790940766,0,0.5130662020905923,0,0,3,3
Drought in Kenya,Drought,KEN003,Kenya,KEN,0,23.134,4.214,1.225,0,4.6,0,0.8096738065238696,0.1474870502589948,0.04287414251714966,0,3,3.8
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,0,4.2,0.685,0.815,0,3.6,0,0.7368421052631579,0.12017543859649123,0.14298245614035088,0,4,3.8
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,0,1.8,3.546,0.354,0,4.3,0,0.3157894736842105,0.6221052631578947,0.06210526315789474,0,4,4.15
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,0,6.581,0.279,0.024,0,2.5,0,0.9559848925043579,0.0405287623474724,0.003486345148169669,0,2,2.25
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,6.133,0.558,0.193,0,0,2.1,0.8909064497385241,0.0810575246949448,0.028036025566531085,0,0,2,2.05
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,0,15.156,3.6,3.382,0.018,4.7,0,0.6840584943130529,0.16248420292471566,0.15264488174760787,0.0008124210146235783,4,4.35
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,37.799,0,0.019,0,0,0.5,0.9994975937384314,0,0.0005024062615685653,0,0,1,0.75
DIsplacement from Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,0.11,0,0.111,0,0,1.7,0.5,0,0.5045454545454545,0,0,3,2.35
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,0,4.597,3.84,0.05,0,4.3,0,0.541651938258513,0.4524566984800283,0.005891363261458701,0,3,3.65
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,1.923,2.772,1.485,0.05,0,3.6,0.3086677367576244,0.4449438202247191,0.23836276083467095,0.008025682182985553,0,3,3.3
Tropical cyclone Freddy in Madagascar,Cyclone,MDG008,Madagascar,MDG,0,6.132,2.355,0,0,4,0,0.7225167903852951,0.27748320961470485,0,0,3,3.5
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,117.806,0.498,0.109,0,0,1.7,0.9948654719881095,0.004205583799212931,0.0009204992652895773,0,0,1,1.35
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,118.035,0.379,x,x,x,x,0.9967993649399565,0.003200635060043576,x,x,x,x,x
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,113.952,0.119,0.109,0,0,1.7,0.9979944123803435,0.0010422049202581866,0.000954624674858339,0,0,1,1.35
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,8.8,4.1,6.8,1.8,0.2,4.9,0.4055299539170507,0.1889400921658986,0.31336405529953915,0.08294930875576037,0.009216589861751152,4,4.45
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,1.1,36.838,13.349,4.457,0,5,0.019733065442020668,0.6608424225028703,0.2394697187141217,0.07995479334098737,0,4,4.5
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,0,1.8,0.434,1.238,0,3.7,0,0.5184331797235023,0.125,0.3565668202764977,0,4,3.85
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,0,3.4,1.165,0.308,0,3.6,0,0.697722142417402,0.2390724399753745,0.06320541760722348,0,4,3.8
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,1.1,32.138,11.25,2.911,0,5,0.023207240659085634,0.6780311820924492,0.23734677946792127,0.061414797780543894,0,4,4.5
Cyclone Mocha in Myanmar,"Cyclone,Floods",MMR005,Myanmar,MMR,10.143,0,0.5,0,0,2.8,0.9530207648219488,0,0.046979235178051304,0,0,1,1.9
Multiple crises in Mongolia,"Other seasonal event,Floods",MNG001,Mongolia,MNG,1.522,0.592,0.171,0.053,0,2.3,0.6512623020967052,0.25331621737270005,0.07317073170731707,0.02267864783910997,0,3,2.65
Dzud in Mongolia,Other seasonal event,MNG002,Mongolia,MNG,0.184,0.475,0.16,0.053,0,2.2,0.21125143513203215,0.5453501722158438,0.18369690011481057,0.060849598163030996,0,4,3.1
Floods in Ulaanbaatar,Floods,MNG003,Mongolia,MNG,1.338,0.117,0.011,0,0,0.1,0.91268758526603,0.07980900409276943,0.007503410641200546,0,0,2,1.05
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,20.909,10.724,2.092,0,0,3.9,0.6199851742031134,0.31798369162342477,0.06203113417346182,0,0,3,3.45
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,0,9.584,2,0,0,3.8,0,0.8273480662983426,0.17265193370165746,0,0,3,3.4
Floods in Maputo province in Mozambique,Floods,MOZ009,Mozambique,MOZ,3.309,0.015,0.017,0,0,0.4,0.9901256732495511,0.004488330341113106,0.005086774386594853,0,0,1,0.7
Tropical Cyclone Freddy in Mozambique,Cyclone,MOZ010,Mozambique,MOZ,16.825,1.125,0.075,0,0,1.5,0.9334257975034674,0.06241331484049931,0.004160887656033287,0,0,2,1.75
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,0,1.926,0.098,0,0,1.7,0,0.9515810276679841,0.04841897233201581,0,0,2,1.85
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,2.248,0.823,0.444,0.028,0,2.8,0.6344905447360993,0.2322890206040079,0.12531752751905165,0.007902907140841095,0,3,2.9
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,8.511,6.869,5.9,0,0,4.6,0.399953007518797,0.32279135338345866,0.27725563909774437,0,0,3,3.8
Tropical Cyclone Freddy in Malawi,Cyclone,MWI005,Malawi,MWI,5.484,0.63,1.637,0,0,3.7,0.7075216101148238,0.08127983486001807,0.21119855502515805,0,0,3,3.35
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,0,9.909,0.182,0,0,2.1,0,0.9820614469772051,0.018037661050545096,0,0,2,2.05
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,1.501,0.856,0.234,0.006,0,2.3,0.5779745860608394,0.32961108971890646,0.09010396611474779,0.0023103581055063534,0,3,2.65
