,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
NGA007,1,1,1,1,1,1,1,1,1,1,1019,140,140,140,140,140,140,140,140,140,116.7,,
NGA008,1,1,1,1,67,1,1,1,1,1,975,140,140,140,140,140,140,140,140,140,118.9,,
NIC001,3,3,3,3,3,3,3,3,3,3,3,156,156,156,156,156,156,156,156,156,18.3,,
PAK001,276,263,25,4,4,25,25,25,25,25,1331,144,144,144,144,144,144,144,144,144,163.3,,
PAK004,34,34,276,276,177,276,276,276,276,276,1311,137,137,137,137,137,137,137,137,137,355.7,,
PAK005,30,30,30,4,4,30,30,30,30,64,64,64,64,64,64,64,64,64,64,64,35,,
PAN002,3,3,3,3,3,3,3,3,3,3,3,156,156,156,156,156,156,156,156,156,18.3,,
PER002,30,30,30,30,30,30,30,30,30,30,30,151,151,151,151,151,151,151,151,151,42.1,,
PHL001,12,12,12,12,12,12,12,12,11,11,285,11,11,11,11,11,11,11,11,11,39,,
PHL003,1036,431,36,36,12,36,576,36,576,576,1036,137,137,137,137,137,137,137,137,137,305.7,,
PHL010,250,285,36,68,68,36,36,285,285,285,285,137,137,137,137,137,137,137,137,137,152.1,,
PHL011,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,
PNG003,12,12,12,12,12,12,11,12,12,11,12,11,11,11,11,11,11,11,11,11,11.7,,
POL002,61,3,3,3,3,3,3,3,3,3,61,141,141,141,141,141,141,141,141,141,22.6,,
PRK001,556,556,556,470,8,914,914,914,914,914,1341,137,137,137,137,137,137,137,137,137,708.2,,
PSE002,254,254,254,254,3,178,178,178,178,178,1331,144,144,144,144,144,144,144,144,144,287.6,,
REG001,855,31,31,31,31,31,31,31,31,31,1248,158,158,158,158,158,158,158,158,158,165.4,,
REG002,32,32,32,32,32,32,32,32,32,200,32,140,140,140,140,140,140,140,140,140,59.6,,
REG003,34,34,724,1047,3,1047,1254,1254,1254,1254,1254,137,137,137,137,137,137,137,137,137,922.8,,
