,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
MYS001,34,34,34,3,3,34,3,3,34,34,34,13,13,13,13,13,13,13,13,13,19.5,,
NAM002,30,30,30,1605,30,30,30,30,30,30,1085,17,17,17,17,17,17,17,17,17,291.7,,
NER001,37,37,37,0,0,37,37,37,37,37,0,7,7,7,7,7,7,7,7,7,22.9,,
NER002,37,37,37,0,0,37,37,37,37,37,0,7,7,7,7,7,7,7,7,7,22.9,,
NER003,37,37,37,0,0,37,37,37,37,37,0,7,7,7,7,7,7,7,7,7,22.9,,
NER004,37,37,37,0,0,37,37,37,37,37,0,7,7,7,7,7,7,7,7,7,22.9,,
NGA001,3,3,3,3,72,3,3,3,3,3,3,18,18,18,18,18,18,18,18,18,11.4,,
NGA003,3,3,3,3,3,3,3,3,3,3,3,18,18,18,18,18,18,18,18,18,4.5,,
NGA004,3,3,3,3,3,3,3,3,3,3,3,18,18,18,18,18,18,18,18,18,4.5,,
NGA007,3,3,3,3,3,3,3,3,3,3,3,18,18,18,18,18,18,18,18,18,4.5,,
NGA008,3,3,3,3,3,3,3,3,3,3,3,18,18,18,18,18,18,18,18,18,4.5,,
NIC001,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,9.3,,
NPL003,3,3,3,3,3,3,3,3,3,3,3,13,13,13,13,13,13,13,13,13,4,,
PAK001,34,7,7,34,7,7,7,7,7,7,1970,14,14,14,14,14,14,14,14,14,206.7,,
PAK004,34,34,61,61,7,61,61,61,61,61,1950,14,14,14,14,14,14,14,14,14,239.8,,
PAK005,61,61,61,61,61,61,61,61,61,61,703,10,10,10,10,10,216,10,10,10,120.1,,
PAN002,32,32,32,32,32,32,32,32,32,32,32,12,12,12,12,12,12,12,12,12,30,,
PER002,61,61,61,61,61,61,61,61,61,61,61,12,12,12,12,12,12,12,12,12,56.1,,
PHL003,34,34,3,3,3,3,34,3,34,34,34,13,13,13,13,13,13,13,13,13,16.4,,
PNG003,34,34,34,34,3,34,34,34,34,34,34,13,13,13,13,13,13,13,13,13,28.8,,
POL002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
PRK001,1195,305,305,98,7,305,305,427,488,488,1980,12,12,12,12,12,12,12,12,12,441.5,,
PSE002,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,1.8,,
PSE003,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,1.8,,
PSE004,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,1.8,,
REG001,360,360,360,0,0,360,360,360,360,360,0,7,7,7,7,214,214,7,7,7,216.7,,
REG002,671,671,671,671,671,671,671,671,671,839,671,12,12,12,12,12,12,12,12,12,621.9,,
REG004,0,0,0,0,0,0,0,0,0,0,1867,11,11,11,11,11,11,11,11,11,187.8,,
REG006,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,1.1,,
REG007,3,3,3,31,3,3,3,3,3,3,672,13,13,13,13,13,13,13,13,13,73.7,,
REG008,3,3,3,3,3,3,3,3,3,3,672,13,13,13,13,13,13,13,13,13,70.9,,
REG011,33,3,3,3,3,3,3,3,3,3,3,13,13,13,13,13,13,13,13,13,4,,
REG012,30,30,30,30,30,30,30,30,30,30,30,11,11,11,11,11,11,11,11,11,28.1,,
REG013,7,7,7,7,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,2.5,,
REG014,3,3,3,3,3,3,3,3,3,3,851,12,12,12,12,12,12,12,12,12,88.7,,
REG015,368,368,368,213,213,213,213,213,213,213,368,11,11,11,11,11,11,11,11,11,223.8,,
ROU002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
RUS002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
RWA002,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,3.7,,
SDN001,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,1.7,,
SDN005,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,17,17,17,1.7,,
SEN002,0,0,0,604,669,0,0,0,0,0,604,214,214,214,214,214,214,214,214,214,209.1,,
SLV001,72,72,72,72,72,72,72,72,72,72,72,12,12,12,12,12,12,12,12,12,66,,
SOM001,3,3,3,3,73,3,3,3,3,3,3,18,18,18,18,17,18,18,18,18,11.5,,
SOM002,3,3,3,3,3,3,3,3,3,3,3,18,18,18,18,18,18,18,18,18,4.5,,
SSD001,3,3,3,3,3,3,3,3,3,3,3,18,18,18,18,18,18,18,18,18,4.5,,
SVK002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
SWZ001,30,30,30,30,30,30,30,30,30,30,30,17,17,17,17,17,17,17,17,17,28.7,,
SYR001,36,36,36,36,0,36,36,36,36,36,72,13,13,13,13,13,13,13,13,13,33.7,,
SYR002,72,72,72,72,72,72,72,72,72,72,36,13,13,13,13,13,13,13,13,13,62.5,,
TCD001,73,44,44,0,0,44,44,44,44,44,0,7,7,7,7,7,7,7,7,7,27.1,,
TCD003,361,44,44,0,0,44,44,44,44,44,0,7,7,7,7,7,7,7,7,7,27.1,,
TCD004,361,44,44,0,0,44,44,44,44,44,0,7,7,7,7,7,7,214,7,7,27.1,,
TCD005,361,44,44,0,0,44,44,44,44,44,0,7,7,214,7,7,7,214,7,7,27.1,,
TGO002,80,80,80,79,79,79,79,79,79,79,79,7,7,7,7,7,7,7,7,7,71.9,,
THA003,34,3,3,3,3,3,3,3,3,3,3,13,13,13,13,13,13,13,13,13,4,,
TLS003,3,3,3,3,3,3,3,3,3,3,3,13,13,13,13,13,13,13,13,13,4,,
TTO002,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,10.2,,
TUN002,700,1,1,30,1,1,1,1,1,1,700,20,20,20,20,20,20,20,20,20,75.7,,
TUR001,36,36,36,36,0,36,36,36,36,36,36,11,11,11,11,11,11,11,11,11,29.9,,
TUR002,36,36,36,36,36,36,36,36,36,36,36,11,11,11,11,11,11,11,11,11,33.5,,
TUR003,36,36,36,36,0,36,36,36,36,36,36,11,11,11,11,11,11,11,11,11,29.9,,
TUR004,36,36,36,36,0,274,274,274,274,274,61,11,11,11,11,11,11,11,11,11,151.4,,
TUR005,36,36,36,36,36,36,36,36,36,34,34,11,11,11,11,11,11,11,11,11,33.1,,
TZA001,30,30,30,30,30,30,30,30,30,30,427,16,16,16,16,16,16,16,16,16,68.3,,
TZA002,30,30,30,30,30,30,30,30,30,30,427,16,16,16,16,16,16,16,16,16,68.3,,
TZA003,30,30,30,838,30,30,30,30,30,30,838,16,16,16,16,16,16,16,16,16,190.2,,
UGA005,3,3,3,3,1486,3,3,3,3,3,3,16,16,16,16,16,16,16,16,16,152.6,,
UKR002,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,3.9,,
VEN001,71,71,71,71,71,71,71,71,71,71,71,12,12,12,12,12,12,12,12,12,65.1,,
YEM001,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,2,,
YEM002,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,2,,
ZMB002,30,30,30,30,30,30,30,30,30,30,1022,18,18,18,18,18,18,18,18,18,128,,
ZWE001,30,30,30,30,30,30,30,30,30,30,813,17,17,17,17,17,17,17,17,17,107,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,MIN,1.1
,,,,,,,,,,,,,,,,,,,,,,MAX,621.9
