Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,1000000,29225000,18770000,1735000,x,x,1227,#N/A,#N/A,#N/A,x,10455000,10296000,6497000,1977000,0,4,#N/A,#N/A,1,2,2,0,3,2,3,3,3
Flood Crisis in Ethiopia,Flood,ETH002,Ethiopia,ETH,742878,61952000,1018000,294000,x,x,12,#N/A,#N/A,#N/A,x,61221000,221000,401000,0,0,3,#N/A,#N/A,x,x,x,x,x,x,x,x,2
International Displacement,International displacement,ETH003,Ethiopia,ETH,907050,72381000,769000,769000,x,x,x,#N/A,#N/A,#N/A,x,71612000,0,769000,0,0,3,#N/A,#N/A,2,1,2,0,2,2,1,3,x
Crisis in Tigray,Conflict,ETH004,Ethiopia,ETH,50079,5156000,5156000,282000,x,#N/A,x,#N/A,#N/A,#N/A,#N/A,0,0,5126000,0,30000,4,#N/A,#N/A,2,2,3,3,2,0,3,3,3
Tropical cyclone Yasa in Fiji,Tropical cyclone,FJI002,Fiji,FJI,18274,890000,93000,1000,x,x,4,#N/A,#N/A,#N/A,5300000,797000,80000,13000,0,0,2,#N/A,#N/A,1,1,0,0,0,0,0,0,2
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,3364.07,334000,120000,120000,0,x,22,#N/A,#N/A,#N/A,x,214000,101000,20000,0,0,2,#N/A,#N/A,0,0,1,0,0,2,0,0,0
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,107160,14900000,5500000,242000,x,1678,1876,#N/A,#N/A,#N/A,x,4931000,6669000,2872000,428000,0,3,#N/A,#N/A,0,1,0,1,0,2,0,0,1
Hurricane Eta and Iota in Guatemala,Tropical cyclone,GTM003,Guatemala,GTM,108889,14900000,2439000,210000,30,x,61,#N/A,#N/A,#N/A,x,7101000,639000,1800000,0,0,3,#N/A,#N/A,0,0,0,0,0,0,1,0,3
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,111890,9158000,2700000,247000,75122,7103,1882,#N/A,#N/A,#N/A,12965,6458000,1400000,950000,350000,0,3,#N/A,#N/A,0,2,1,1,0,2,1,0,0
Hurricane Eta and Iota in Honduras,Tropical cyclone,HND002,Honduras,HND,112490,9158000,4700000,96000,x,x,98,#N/A,#N/A,#N/A,x,2790000,1900000,2800000,0,0,3,#N/A,#N/A,0,2,0,1,2,0,3,0,2
