,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human,,,
Mixed migration flows in Greece,International displacement,GRC002,Greece,GRC,0.9,0.02609829325058185,0,0.45,0,0.03800605893693197,0.1,0.05,0.3,1.2,0.4082125603864734,2,1.6,3.2,1,5,4.1,2,0.00014201183431952663,5,3.5,3.8,2.9,,,
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,3.4,1.0161347517730497,5,4.2,4.1,1,5,4.55,4.4,3.8,0.3333333333333333,1.6,2.7,3.4,0.04245614035087719,1.4,2.4,5,0.000519298245614035,5,5,4.1,3.5,,,
Complex crisis in Honduras,Complex crisis,HND001,Honduras,HND,3.4,1.0000893734918224,5,4.2,3.2,1,5,4.1,4.2,3.5,0.425531914893617,2.1,2.8,3.4,0.06125,2,2.7,4.7,0.00047725,5,4.9,4.1,3.5,,,
Complex crisis in Haiti,Complex crisis,HTI001,Haiti,HTI,2.4,0.9857039187227866,4.9,3.6500000000000004,3.5,1,5,4.25,4,4,0.6914112681225913,3.4,3.7,3.2,0.023888520238885203,0.8,2,4.8,0.00029303251493032514,5,4.9,3.9,3.8,,,
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,1.8,0.46629172714078376,2.3,2.05,2.7,0.5899247568361167,2.9,2.8,2.4,2.3,0.1244361487011977,0.6,1.45,3.1,0.2,5,4.1,4.8,0.00273625,5,4.9,4.5,3.4,,,
Papua Conflict,Conflict,IDN002,Indonesia,IDN,4.4,0.2296681883669966,1.1,2.75,1.9,0.015122761986913804,0,0.95,1.9,3.4,1,5,4.2,2.5,0.01669449081803005,0.6,1.6,3.3,5.62047857540345e-05,2.8,3.1,2.4,3.4,,,
Conflict in Jammu and Kashmir,Conflict,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.7,0.009265470772504286,0,1.85,2,x,x,x,x,x,x,x,x,4.6,x,x,4.6,4.6,4.6,,,
Afghan Refugees in Iran,International displacement,IRN004,Iran,IRN,4,0.1470818291215403,0.6,2.3,4.6,0.29933916986228687,1.5,3.05,2.7,3.4,0.13696974580026589,0.6,2,5,1,5,5,0,0,0,0,3.5,2.8,,,
Multiple crises in Iraq,Multiple crises country,IRQ001,Iraq,IRQ,4.4,1.0016853748388286,5,4.7,5,0.9773015438927977,4.9,4.95,4.8,3.8,0.1559399643856525,0.7,2.25,5,1.3831973898858074,5,5,4.5,0.00023915171288743883,5,4.8,4.9,3.9,,,
Conflict  in Iraq,Conflict,IRQ002,Iraq,IRQ,4.4,1.0016853932584269,5,4.7,2.6,0.15240036794868608,0.7,1.65,3.6,3.8,0.9502446982055465,4.7,4.25,5,1.4127038626609443,5,5,4.5,0.0002516738197424893,5,4.8,4.9,4.6,,,
Syrian and Palestinian refugees in iraq,International displacement,IRQ003,Iraq,IRQ,2.7,0.09357846748940873,0.4,1.55,2.4,0.12786216841110806,0.6,1.5,1.5,2,0.09371961889947501,0.4,1.2,3.4,0.5186721991701245,5,4.2,0,0,0,0,2.7,2,,,
Mixed migration flows in Italy,International displacement,ITA002,Italy,ITA,2.7,0.1395729924525736,0.6,1.6500000000000001,2.8,0.10906319506011541,0.5,1.65,1.7,1.4,0.02966343411294923,0.1,0.75,3.3,1,5,4.2,4.1,0.0033461538461538464,5,4.6,4.4,3.1,,,
