,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
DJI001,0,0,0,0,0,0,0,0,0,0,429,66,66,66,66,66,66,66,66,66,49.5,,
DJI002,0,0,0,0,0,0,0,0,0,0,429,66,66,66,66,66,66,66,66,66,49.5,,
DJI003,0,0,0,0,0,0,0,0,0,0,429,66,66,66,66,66,66,66,66,66,49.5,,
DOM002,280,34,34,34,280,34,34,34,34,34,280,65,65,65,65,65,65,65,65,65,86.3,,
DZA002,215,3,3,3,3,3,3,3,3,3,549,71,71,71,71,71,71,71,71,71,64.4,,
DZA003,215,215,215,525,3,3,3,3,3,3,549,71,71,71,71,71,71,71,71,71,137.8,,
DZA004,215,3,3,215,3,3,3,3,3,3,626,71,71,71,71,71,71,71,71,71,93.3,,
ECU002,123,123,123,33,62,123,123,123,123,123,123,64,64,64,64,64,64,64,64,64,102,,
EGY004,189,3,3,3,3,3,3,3,3,3,189,71,71,71,71,71,71,71,71,71,28.4,,
ERI001,1,1,196,1,1,1,1,1,1,1,623,65,65,65,65,65,65,65,65,65,89.1,,
ESP002,549,2,2,2,2,2,2,2,2,2,549,79,79,79,79,79,79,79,79,79,64.4,,
EST002,1,1,1,1,1,1,1,1,1,1,1,84,84,84,84,84,84,84,84,84,9.3,,
ETH001,0,0,0,0,0,0,0,0,0,0,586,68,68,68,68,68,68,68,68,68,65.4,,
ETH003,0,0,0,0,407,0,0,0,0,0,959,68,68,68,68,68,68,68,68,68,143.4,,
ETH004,0,0,0,0,0,0,0,0,0,0,808,68,68,68,68,68,68,68,68,68,87.6,,
ETH005,0,0,0,0,407,0,0,0,0,0,722,68,68,68,68,68,68,68,68,68,119.7,,
GRC002,123,0,0,0,0,0,0,0,0,0,1821,65,65,65,65,65,65,65,65,65,188.6,,
GTM001,0,0,0,0,0,0,0,0,0,0,0,70,70,70,70,70,70,70,70,70,7,,
HND001,0,0,0,0,0,0,0,0,0,0,0,65,65,65,65,65,65,65,65,65,6.5,,
HTI001,0,0,0,0,0,0,0,0,0,0,0,65,65,65,65,65,65,65,65,65,6.5,,
HTI002,265,265,265,265,265,123,123,123,265,265,265,65,65,65,65,65,65,65,65,65,202.4,,
HUN002,1,1,1,1,1,1,1,1,1,1,1,68,68,68,68,68,68,68,68,68,7.7,,
IDN002,35,35,35,35,5,35,35,35,35,35,35,65,65,65,65,65,65,65,65,65,35,,
IND002,1099,246,1099,219,0,244,1099,1099,1099,1099,1526,65,65,65,65,65,65,65,65,65,754.9,,
