,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,5,1,5,5,5,1.0048787958344272,5,5,5,1.9,0.009514271407110666,0,0.95,3.5,0.6018306636155606,5,4.3,2.2,8.009153318077803e-05,4,3.1,3.8,2.6
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,4,1,5,4.5,4.2,1,5,4.6,4.6,4,0.4217543469807233,2.1,3.05,3.8,0.06256585879873551,2.1,3,0,0,0,0,1.7,2.4
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,3.9,0.1269407120222352,0.6,2.25,2.1,1.7,0.024545010808172372,0.1,0.9,3.6,1,5,4.3,0,0,0,0,2.8,2
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,3.3,1,5,4.15,1.9,1,5,3.45,3.8,2.6,0.29263101888800214,1.4,2,3.6,0.30363636363636365,5,4.3,x,x,x,x,4.3,3.4
Mixed migration flows in Spain,Displacement,ESP002,Spain,ESP,3.3,0.1999160352651886,0.9,2.1,3.6,0.2567297371245764,1.2,2.4,2.3,1.3,0.014756517461878997,0,0.65,3.2,1,5,4.1,3.2,0.0010333333333333334,5,4.1,4.1,2.8
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,5,1.128571,5,5,5,1,5,5,5,5,0.6778034126790397,3.4,4.2,5,0.04957074315454408,1.7,3.4,4.2,9.781712148142985e-06,0.5,2.4,2.9,3.6
International Displacement,Displacement,ETH003,Ethiopia,ETH,5,1.128571,5,5,5,1,5,5,5,5,0.3305511153806783,1.6,3.3,4.2,0.022463612758760333,0.7,2.5,x,x,x,x,2.5,2.9
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,4.1,0.299,1.4,2.75,5,0.2409505736355977,1.2,3.1,2.9,5,1,5,5,4.9,0.09519607843137255,3.2,4.1,4.2,2.7516339869281046e-05,1.4,2.8,3.5,4.4
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,4.8,0.7843,3.9,4.35,5,0.49135018937455216,2.4,3.7,4,4.8,0.38621794871794873,1.9,3.3499999999999996,3.7,0.017095435684647303,0.6,2.2,2,9.95850622406639e-07,0,1,1.6,2.6
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,1.7,0.07584173778122576,0.3,1,0,0.052805905176492855,0.2,0.1,0.6,1.2,0.3100358422939068,1.5,1.35,2.8,0.5491329479768786,5,3.9,3,0.000722543352601156,5,4,4,2.9
