,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
NER003,747,30,30,5,5,30,30,30,30,30,747,90,90,90,90,90,90,90,90,90,102.7
NER004,30,30,30,5,5,30,30,30,30,30,440,90,90,90,90,90,90,90,90,90,72
NGA001,606,3,3,30,30,3,3,3,3,3,606,94,94,94,94,94,94,94,94,94,77.8
NGA003,90,30,30,30,30,30,30,30,30,30,607,94,94,94,94,94,94,94,94,94,94.1
NGA004,608,3,3,30,30,3,3,3,3,3,608,94,94,94,94,94,94,94,94,94,78
NGA007,306,30,30,30,30,30,30,30,30,30,440,94,94,94,94,94,94,94,94,94,77.4
NGA008,415,90,90,90,90,90,90,90,90,90,396,94,94,94,94,94,94,94,94,94,121
NIC001,388,145,766,145,31,486,486,486,766,766,766,486,486,486,486,486,486,486,486,486,518.4
NIC002,90,90,31,90,90,31,31,90,90,90,90,90,90,90,90,90,90,90,90,90,72.3
PAK001,145,145,145,513,5,145,145,145,145,145,752,90,90,90,90,90,90,90,90,90,223
PAK004,650,650,732,396,5,459,732,732,732,732,732,90,90,90,90,90,90,90,90,90,534.2
PER002,388,388,31,31,145,31,30,30,30,30,744,485,90,485,485,485,90,485,485,485,158.7
PHL001,90,90,5,5,5,5,5,5,5,5,440,90,90,90,90,90,90,90,90,90,57
PHL003,457,457,31,31,5,31,31,31,31,31,457,90,90,90,90,90,90,90,90,90,76.9
PHL004,440,440,149,149,268,149,149,149,149,149,440,90,90,90,90,90,90,90,90,90,184.1
PHL009,5,5,5,5,5,5,5,5,5,5,5,90,90,90,90,90,90,90,90,90,13.5
PRK001,762,466,466,485,90,335,335,335,335,335,762,93,93,93,93,93,93,93,93,93,357.1
PSE002,1,1,1,1,1,1,1,1,1,1,752,93,93,93,93,93,93,93,93,93,85.3
REG001,276,30,30,30,30,30,30,30,30,30,669,94,94,94,94,94,94,94,94,94,100.3
REG002,388,31,31,31,457,31,31,31,31,31,670,485,485,485,485,485,485,485,485,485,182.9
REG003,468,468,145,468,5,468,675,675,675,675,675,90,90,90,90,90,90,90,90,90,455.1
REG004,0,0,0,0,90,0,0,0,0,0,649,93,93,93,93,93,93,93,93,93,83.2
REG006,652,652,652,652,73,652,652,652,652,652,652,90,90,90,90,90,90,90,90,90,537.9
REG007,674,674,674,674,73,674,674,674,674,674,674,90,90,90,90,90,90,90,90,90,555.5
REG008,674,674,674,674,73,674,674,674,674,674,674,90,90,90,90,90,90,90,90,90,555.5
REG011,335,5,5,5,5,5,5,5,5,5,20,90,90,90,90,90,90,90,90,90,15
REG012,30,30,30,90,90,30,30,30,30,30,381,94,94,94,94,94,94,94,94,94,83.5
REG013,95,32,32,32,116,116,116,116,116,116,116,95,95,95,95,95,95,95,95,95,97.1
RWA002,744,30,30,30,121,30,30,30,30,30,744,94,94,94,94,94,94,94,94,94,116.9
SDN001,387,3,3,3,3,3,3,3,3,3,387,91,91,91,91,91,91,91,91,91,50.2
SDN005,387,3,3,3,387,3,3,3,3,3,91,387,387,387,387,387,387,387,387,387,88.6
SDN006,145,135,31,145,115,135,135,135,135,135,191,191,191,191,191,191,191,191,191,191,134.8
SDN007,68,3,3,3,68,3,3,3,3,3,68,68,68,68,68,68,68,68,68,68,22.5
SEN002,146,30,30,444,766,30,30,30,30,30,766,90,90,90,90,90,90,90,90,90,224.6
SLV001,144,145,145,145,31,31,31,31,31,145,746,486,486,486,486,486,486,486,486,486,182.2
SOM001,496,387,387,219,115,91,91,91,91,91,759,91,91,91,91,91,91,91,91,91,202.6
SOM002,219,219,219,219,191,671,671,219,219,219,671,486,486,486,486,486,486,486,486,486,378.5
SOM004,219,219,219,219,219,219,219,219,304,304,304,304,304,304,304,304,304,304,304,304,253
SSD001,611,579,579,6,91,6,6,6,6,6,611,91,91,91,91,91,91,91,91,91,140.8
SWZ001,145,3,3,381,121,3,3,3,3,3,387,94,94,94,94,94,94,94,94,94,100.1
SYR001,1,1,1,1,1,1,1,1,1,1,760,93,93,93,93,93,93,93,93,93,86.1
TCD001,68,9,68,9,9,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,56.2
TCD003,744,9,9,9,9,136,136,136,136,136,744,94,94,94,94,94,94,94,94,94,154.5
TCD004,341,341,341,9,744,341,341,341,341,341,744,94,94,94,94,94,94,94,94,94,363.7
TCD005,341,341,341,9,9,341,341,341,341,341,744,94,94,94,94,94,94,94,94,94,290.2
TCD006,744,341,341,744,9,214,214,214,214,214,486,94,94,94,94,94,94,94,94,94,274.4
THA001,579,31,31,31,5,31,31,31,31,31,746,90,90,90,90,90,90,90,90,90,105.8
THA002,579,579,579,579,5,335,335,335,335,335,746,90,90,90,90,90,90,90,90,90,367.4
THA003,464,31,31,31,31,31,31,31,31,31,746,90,90,90,90,90,90,90,90,90,108.4
TTO002,731,457,702,702,91,145,388,388,388,388,457,91,91,91,91,91,91,91,91,91,374
TUN002,152,263,263,263,96,744,744,744,744,744,744,93,93,93,93,93,93,93,93,93,517.9
TUR001,744,744,1,1,1,1,1,1,1,1,744,94,94,94,94,94,94,94,94,94,84.6
TUR002,744,704,1,1,744,1,1,1,1,1,744,94,94,94,94,94,94,94,94,94,158.9
TUR003,744,744,1,1,1,1,1,1,1,1,744,94,94,94,94,94,94,94,94,94,84.6
TUR004,744,744,744,744,1,744,744,744,744,744,744,94,94,94,94,94,94,94,94,94,604.7
TZA002,585,30,30,30,585,30,30,30,30,30,760,94,94,94,94,94,94,94,94,94,164.9
UGA001,268,135,91,91,115,191,191,191,191,191,216,91,91,91,91,91,91,91,91,91,155.9
UGA005,457,268,91,91,268,191,191,191,191,191,216,457,457,457,457,457,457,457,457,457,207.8
UKR002,744,335,335,335,68,335,335,335,335,335,335,90,90,90,90,90,90,90,90,90,283.8
VEN001,144,31,31,31,388,31,31,31,115,115,611,485,485,485,485,485,485,485,485,485,186.9
VNM002,115,115,115,115,90,24,24,24,24,24,115,90,90,90,90,90,90,90,90,90,64.5
VUT002,305,305,305,241,319,305,305,305,305,305,319,319,319,319,319,319,319,319,319,319,302.8
YEM001,132,132,132,132,132,676,132,132,132,132,762,683,683,683,683,683,683,683,683,683,304.5
YEM002,132,132,132,132,132,676,676,236,236,676,732,683,683,683,683,683,683,683,683,683,431.1
ZMB002,73,73,73,548,121,73,73,73,73,73,746,94,94,94,94,94,94,94,94,94,194.7
ZWE001,145,30,30,396,30,30,30,30,30,30,94,94,94,94,94,94,94,94,94,94,79.4
0,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255
0,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255
0,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255
0,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255
0,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255
0,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255
0,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255,44255
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,MIN,6.8
,,,,,,,,,,,,,,,,,,,,MAX,690
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
