Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Type of crisis,First country,Website name,Crisis description,Related crisis,Starting date,Duration (days)
LSO002,,,Lesotho,Drought in Lesotho,LSO,Africa,Drought,Lesotho,Drought,,,,
MAR002,,,Morocco,Mixed migration flows in Morocco,MAR,Africa,International displacement,Morocco,Mixed Migration,,,,
MDG002,,,Madagascar,Drought in Madagascar,MDG,Africa,Drought,Madagascar,Drought,,,,
MEX001,,,Mexico,Multiple crisis in Mexico,MEX,Americas,Multiple crises country,Mexico,Country Level,,,,
MEX002,,,Mexico,Criminal Violence in Mexico,MEX,Americas,Other type of violence,Mexico,Criminal Violence,,,,
MEX003,,,Mexico,Mixed Migration in Mexico,MEX,Americas,International displacement,Mexico,Mixed Migration,,,,
MLI001,,,Mali,Complex crisis in Mali,MLI,Africa,Complex crisis,Mali,Complex crisis,,,,
MMR001,,,Myanmar,Multiple crises in Myanmar,MMR,Asia,Multiple crises country,Myanmar,Country level,,,,
MMR002,,,Myanmar,Rakhine Conflict,MMR,Asia,Conflict,Myanmar,Rakhine conflict,,,,
MMR003,,,Myanmar,Kachin and Shan Conflict,MMR,Asia,Conflict,Myanmar,Kachin and Shan conflict,,,,
MOZ001,,,Mozambique,Complex crisis in Mozambique,MOZ,Africa,Complex crisis,Mozambique,Complex crisis,,,,
MOZ004,,,Mozambique,Cabo Delgado Islamist Insurgency,MOZ,Africa,Other type of violence,Mozambique,Violent Insurgency in Cabo Delgado,,,,
MOZ006,,,Mozambique,Food Security Crisis in Mozambique,MOZ,Africa,Food Security,Mozambique,Food Security Crisis,,,,
MOZ007,,,Mozambique,Tropical Cyclone Eloise in Mozambique,MOZ,Africa,Tropical cyclone,Mozambique,Tropical Cyclone Eloise,,,,
MRT002,,,Mauritania,Refugees from Mali in Mauritania,MRT,Africa,International displacement,Mauritania,Malian refugees,,,,
MRT003,,,Mauritania,Food Security in Mauritania,MRT,Africa,Drought,Mauritania,Food security,,,,
MWI002,,,Malawi,Complex crisis in Malawi,MWI,Africa,Complex crisis,Malawi,Complex,,,,
MYS001,,,Malaysia,International Refugees in Malaysia,MYS,Asia,International displacement,Malaysia,International Refugees,,,,
NAM002,,,Namibia,Food Security Crisis in Namibia,NAM,Africa,Food Security,Namibia,Food Security Crisis,,,,
NER001,,,Niger,Multiple crises in Niger,NER,Africa,Multiple crises country,Niger,Country level,,,,
NER002,,,Niger,Boko Haram in Niger,NER,Africa,Conflict,Niger,Boko Haram,,,,
NER003,,,Niger,Mali/Burkina Faso conflict,NER,Africa,Conflict,Niger,Cross-border violence ,,,,
NER004,,,Niger,Nigerian Refugees,NER,Africa,International displacement,Niger,Nigerian Refugees,,,,
NGA001,,,Nigeria,Complex crisis in Nigeria,NGA,Africa,Complex crisis,Nigeria,Complex crisis,,,,
NGA003,,,Nigeria,Middle belt conflict,NGA,Africa,Conflict,Nigeria,Middle Belt,,,,
NGA004,,,Nigeria,Boko Haram crisis in Nigeria,NGA,Africa,Conflict,Nigeria,Boko Haram ,,,,
NGA007,,,Nigeria,Northwest Banditry,NGA,Africa,Other type of violence,Nigeria,Northwest Banditry,,,,
NGA008,,,Nigeria,Cameroonian Refugees in Nigeria,NGA,Africa,International displacement,Nigeria,Cameroonian Refugees,,,,
NIC001,,,Nicaragua,Socioeconomic crisis in Nicaragua,NIC,Americas,Political and economic crisis,Nicaragua,Socioeconomic crisis,,,,
NIC002,,,Nicaragua,Hurricane Eta and Iota in Nicaragua,NIC,Americas,Tropical cyclone,Nicaragua,Hurricane Eta and Iota,,,,
PAK001,,,Pakistan,Complex crisis in Pakistan,PAK,Asia,Complex crisis,Pakistan,Complex crisis,,,,
PAK004,,,Pakistan,Kashmir conflict in Pakistan,PAK,Asia,Conflict,Pakistan,Kashmir conflict,,,,
PER002,,,Peru,Venezuela displacement in Peru,PER,Americas,International displacement,Peru,Venezuelan refugees,,,,
PHL001,,,Philippines,Multiple crises in the Philippines,PHL,Asia,Multiple crises country,Philippines,Country level,,,,
PHL003,,,Philippines,Mindanao conflict,PHL,Asia,Conflict,Philippines,Mindanao Conflict,,,,
PHL004,,,Philippines,Mindanao Earthquake,PHL,Asia,Earthquake,Philippines,Mindanao Earthquake,,,,
PHL009,,,Philippines,Typhoon Goni (Rolly) and Typhoon Vamco (Ulysses),PHL,Asia,Tropical cyclone,Philippines,Typhoon Goni (Rolly) and Typhoon Vamco (Ulysses),,,,
PRK001,,,DPRK,Complex crisis in DPRK,PRK,Asia,Complex crisis,DPRK,Complex crisis,,,,
PSE002,,,Palestine,Conflict in Palestine,PSE,Middle east,Conflict,Palestine,Conflict,,,,
REG001,,,"Nigeria,Niger,Chad,Cameroon",Regional Boko Haram Crisis,"NGA,NER,TCD,CMR","Africa,Africa,Africa,Africa",Regional crisis,Nigeria,Regional Boko Haram,,,,
REG002,,,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago",Venezuela Regional Crisis,"VEN,BRA,COL,ECU,PER,TTO","Americas,Americas,Americas,Americas,Americas,Americas",Regional crisis,Venezuela,Venezuela Regional Crisis,,,,
REG003,,,"India,Pakistan",Regional Kashmir conflict,"IND,PAK","Asia,Asia",Regional crisis,India,Regional Kashmir conflict,,,,
REG004,,,"Syria,Turkey,Iraq,Egypt,Jordan,Lebanon",Syrian Regional Crisis,"SYR,TUR,IRQ,EGY,JOR,LBN","Middle east,Middle east,Middle east,Africa,Middle east,Middle east",Regional crisis,Syria,Syrian Regional Crisis,,,,
REG006,,,"Turkey,Greece",Eastern Mediterranean Route ,"TUR,GRC","Middle east,Europe",Regional crisis,Turkey,Eastern Mediterranean Route ,,,,
