Crisis,Crisis ID,Country,Indicator,Figure,Source and Date,Reliability,Reliability Score,Link,Justification,Helper,Date of entry,Type of entry
Syrian refugees in Jordan,JOR002,Jordan,People facing limited access constraints,x,,x,x,,No available data,JOR002People facing limited access constraints,2019-02-07,Humanitarian development
Syrian refugees in Jordan,JOR002,Jordan,People facing restricted access constraints,x,,x,x,,No available data,JOR002People facing restricted access constraints,2019-02-07,Humanitarian development
Complex crisis in Libya,LBY001,Libya,Buildings damaged,x,,x,x,,No data available,LBY001Buildings damaged,2019-02-07,Humanitarian development
Complex crisis in Libya,LBY001,Libya,Buildings destroyed,x,,x,x,,No data available,LBY001Buildings destroyed,2019-02-07,Humanitarian development
Complex crisis in Libya,LBY001,Libya,Economic Losses,x,,x,x,,No data available,LBY001Economic Losses,2019-02-07,Humanitarian development
Complex crisis in Libya,LBY001,Libya,Illness cases reported,x,,x,x,,No data available,LBY001Illness cases reported,2019-02-07,Humanitarian development
Mixed migration flows in Libya,LBY002,Libya,Buildings damaged,x,,x,x,,No data available,LBY002Buildings damaged,2019-02-07,Humanitarian development
Mixed migration flows in Libya,LBY002,Libya,Buildings destroyed,x,,x,x,,No data available,LBY002Buildings destroyed,2019-02-07,Humanitarian development
Mixed migration flows in Libya,LBY002,Libya,Economic Losses,x,,x,x,,No data available,LBY002Economic Losses,2019-02-07,Humanitarian development
Mixed migration flows in Libya,LBY002,Libya,Illness cases reported,x,,x,x,,No data available,LBY002Illness cases reported,2019-02-07,Humanitarian development
Mixed migration flows in Libya,LBY002,Libya,Injuries reported,x,,x,x,,No data available,LBY002Injuries reported,2019-02-07,Humanitarian development
Complex crisis in Pakistan,PAK001,Pakistan,Buildings damaged,x,x,x,x,x,No data on crisis related damages,PAK001Buildings damaged,2019-02-07,Humanitarian development
Complex crisis in Pakistan,PAK001,Pakistan,Buildings destroyed,x,x,x,x,x,No data on crisis related damages,PAK001Buildings destroyed,2019-02-07,Humanitarian development
Complex crisis in Pakistan,PAK001,Pakistan,Crisis affected groups,5,UNICEF 01/2019,High,1,,"Returnees, IDPs, Afghan refugees, host and non-host",PAK001Crisis affected groups,2019-02-07,Humanitarian development
Complex crisis in Pakistan,PAK001,Pakistan,Economic Losses,x,TheNews 05/26/2017,x,x,https://www.acleddata.com/,"In fiscal year 2017, $3.88 billion (Rs407.2 billion) losses to economy were recorded. There is no updated sources for 2018.",PAK001Economic Losses,2019-02-07,Humanitarian development
Conflict in Palestine,PSE002,Palestine,Buildings damaged,160000,Shelter cluster Nov 2018,Medium,2,"https://www.ochaopt.org/reports/protection-of-civilians,","The number of houses that experienced minro, major and severe damage during 2014 war.",PSE002Buildings damaged,2019-02-07,Humanitarian development
