,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
MDG006,3,3,3,3,3,3,3,3,3,3,3,109,109,109,109,109,109,109,109,109,13.6,,
MEX001,13,13,13,13,13,13,13,13,13,13,13,111,111,111,111,111,111,111,111,111,22.8,,
MEX002,12,12,12,12,12,12,12,12,12,12,12,111,111,111,111,111,111,111,111,111,21.9,,
MEX003,12,12,12,12,12,12,12,12,12,12,12,111,111,111,111,111,111,111,111,111,21.9,,
MLI001,0,63,0,63,0,63,63,63,63,63,0,128,128,128,128,128,128,128,128,128,50.6,,
MMR001,114,85,85,6,6,85,114,114,85,114,576,107,107,107,107,107,107,107,107,107,129.2,,
MMR002,114,85,85,6,6,85,85,220,85,220,576,107,107,107,107,107,107,107,107,107,147.5,,
MMR003,576,219,219,6,6,219,219,219,219,219,576,107,107,107,107,107,107,107,107,107,200.9,,
MMR004,114,85,114,6,6,85,114,114,114,114,434,107,107,107,107,107,107,107,107,107,120.8,,
MOZ001,212,212,131,35,35,131,131,131,131,131,159,110,110,110,110,110,110,110,110,110,112.5,,
MOZ004,551,412,212,35,35,159,159,159,159,159,412,110,110,110,110,110,110,110,110,110,159.9,,
MOZ008,159,159,131,131,131,131,131,131,131,131,159,110,110,110,110,110,110,110,110,110,131.7,,
MRT002,36,36,36,10,10,36,10,10,10,10,3,108,108,108,108,108,108,108,108,108,24.3,,
MRT003,702,36,36,735,10,36,36,36,36,36,3,108,108,108,108,108,108,108,108,108,107.2,,
MWI002,353,353,19,10,19,19,19,19,19,19,189,109,109,109,109,109,109,109,109,109,44.1,,
MWI004,212,212,1,10,1,57,9,9,9,9,212,109,109,109,109,109,109,109,109,109,42.6,,
MYS001,92,92,92,6,65,140,6,6,140,140,520,107,107,107,107,107,107,107,107,107,122.2,,
NAM002,416,247,247,936,10,247,247,247,247,247,416,109,109,109,109,109,109,109,109,109,295.3,,
NER001,0,62,62,0,0,62,62,62,62,62,0,128,128,128,128,128,128,128,128,128,50,,
NER002,1296,1,1,1,1,1,1,1,1,1,1,128,128,128,128,128,128,128,128,128,13.7,,
NER003,1296,1,1,1,1,1,1,1,1,1,1296,128,128,128,128,128,128,128,128,128,143.2,,
NER004,579,1,1,1,336,1,1,1,1,1,1,128,128,128,128,128,128,128,128,128,47.2,,
NGA001,1155,189,37,37,37,37,37,37,37,37,1155,108,108,108,108,108,108,108,108,108,155.9,,
NGA003,639,63,37,37,37,37,37,37,37,37,1156,108,108,108,108,108,108,108,108,108,156,,
NGA004,1157,63,63,37,37,63,63,63,63,63,1157,111,111,111,111,111,111,111,111,111,172,,
NGA007,855,65,37,37,37,37,37,37,37,37,989,110,110,110,110,110,110,110,110,110,139.5,,
NGA008,428,65,37,37,37,37,37,37,37,37,945,110,110,110,110,110,110,110,110,110,135.1,,
NIC001,11,36,11,11,11,36,11,11,11,11,11,126,126,126,126,126,126,126,126,126,25,,
PAK001,246,233,233,0,0,233,233,233,233,233,1301,114,114,114,114,114,114,114,114,114,281.3,,
PAK004,4,4,246,246,147,246,246,246,246,246,1281,107,107,107,107,107,107,107,107,107,325.7,,
PAK005,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,34,34,34,34,10.2,,
PAN002,11,11,11,11,11,11,11,11,11,11,11,126,126,126,126,126,126,126,126,126,22.5,,
PER002,0,0,0,0,0,0,0,0,0,0,0,121,121,121,121,121,121,121,121,121,12.1,,
PHL001,220,255,6,6,6,6,6,6,255,255,255,107,107,107,107,107,107,107,107,107,90.8,,
PHL003,1006,401,6,6,6,6,546,6,546,546,1006,107,107,107,107,107,107,107,107,107,278.1,,
PHL010,220,255,6,38,38,6,6,255,255,255,255,107,107,107,107,107,107,107,107,107,122.1,,
POL002,31,2,2,2,2,2,2,2,2,2,31,111,111,111,111,111,111,111,111,111,15.8,,
PRK001,526,526,526,440,4,884,884,884,884,884,1311,107,107,107,107,107,107,107,107,107,680.8,,
PSE002,224,224,224,224,65,148,148,148,148,148,1301,114,114,114,114,114,114,114,114,114,266.8,,
REG001,825,1,1,1,1,1,1,1,1,1,1218,128,128,128,128,128,128,128,128,128,135.4,,
REG002,2,2,2,2,2,2,2,2,2,170,2,110,110,110,110,110,110,110,110,110,29.6,,
REG003,4,4,694,1017,4,1017,1224,1224,1224,1224,1224,107,107,107,107,107,107,107,107,107,895.9,,
REG004,63,63,37,37,37,37,37,37,37,37,1198,108,108,108,108,108,108,108,108,108,160.2,,
REG006,132,132,37,37,37,37,37,37,37,132,1201,108,108,108,108,108,108,108,108,108,170,,
REG007,3,3,3,3,3,3,3,3,3,3,3,108,108,108,108,108,108,108,108,108,13.5,,
REG008,3,3,3,3,3,3,3,3,3,3,3,108,108,108,108,108,108,108,108,108,13.5,,
REG011,534,6,6,6,6,85,62,6,85,219,534,107,107,107,107,107,107,107,107,107,111.6,,
REG012,1,1,1,1,1,1,1,1,1,1,1,109,109,109,109,109,109,109,109,109,11.8,,
REG013,65,65,65,65,37,65,65,65,65,65,65,107,107,107,107,107,107,107,107,107,66.4,,
REG014,156,156,156,156,156,156,156,156,156,182,182,109,109,109,109,109,109,109,109,109,156.5,,
ROU002,31,6,6,6,6,6,6,6,6,6,31,111,111,111,111,111,111,111,111,111,19,,
RWA002,154,154,91,91,670,154,154,91,154,154,154,113,113,113,113,113,113,113,113,113,182.6,,
SDN001,429,247,247,10,10,247,247,247,247,247,429,109,109,109,109,109,109,109,109,109,204,,
SDN005,429,429,429,10,10,10,10,10,10,10,352,109,109,109,109,109,109,109,109,109,96,,
SDN008,66,66,66,10,10,66,66,66,66,66,488,109,109,109,109,109,109,109,109,109,101.3,,
SEN002,0,0,0,0,0,0,0,0,0,0,0,111,111,111,111,111,111,111,111,111,11.1,,
SLV001,12,12,12,12,12,12,12,12,12,12,12,118,118,118,118,118,118,118,118,118,22.6,,
SOM001,1045,285,285,30,29,100,100,100,100,100,1308,113,113,113,113,113,113,113,113,113,226.5,,
SOM002,29,29,29,29,29,29,29,29,29,29,464,111,111,111,111,111,111,111,111,111,80.7,,
SSD001,1160,154,154,30,154,154,154,154,154,154,154,113,113,113,113,113,113,113,113,113,137.5,,
SVK002,31,6,6,6,6,6,6,6,6,6,31,111,111,111,111,111,111,111,111,111,19,,
