,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
IDN002,34,34,34,34,7,34,34,34,34,34,34,44,44,44,44,44,44,44,44,44,32.3,,
IRN004,38,38,38,38,38,38,38,38,38,38,38,34,34,34,34,34,34,34,34,34,37.6,,
IRQ001,0,0,0,0,0,0,0,0,0,0,0,48,48,48,48,48,48,48,48,48,4.8,,
IRQ002,0,0,0,0,0,0,0,0,0,0,0,42,42,42,42,42,42,42,42,42,4.2,,
IRQ003,0,0,0,0,244,0,0,0,0,0,0,48,48,48,48,48,48,48,48,48,29.2,,
ITA002,731,0,0,0,0,0,0,0,0,0,731,44,44,44,44,44,44,44,44,44,77.5,,
JOR002,0,0,0,0,0,0,0,0,0,0,0,48,48,48,48,48,48,48,48,48,4.8,,
KEN001,2,2,2,2,183,2,2,2,2,2,2,49,49,49,49,49,49,49,49,49,24.8,,
KEN002,2,2,2,2,2,2,2,2,2,2,2,49,49,49,49,49,49,49,49,49,6.7,,
KEN003,2,2,2,2,2,2,2,2,2,2,2,49,49,49,49,49,49,49,49,49,6.7,,
LBN002,2,2,2,2,2,2,2,2,2,2,2,44,44,44,44,44,44,44,44,44,6.2,,
LBN006,2,2,2,2,2,2,2,2,2,2,2,44,44,44,44,44,44,44,44,44,6.2,,
LBY001,9,9,9,9,9,9,9,9,9,9,309,45,45,45,45,45,45,45,45,45,42.6,,
LBY002,9,9,9,9,9,9,9,9,9,9,731,45,45,45,45,45,45,45,45,45,84.8,,
LBY003,9,9,9,9,9,9,9,9,9,9,310,45,45,45,45,45,45,45,45,45,42.7,,
LKA004,34,34,34,6,34,34,34,34,34,34,34,44,44,44,44,44,44,44,44,44,32.2,,
LTU002,6,6,6,6,6,6,6,6,6,6,6,43,43,43,43,43,43,43,43,43,9.7,,
LVA002,6,6,6,6,6,6,6,6,6,6,6,43,43,43,43,43,43,43,43,43,9.7,,
MAR001,309,0,0,0,0,0,0,0,0,0,309,51,51,51,51,51,51,51,51,51,36,,
MAR002,731,0,0,0,0,0,0,0,0,0,731,51,51,51,51,51,51,51,51,51,78.2,,
MAR003,153,0,0,0,0,0,0,0,0,0,309,51,51,51,51,51,51,51,51,51,36,,
MDA002,6,6,6,6,6,6,6,6,6,6,6,43,43,43,43,43,43,43,43,43,9.7,,
MDG001,0,0,0,0,0,0,0,0,0,0,61,49,49,49,49,49,49,49,49,49,11,,
MDG002,0,0,0,0,61,0,0,0,0,0,61,49,49,49,49,49,49,49,49,49,17.1,,
MDG009,61,0,0,61,61,0,0,0,0,0,61,49,49,49,49,49,49,49,49,49,23.2,,
MEX001,0,0,0,0,0,0,0,0,0,0,0,43,43,43,43,43,43,43,43,43,4.3,,
MEX002,0,0,0,0,0,0,0,0,0,0,0,43,43,43,43,43,43,43,43,43,4.3,,
MEX003,0,0,0,0,0,0,0,0,0,0,0,43,43,43,43,43,43,43,43,43,4.3,,
MLI001,104,65,65,1,1,65,65,65,65,65,1,38,38,38,38,38,38,38,38,38,43.1,,
MMR001,34,34,34,6,6,34,34,34,34,34,34,48,48,48,48,48,48,48,48,48,29.8,,
MMR002,34,34,34,6,6,34,34,34,34,34,34,48,48,48,48,48,48,48,48,48,29.8,,
MMR003,34,34,34,6,6,34,34,34,34,34,34,48,48,48,48,48,48,48,48,48,29.8,,
MMR004,34,34,34,6,6,34,34,34,34,34,34,48,48,48,48,48,48,48,48,48,29.8,,
MNG004,6,6,6,6,6,6,6,6,6,6,6,44,44,44,44,44,44,44,44,44,9.8,,
MOZ001,105,61,61,61,61,61,61,61,61,61,105,42,42,42,42,42,42,42,42,42,63.5,,
MOZ004,105,61,61,61,61,61,61,61,61,61,105,42,42,42,42,42,42,42,42,42,63.5,,
MOZ011,105,61,61,61,61,61,61,61,61,61,105,42,42,42,42,42,42,42,42,42,63.5,,
MRT002,458,0,0,0,0,0,0,0,0,0,458,50,50,50,50,50,50,50,50,50,50.8,,
MRT003,1402,0,0,0,0,0,0,0,0,0,566,50,50,50,50,50,50,50,50,50,61.6,,
MWI002,0,0,0,0,61,0,0,0,0,0,460,48,48,48,48,48,48,48,48,48,56.9,,
MYS001,65,65,65,6,6,65,6,6,65,65,65,44,44,44,44,44,44,44,44,44,39.3,,
NAM002,0,0,0,1636,0,0,0,0,0,0,1116,48,48,48,48,48,48,48,48,48,280,,
