,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Empowerment,BTI - Democracy Status,Trust in society,Ethnic Fractionalisation,size of excluded ethnic groups,Ethnic fractionalisation,Gender Inequality,Income Gini coefficient,Inequality,Social cohesion,Conflict Intensity,Total killed in all crisis,Safety and security,Corruption Perception,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World,Rule of Law,Society and safety,# of different types of affected population groups,Diversity of groups affected,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Access of Humanitarian Actors to Affected Populations,Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Access of People in need to Aid,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Physical and Security Constraints,Humanitarian access,Operating environment
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,1.4,1.8,1.6,2.1,2.5,2.3,2.7,3.3,3,2.3000000000000003,4,4.2,4.1,3,2.9,1.9,1.5,2.3,2.9,4,4,1,3,1,0,2,0,2,2,1,2,3,4,3,3.5
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,1.4,1.8,1.6,2.1,2.5,2.3,2.7,3.3,3,2.3000000000000003,4,4.2,4.1,3,2.9,1.9,1.5,2.3,2.9,3,3,1,3,1,0,2,0,0,0,1,2,3,4,2,2.5
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,1.1,0.5,0.8,1.5,0.2,0.85,1.9,2.9,2.4,1.3499999999999999,0,2.9,1.45,2.3,2,0.3,0.5,1.3,1.4,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1.5
Displacement from Russia-Ukraine conflict in Czechia,"Conflict,Displacement",CZE002,Czech Republic,CZE,1.1,0.4,0.75,0.3,0.6,0.44999999999999996,0.9,0,0.45,0.5499999999999999,0,0,0,2.2,1.5,0.5,0.3,1.1,0.6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,2.9,3.2,3.05,2.8,0,1.4,x,2.1,2.1,2.183333333333333,1,2.3,1.65,3.5,3.4,3.5,3.8,3.6,2.5,5,5,0,0,0,0,0,0,1,1,0,0,2,2,1,3
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,2.9,3.2,3.05,2.8,0,1.4,x,2.1,2.1,2.183333333333333,1,2.3,1.65,3.5,3.4,3.5,3.8,3.6,2.5,1,1,0,0,0,0,0,0,1,1,0,0,2,2,1,1
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.9,3.2,3.05,2.8,0,1.4,x,2.1,2.1,2.183333333333333,1,2.3,1.65,3.5,3.4,3.5,3.8,3.6,2.5,5,5,0,0,0,0,0,0,1,1,0,0,2,2,1,3
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,2.5,1.4,1.95,0,0.7,0.35,3,2.1,2.55,1.6166666666666665,0,x,0,3.3,2.8,2.4,1.6,2.5,1.4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,3.9,2.7,3.3,2,2.7,2.35,3,0.3,1.65,2.4333333333333336,2,4.3,3.15,3.2,3.3,2.9,3.4,3.2,2.9,4,4,2,0,0,0,2,0,1,1,0,1,0,1,1,2.5
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,3.9,2.7,3.3,2,2.7,2.35,3,0.3,1.65,2.4333333333333336,2,4.3,3.15,3.2,3.3,2.9,3.4,3.2,2.9,2,2,2,1,2,0,2,0,0,0,0,1,1,2,1,1.5
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,3.9,2.7,3.3,2,2.7,2.35,3,0.3,1.65,2.4333333333333336,2,4.3,3.15,3.2,3.3,2.9,3.4,3.2,2.9,3,3,2,1,2,0,2,0,1,1,0,1,1,2,2,2.5
